"","Time","Manager_budget","User_budget"
"1",1,500,800
"2",2,500,804.081647058823
"3",3,500,808.163294117647
"4",4,500,812.24494117647
"5",5,500,816.326588235294
"6",6,500,820.408235294117
"7",7,500,824.489882352941
"8",8,500,828.571529411764
"9",9,500,832.653176470588
"10",10,500,836.734823529411
"11",11,500,840.816470588235
"12",12,500,844.898117647058
"13",13,500,848.979764705882
"14",14,500,853.061411764705
"15",15,500,857.143058823529
"16",16,500,861.224705882352
"17",17,500,865.306352941176
"18",18,500,869.387999999999
"19",19,500,873.469647058823
"20",20,500,877.551294117646
"21",21,500,881.63294117647
"22",22,500,885.714588235293
"23",23,500,889.796235294117
"24",24,500,893.87788235294
"25",25,500,897.959529411763
"26",26,500,902.041176470587
"27",27,500,906.12282352941
"28",28,500,910.204470588234
"29",29,500,914.286117647057
"30",30,500,918.367764705881
"31",31,500,922.449411764704
"32",32,500,926.531058823528
"33",33,500,930.612705882351
"34",34,500,934.694352941175
"35",35,500,938.775999999998
"36",36,500,942.857647058822
"37",37,500,946.939294117645
"38",38,500,951.020941176469
"39",39,500,955.102588235292
"40",40,500,959.184235294116
"41",41,500,963.265882352939
"42",42,500,967.347529411763
"43",43,500,971.429176470586
"44",44,500,975.51082352941
"45",45,500,979.592470588233
"46",46,500,983.674117647057
"47",47,500,987.75576470588
"48",48,500,991.837411764703
"49",49,500,995.919058823527
"50",50,500,1000.00070588235
