"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,1324770,1324770,10,800,400
"2",2,1423970,1423970,10,800,404.0816
"3",3,1523170,1523170,10,800,408.1632
"4",4,1622370,1622370,10,820,412.2448
"5",5,1721550,1721550,10,820,416.3264
"6",6,1820730,1820730,10,840,420.408
"7",7,1919890,1919890,10,840,424.4896
"8",8,2019050,2019050,10,840,428.5712
"9",9,2118210,2118210,10,860,432.6528
"10",10,2217350,2217350,10,860,436.7344
"11",11,2316490,2316490,10,880,440.816
"12",12,2415610,2415610,10,880,444.8976
"13",13,2514730,2514730,10,880,448.9792
"14",14,2613850,2613850,10,900,453.0608
"15",15,2712950,2712950,10,900,457.1424
"16",16,2812050,2812050,10,920,461.224
"17",17,2911130,2911130,10,920,465.3056
"18",18,3010210,3010210,10,920,469.3872
"19",19,3109290,3109290,10,940,473.4688
"20",20,3208350,3208350,10,940,477.5504
"21",21,3307410,3307410,10,960,481.632
"22",22,3406450,3406450,10,960,485.7136
"23",23,3505490,3505490,10,960,489.7952
"24",24,3604530,3604530,10,980,493.8768
"25",25,3703550,3703550,10,980,497.9584
"26",26,3802570,3802570,10,1000,502.04
"27",27,3901570,3901570,10,1000,506.121599999999
"28",28,4000570,4000570,10,1020,510.203199999999
"29",29,4099550,4099550,10,1020,514.284799999999
"30",30,4198530,4198530,10,1020,518.366399999999
"31",31,4297510,4297510,10,1040,522.447999999999
"32",32,4396470,4396470,10,1040,526.529599999999
"33",33,4495430,4495430,10,1060,530.611199999999
"34",34,4594370,4594370,10,1060,534.692799999999
"35",35,4693310,4693310,10,1060,538.774399999999
"36",36,4792250,4792250,10,1080,542.855999999999
"37",37,4891170,4891170,10,1080,546.937599999999
"38",38,4990090,4990090,10,1100,551.019199999999
"39",39,5088990,5088990,10,1100,555.100799999999
"40",40,5187890,5187890,10,1100,559.182399999999
"41",41,5286790,5286790,10,1120,563.263999999999
"42",42,5385670,5385670,10,1120,567.345599999999
"43",43,5484550,5484550,10,1140,571.427199999999
"44",44,5583410,5583410,10,1140,575.508799999999
"45",45,5682270,5682270,10,1140,579.590399999999
"46",46,5781130,5781130,10,1160,583.671999999999
"47",47,5879970,5879970,10,1160,587.753599999999
"48",48,5978810,5978810,10,1180,591.835199999999
"49",49,6077630,6077630,10,1180,595.916799999999
"50",50,6176450,6176450,10,1180,599.998399999999
