"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,1324780,1324780,10,800,400,499.656946890636
"2",2,1423980,1423980,10,800,404.0816,499.656946890636
"3",3,1523180,1523180,10,800,408.1632,529.560023322844
"4",4,1622380,1622380,10,820,412.2448,451.743629352886
"5",5,1721560,1721560,10,820,416.3264,546.524767348511
"6",6,1820740,1820740,10,840,420.408,472.474554159532
"7",7,1919900,1919900,10,840,424.4896,496.343127216386
"8",8,2019060,2019060,10,840,428.5712,532.149030571937
"9",9,2118220,2118220,10,860,432.6528,450.909115770703
"10",10,2217360,2217360,10,860,436.7344,545.272890556323
"11",11,2316500,2316500,10,880,440.816,475.314933940741
"12",12,2415620,2415620,10,880,444.8976,493.043899753687
"13",13,2514740,2514740,10,880,448.9792,534.594960826686
"14",14,2613860,2613860,10,900,453.0608,450.289260418072
"15",15,2712960,2712960,10,900,457.1424,543.82014661822
"16",16,2812060,2812060,10,920,461.224,478.262502355443
"17",17,2911140,2911140,10,920,465.3056,489.773792458137
"18",18,3010220,3010220,10,920,469.3872,536.88704357595
"19",19,3109300,3109300,10,940,473.4688,449.886792791865
"20",20,3208360,3208360,10,940,477.5504,542.172932607356
"21",21,3307420,3307420,10,960,481.632,481.304279958137
"22",22,3406460,3406460,10,960,485.7136,486.547205056378
"23",23,3505500,3505500,10,960,489.7952,539.015185767104
"24",24,3604540,3604540,10,980,493.8768,449.703485134787
"25",25,3703560,3703560,10,980,497.9584,540.3385019345
"26",26,3802580,3802580,10,1000,502.04,484.426872458659
"27",27,3901580,3901580,10,1000,506.121599999999,483.378345637738
"28",28,4000580,4000580,10,1020,510.203199999999,540.9700162502
"29",29,4099560,4099560,10,1020,514.284799999999,449.740144631409
"30",30,4198540,4198540,10,1020,518.366399999999,538.324932408069
"31",31,4297520,4297520,10,1040,522.447999999999,487.616529703158
"32",32,4396480,4396480,10,1040,526.529599999999,480.281168089743
"33",33,4495440,4495440,10,1060,530.611199999999,542.742927043285
"34",34,4594380,4594380,10,1060,534.692799999999,449.996609853776
"35",35,4693320,4693320,10,1060,538.774399999999,536.141090663965
"36",36,4792260,4792260,10,1080,542.855999999999,490.859206222097
"37",37,4891180,4891180,10,1080,546.937599999999,477.269310652981
"38",38,4990100,4990100,10,1100,551.019199999999,544.326111237143
"39",39,5089000,5089000,10,1100,555.100799999999,450.471751472249
"40",40,5187900,5187900,10,1100,559.182399999999,533.796593121867
"41",41,5286800,5286800,10,1120,563.263999999999,494.14062307866
"42",42,5385680,5385680,10,1120,567.345599999999,474.356035865914
"43",43,5484560,5484560,10,1140,571.427199999999,545.712597372567
"44",44,5583420,5583420,10,1140,575.508799999999,451.163477228438
"45",45,5682280,5682280,10,1140,579.590399999999,531.301763639882
"46",46,5781140,5781140,10,1160,583.671999999999,497.446330745211
"47",47,5879980,5879980,10,1160,587.753599999999,471.554172164054
"48",48,5978820,5978820,10,1180,591.835199999999,546.896280138771
"49",49,6077640,6077640,10,1180,595.916799999999,452.068741148344
"50",50,6176460,6176460,10,1180,599.998399999999,528.667588054044
