"","X","Time","Pop_size","Pop_est","Cull_cost","Cull_count","Manager_budget","User_budget"
"1",1,1,124689,125209.750566893,15,300,1000,100
"2",2,2,124285,124795.918367347,109,50,1000,200
"3",3,3,124110,124654.195011338,110,100,1000,300
"4",4,4,123885,124370.74829932,109,150,1000,400
"5",5,5,123623,124064.62585034,110,200,1000,500
"6",6,6,123291,123758.503401361,110,250,1000,600
"7",7,7,122932,123333.333333333,110,300,1000,700
"8",8,8,122503,122947.845804989,110,350,1000,800
"9",9,9,122026,122414.965986395,110,400,1000,900
"10",10,10,121506,121938.775510204,110,450,1000,1000
"11",11,11,120938,121371.882086168,110,500,1000,1100
"12",12,12,120324,120668.934240363,110,500,1000,1200
"13",13,13,119708,120113.378684807,110,550,1000,1300
"14",14,14,119031,119495.464852608,110,600,1000,1400
"15",15,15,118328,118758.503401361,110,650,1000,1500
"16",16,16,117567,117919.501133787,110,700,1000,1600
"17",17,17,116752,117182.53968254,110,750,1000,1700
"18",18,18,115886,116309.523809524,110,800,1000,1800
"19",19,19,114982,115385.487528345,110,850,1000,1900
"20",20,20,113997,114410.430839002,110,900,1000,2000
"21",21,21,112976,113367.346938776,110,950,1000,2100
"22",22,22,111896,112199.546485261,110,1000,1000,2200
"23",23,23,110762,111099.77324263,110,1000,1000,2300
"24",24,24,109650,109988.662131519,110,1050,1000,2400
"25",25,25,108495,108798.185941043,110,1100,1000,2500
"26",26,26,107310,107630.385487528,110,1150,1000,2600
"27",27,27,106055,106371.882086168,110,1200,1000,2700
"28",28,28,104758,104988.662131519,110,1250,1000,2800
"29",29,29,103398,103616.780045351,110,1300,1000,2900
"30",30,30,101994,102346.93877551,110,1350,1000,3000
"31",31,31,100548,100952.380952381,110,1400,1000,3100
"32",32,32,99050,99365.0793650794,110,1450,1000,3200
"33",33,33,97512,97857.1428571429,110,1500,1000,3300
"34",34,34,95921,96315.1927437642,110,1500,1000,3400
"35",35,35,94319,94637.1882086168,110,1550,1000,3500
"36",36,36,92644,92828.798185941,110,1600,1000,3600
"37",37,37,90958,91071.4285714286,110,1650,1000,3700
"38",38,38,89223,89178.0045351474,110,1700,1000,3800
"39",39,39,87425,87346.9387755102,110,1750,1000,3900
"40",40,40,85565,85368.4807256236,110,1800,1000,4000
