"","Time","Pop_size","Pop_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,124759,126071.428571429,10,500,100,2000
"2",2,124119,125470.52154195,10,1000,200,2000
"3",3,122999,124393.424036281,210,50,300,2000
"4",4,122815,124206.349206349,210,50,400,2000
"5",5,122652,124058.9569161,210,100,500,2000
"6",6,122423,123917.233560091,210,100,600,2000
"7",7,122187,123645.124716553,210,150,700,2000
"8",8,121910,123327.664399093,210,150,800,2000
"9",9,121643,122993.197278912,210,200,900,2000
"10",10,121302,122664.399092971,210,200,1000,2000
"11",11,120991,122392.290249433,210,250,1100,2000
"12",12,120623,122052.154195011,210,250,1200,2000
"13",13,120248,121638.321995465,210,300,1300,2000
"14",14,119833,121179.138321995,210,300,1400,2000
"15",15,119406,120753.968253968,210,350,1500,2000
"16",16,118941,120238.095238095,210,350,1600,2000
"17",17,118463,119841.26984127,210,400,1700,2000
"18",18,117947,119240.362811791,210,400,1800,2000
"19",19,117429,118837.868480726,210,450,1900,2000
"20",20,116832,118248.299319728,210,450,2000,2000
"21",21,116257,117675.736961451,210,500,2100,2000
"22",22,115636,117069.160997732,210,500,2200,2000
"23",23,115033,116536.281179138,210,500,2300,2000
"24",24,114426,115873.015873016,210,550,2400,2000
"25",25,113763,115130.385487528,210,550,2500,2000
"26",26,113100,114359.410430839,210,600,2600,2000
"27",27,112408,113616.780045351,210,600,2700,2000
"28",28,111702,112947.845804989,210,650,2800,2000
"29",29,110949,112125.850340136,210,650,2900,2000
"30",30,110192,111377.551020408,210,700,3000,2000
"31",31,109355,110538.548752834,210,700,3100,2000
"32",32,108535,109727.891156463,210,750,3200,2000
"33",33,107682,108752.83446712,210,750,3300,2000
"34",34,106831,107857.142857143,210,800,3400,2000
"35",35,105928,106904.761904762,210,800,3500,2000
"36",36,105029,105856.009070295,210,850,3600,2000
"37",37,104045,104846.93877551,210,850,3700,2000
"38",38,103097,103928.571428571,210,900,3800,2000
"39",39,102092,102772.108843537,210,900,3900,2000
"40",40,101091,101785.714285714,210,950,4000,2000
