"","Time","Pop_size","Pop_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,124735,124070.294784581,204,0,100,2000
"2",2,124619,123956.916099773,211,0,200,2050
"3",3,124488,123837.868480726,219,50,300,2100
"4",4,124297,123633.786848073,225,50,400,2150
"5",5,124125,123492.063492063,230,100,500,2200
"6",6,123903,123265.306122449,235,100,600,2250
"7",7,123669,123089.569160998,240,100,700,2300
"8",8,123436,122794.784580499,245,150,800,2350
"9",9,123140,122511.337868481,250,150,900,2400
"10",10,122865,122216.553287982,255,150,1000,2450
"11",11,122612,121899.092970522,260,200,1100,2500
"12",12,122289,121490.929705215,264,200,1200,2550
"13",13,121962,121184.807256236,270,200,1300,2600
"14",14,121635,120907.029478458,275,250,1400,2650
"15",15,121264,120606.575963719,280,250,1500,2700
"16",16,120903,120255.102040816,285,250,1600,2750
"17",17,120532,119903.628117914,290,250,1700,2800
"18",18,120154,119489.795918367,295,300,1800,2850
"19",19,119747,119081.632653061,300,300,1900,2900
"20",20,119328,118633.786848073,305,300,2000,2950
"21",21,118905,118231.292517007,310,300,2100,3000
"22",22,118477,117868.480725624,315,300,2200,3050
"23",23,118072,117420.634920635,320,350,2300,3100
"24",24,117605,117006.802721088,325,350,2400,3150
"25",25,117142,116553.287981859,330,350,2500,3200
"26",26,116670,116009.070294785,335,350,2600,3250
"27",27,116199,115481.859410431,340,350,2700,3300
"28",28,115742,114982.993197279,345,400,2800,3350
"29",29,115214,114478.458049887,350,400,2900,3400
"30",30,114692,113951.247165533,355,400,3000,3450
"31",31,114175,113503.401360544,360,400,3100,3500
"32",32,113643,112953.514739229,365,400,3200,3550
"33",33,113125,112346.93877551,370,400,3300,3600
"34",34,112594,111797.052154195,375,450,3400,3650
"35",35,112021,111218.820861678,380,450,3500,3700
"36",36,111441,110589.569160998,385,450,3600,3750
"37",37,110885,110073.696145125,390,450,3700,3800
"38",38,110324,109614.512471655,395,450,3800,3850
"39",39,109757,109075.963718821,400,450,3900,3900
"40",40,109187,108384.353741497,405,450,4000,3950
