"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,1998020,1986666.66666667,694,10,699,8,0,122,405.1,8
"2",2,1996063,2003446.71201814,111,10,1170,32,0,171,409.5406,32
"3",3,1994057,1959546.48526077,841,10,654,3,0,182,414.62404,3
"4",4,1992055,1977868.48072562,1356,10,444,0,0,142,418.93516,0
"5",5,1990109,1989024.94331066,1583,10,427,0,0,0,420.51764,0
"6",6,1988129,2013696.14512472,316,10,1080,0,0,0,420.51252,0
"7",7,1986129,1978231.29251701,700,10,726,0,0,0,420.54528,0
"8",8,1984134,1972879.8185941,968,10,933,0,0,0,420.52672,0
"9",9,1982141,1980770.97505669,1334,10,557,0,0,0,420.52992,0
"10",10,1980221,1987936.50793651,1568,10,442,0,0,0,420.50688,0
"11",11,1978167,1989115.6462585,1620,10,390,0,0,0,420.51448,0
"12",12,1976168,2005532.87981859,540,10,728,0,0,0,420.49604,0
"13",13,1974158,1953287.98185941,918,10,699,0,0,0,420.51664,0
"14",14,1972160,1986303.85487528,1225,10,781,0,0,0,420.52684,0
"15",15,1970166,1941315.19274376,1463,10,547,0,0,0,420.49564,0
"16",16,1968141,1969070.29478458,1578,10,432,0,0,0,420.50684,0
"17",17,1966075,1955736.96145125,1699,10,311,0,0,0,420.49404,0
"18",18,1964055,1960000,1784,10,226,0,0,0,420.50164,0
"19",19,1962081,1977959.18367347,1855,10,155,0,0,0,420.51536,0
"20",20,1960087,1953015.87301587,1915,10,95,0,0,0,420.53384,0
"21",21,1958122,1971156.46258503,1953,10,57,0,0,0,420.53752,0
"22",22,1956173,1968072.56235828,1988,10,22,0,0,0,420.5252,0
"23",23,1954199,1953197.27891156,2004,10,6,0,0,0,420.48284,0
"24",24,1952192,1963083.90022676,2010,10,0,0,0,0,420.51308,0
"25",25,1950228,1947210.88435374,1996,10,14,0,0,0,420.51588,0
"26",26,1948273,1952743.76417234,2004,10,6,0,0,0,420.46764,0
"27",27,1946211,1958548.75283447,2006,10,4,0,0,0,420.48652,0
"28",28,1944218,1949387.75510204,2007,10,3,0,0,0,420.488248,0
"29",29,1942262,1958185.94104308,2010,10,0,0,0,0,420.49984,0
"30",30,1940295,1922721.08843537,1897,10,113,0,0,0,420.51212,0
"31",31,1938287,1951836.73469388,1944,10,66,0,0,0,420.51408,0
"32",32,1936330,1940317.46031746,1965,10,45,0,0,0,420.49716,0
"33",33,1934334,1927709.75056689,2010,10,0,0,0,0,420.49892,0
"34",34,1932388,1926167.80045351,1999,10,11,0,0,0,420.48104,0
"35",35,1930494,1935147.39229025,2010,10,0,0,0,0,420.48708,0
"36",36,1928481,1929795.91836735,2001,10,9,0,0,0,420.4728,0
"37",37,1926539,1917732.42630385,2010,10,0,0,0,0,420.50348,0
"38",38,1924577,1916916.09977324,1997,10,13,0,0,0,420.51588,0
"39",39,1922576,1910929.70521542,2003,10,7,0,0,0,420.46984,0
"40",40,1920543,1907482.99319728,2010,10,0,0,0,0,420.50348,0
