"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested","sim"
"1",1,124868,126094.10430839,28,32,1750,42,1750,1
"2",2,122989,122607.709750567,60,0,800,91,800,1
"3",3,122070,122250.566893424,60,0,800,89,800,1
"4",4,121166,121167.800453515,60,0,800,105,800,1
"5",5,120248,121196.145124717,60,0,800,69,800,1
"6",6,119334,119954.648526077,60,0,800,84,800,1
"7",7,118421,119195.011337868,60,0,800,89,800,1
"8",8,117517,116439.909297052,60,0,800,83,800,1
"9",9,116598,117511.337868481,60,0,800,93,800,1
"10",10,115664,115748.299319728,60,0,800,81,800,1
"11",11,114739,114988.662131519,60,0,800,98,800,1
"12",12,113815,114178.004535147,60,0,800,101,800,1
"13",13,112923,112755.102040816,60,0,800,74,800,1
"14",14,112004,111865.079365079,60,0,800,87,800,1
"15",15,111094,110946.712018141,60,0,800,99,800,1
"16",16,110171,109297.052154195,60,0,800,101,800,1
"17",17,109266,108628.117913832,60,0,800,94,800,1
"18",18,108357,108270.975056689,60,0,800,93,800,1
"19",19,107439,108310.657596372,60,0,800,81,800,1
"20",20,106530,106853.741496599,60,0,800,91,800,1
"21",21,105627,105198.412698413,60,0,800,91,800,1
"22",22,104712,103599.77324263,60,0,800,85,800,1
"23",23,103809,103934.240362812,60,0,800,63,800,1
"24",24,102890,102828.798185941,60,0,800,85,800,1
"25",25,101990,102063.492063492,60,0,800,96,800,1
"26",26,101090,100799.319727891,60,0,800,84,800,1
"27",27,100174,100719.954648526,60,0,800,86,800,1
"28",28,99270,100028.344671202,60,0,800,78,800,1
"29",29,98370,98605.4421768707,60,0,800,96,800,1
"30",30,97461,98225.6235827664,60,0,800,82,800,1
"31",31,96560,95651.9274376417,60,0,800,94,800,1
"32",32,95675,95861.6780045351,60,0,800,90,800,1
"33",33,94783,95600.9070294785,60,0,800,84,800,1
"34",34,93879,93157.5963718821,60,0,800,92,800,1
"35",35,92978,93412.6984126984,60,0,800,89,800,1
"36",36,92094,92675.7369614512,60,0,800,87,800,1
"37",37,91196,91179.1383219955,60,0,800,70,800,1
"38",38,90303,90493.1972789116,60,0,800,91,800,1
"39",39,89388,90011.3378684807,60,0,800,99,800,1
"40",40,88507,88894.5578231293,60,0,800,99,800,1
"41",1,124876,124370.74829932,44,16,1100,57,1100,2
"42",2,123649,124614.512471655,60,0,800,95,800,2
"43",3,122739,121853.741496599,60,0,800,98,800,2
"44",4,121821,121179.138321995,60,0,800,82,800,2
"45",5,120873,121587.301587302,60,0,800,71,800,2
"46",6,119945,120742.630385488,60,0,800,90,800,2
"47",7,119003,119036.281179138,60,0,800,89,800,2
"48",8,118093,117755.102040816,60,0,800,82,800,2
"49",9,117182,116955.782312925,60,0,800,86,800,2
"50",10,116286,116184.807256236,60,0,800,88,800,2
"51",11,115351,114421.768707483,60,0,800,97,800,2
"52",12,114433,114767.573696145,60,0,800,94,800,2
"53",13,113512,112692.743764172,60,0,800,92,800,2
"54",14,112603,111972.789115646,60,0,800,91,800,2
"55",15,111706,112556.689342404,60,0,800,86,800,2
"56",16,110790,109880.952380952,60,0,800,96,800,2
"57",17,109890,110935.37414966,60,0,800,75,800,2
"58",18,108973,108418.367346939,60,0,800,85,800,2
"59",19,108063,109336.734693878,60,0,800,95,800,2
"60",20,107138,107278.911564626,60,0,800,75,800,2
"61",21,106208,106190.476190476,60,0,800,78,800,2
"62",22,105292,104671.201814059,60,0,800,95,800,2
"63",23,104383,104671.201814059,60,0,800,80,800,2
"64",24,103471,104024.943310658,60,0,800,68,800,2
"65",25,102562,102817.46031746,60,0,800,79,800,2
"66",26,101650,101224.489795918,60,0,800,93,800,2
"67",27,100733,99416.0997732426,60,0,800,70,800,2
"68",28,99849,99223.3560090703,60,0,800,77,800,2
"69",29,98951,99234.693877551,60,0,800,90,800,2
"70",30,98057,98531.746031746,60,0,800,60,800,2
"71",31,97160,97607.7097505669,60,0,800,91,800,2
"72",32,96254,95481.8594104308,60,0,800,97,800,2
"73",33,95361,95816.3265306122,60,0,800,93,800,2
"74",34,94478,94280.0453514739,60,0,800,76,800,2
"75",35,93582,93628.1179138322,60,0,800,82,800,2
"76",36,92694,92607.7097505669,60,0,800,91,800,2
"77",37,91798,92006.8027210884,60,0,800,89,800,2
"78",38,90910,90839.0022675737,60,0,800,84,800,2
"79",39,90022,89716.5532879818,60,0,800,60,800,2
"80",40,89138,88310.6575963719,60,0,800,90,800,2
"81",1,124881,124421.768707483,35,25,1400,42,1400,3
"82",2,123362,123815.192743764,60,0,800,100,800,3
"83",3,122448,122375.283446712,60,0,800,67,800,3
"84",4,121523,121581.632653061,60,0,800,111,800,3
"85",5,120580,120368.480725624,60,0,800,75,800,3
"86",6,119674,120464.85260771,60,0,800,89,800,3
"87",7,118754,118061.224489796,60,0,800,82,800,3
"88",8,117839,118543.083900227,60,0,800,93,800,3
"89",9,116926,117715.419501134,60,0,800,84,800,3
"90",10,116015,115776.64399093,60,0,800,83,800,3
"91",11,115090,114875.283446712,60,0,800,97,800,3
"92",12,114174,113798.185941043,60,0,800,84,800,3
"93",13,113276,114308.390022676,60,0,800,85,800,3
"94",14,112367,112596.371882086,60,0,800,81,800,3
"95",15,111444,111802.721088435,60,0,800,81,800,3
"96",16,110526,110504.535147392,60,0,800,88,800,3
"97",17,109625,110929.705215419,60,0,800,102,800,3
"98",18,108726,109858.276643991,60,0,800,83,800,3
"99",19,107818,108446.712018141,60,0,800,103,800,3
"100",20,106911,106485.260770975,60,0,800,75,800,3
"101",21,105999,105510.204081633,60,0,800,84,800,3
"102",22,105084,105634.920634921,60,0,800,94,800,3
"103",23,104172,104676.870748299,60,0,800,65,800,3
"104",24,103298,104160.997732426,60,0,800,71,800,3
"105",25,102392,102091.836734694,60,0,800,71,800,3
"106",26,101498,101592.970521542,60,0,800,86,800,3
"107",27,100608,100102.040816327,60,0,800,84,800,3
"108",28,99705,100323.129251701,60,0,800,73,800,3
"109",29,98790,98344.6712018141,60,0,800,87,800,3
"110",30,97890,98832.1995464853,60,0,800,74,800,3
"111",31,96993,97324.2630385488,60,0,800,96,800,3
"112",32,96068,96054.4217687075,60,0,800,86,800,3
"113",33,95165,94727.8911564626,60,0,800,88,800,3
"114",34,94253,94716.5532879818,60,0,800,92,800,3
"115",35,93366,94263.0385487528,60,0,800,91,800,3
"116",36,92434,93299.3197278912,60,0,800,107,800,3
"117",37,91537,92602.0408163265,60,0,800,81,800,3
"118",38,90646,89954.6485260771,60,0,800,110,800,3
"119",39,89751,90504.5351473923,60,0,800,93,800,3
"120",40,88838,87857.1428571429,60,0,800,70,800,3
"121",1,124895,123248.299319728,38,22,1300,20,1300,4
"122",2,123473,122551.020408163,60,0,800,81,800,4
"123",3,122522,121689.342403628,60,0,800,89,800,4
"124",4,121611,120521.541950113,60,0,800,72,800,4
"125",5,120688,121541.950113379,60,0,800,97,800,4
"126",6,119739,120702.947845805,60,0,800,86,800,4
"127",7,118851,117874.149659864,60,0,800,62,800,4
"128",8,117924,118157.596371882,60,0,800,107,800,4
"129",9,117033,116740.362811791,60,0,800,82,800,4
"130",10,116102,116723.35600907,60,0,800,99,800,4
"131",11,115198,115907.029478458,60,0,800,87,800,4
