,Time,Pop_size,Pop_est,Cull_cost,Cull_count,Manager_budget,Pop_diff
1,1,122746,123707.483,60,800,500,2254
2,2,121822,122851.4739,65,750,550,924
3,3,120957,122114.5125,70,700,600,865
4,4,120146,121349.2063,75,650,650,811
5,5,119392,120510.2041,80,600,700,754
6,6,118674,119750.5669,85,550,750,718
7,7,118021,119109.9773,90,550,800,653
8,8,117348,118339.0023,95,500,850,673
9,9,116724,117698.4127,100,500,900,624
10,10,116088,116967.1202,105,450,950,636
11,11,115495,116411.5646,110,450,1000,593
12,12,114923,115907.0295,115,400,1050,572
13,13,114427,115436.5079,120,400,1100,496
14,14,113903,114852.6077,125,400,1150,524
15,15,113404,114387.7551,130,350,1200,499
16,16,112964,113922.9025,135,350,1250,440
17,17,112500,113520.4082,140,350,1300,464
18,18,112042,113055.5556,145,300,1350,458
19,19,111628,112658.7302,150,300,1400,414
20,20,111217,112210.8844,155,300,1450,411
21,21,110797,111859.4104,160,300,1500,420
22,22,110374,111445.5782,165,300,1550,423
23,23,109964,111020.4082,170,250,1600,410
24,24,109585,110646.2585,175,250,1650,379
25,25,109220,110226.7574,180,250,1700,365
26,26,108860,109818.5941,185,250,1750,360
27,27,108493,109455.7823,190,250,1800,367
28,28,108143,109166.6667,195,250,1850,350
29,29,107783,108747.1655,200,250,1900,360
30,30,107433,108384.3537,205,200,1950,350
31,31,107117,108066.8934,210,200,2000,316
32,32,106784,107715.4195,215,200,2050,333
33,33,106508,107465.9864,220,200,2100,276
34,34,106184,107137.1882,225,200,2150,324
35,35,105859,106870.7483,230,200,2200,325
36,36,105543,106547.619,235,200,2250,316
37,37,105222,106218.8209,240,200,2300,321
38,38,104912,105912.6984,245,200,2350,310
39,39,104607,105606.576,250,200,2400,305
40,40,104303,105317.4603,255,150,2450,304
