"","time_step","resources","estimate","cost_culling","cost_unused","act_culling","act_unused","harvested"
"1",1,124851,124472.789115646,61,49,50,58,50
"2",2,124669,125198.412698413,14,96,330,6,330
"3",3,124221,123832.199546485,110,0,1,344,1
"4",4,124075,123809.523809524,90,20,50,7,50
"5",5,123881,124126.984126984,110,0,1,341,1
"6",6,123753,123191.609977324,95,15,36,104,36
"7",7,123590,123701.814058957,110,0,1,351,1
"8",8,123474,123713.151927438,103,7,20,207,20
"9",9,123328,123820.861678005,109,1,3,345,3
"10",10,123191,124353.741496599,110,0,1,324,1
"11",11,123077,123645.124716553,103,7,20,185,20
"12",12,122934,122874.149659864,110,0,1,308,1
"13",13,122806,123361.678004535,101,9,26,171,26
"14",14,122661,122913.832199546,110,0,1,350,1
"15",15,122546,122035.14739229,103,7,20,212,20
"16",16,122394,121660.997732426,110,0,1,315,1
"17",17,122240,122607.709750567,105,5,15,244,15
"18",18,122093,121989.795918367,107,3,12,242,12
"19",19,121975,122692.743764172,110,0,1,315,1
"20",20,121866,122380.952380952,107,3,12,271,12
"21",21,121731,121230.158730159,110,0,1,297,1
"22",22,121606,121326.530612245,107,3,12,273,12
"23",23,121475,121394.557823129,110,0,1,324,1
"24",24,121331,121026.077097506,101,9,26,159,26
"25",25,121172,121485.260770975,110,0,1,338,1
"26",26,121051,121643.990929705,107,3,12,280,12
"27",27,120918,122029.47845805,110,0,1,320,1
"28",28,120765,121037.414965986,100,10,29,135,29
"29",29,120602,119903.628117914,110,0,1,335,1
"30",30,120486,120787.98185941,103,7,20,187,20
"31",31,120329,120708.616780045,110,0,1,348,1
"32",32,120210,119954.648526077,107,3,12,255,12
"33",33,120069,120651.927437642,108,2,8,278,8
"34",34,119926,120827.664399093,109,1,3,358,3
"35",35,119786,119586.167800454,110,0,1,354,1
"36",36,119664,119092.970521542,104,6,18,220,18
"37",37,119533,119552.154195011,110,0,1,334,1
"38",38,119425,119263.038548753,100,10,29,131,29
"39",39,119264,119399.092970522,110,0,1,332,1
"40",40,119122,118860.544217687,104,6,18,234,18
