"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,1998042,1992653.06122449,30,10,0,124,0,0,36.5319600128145,124
"2",2,1995861,1997823.1292517,30,10,0,124,0,0,36.6793393917363,124
"3",3,1993715,2013696.14512472,10,10,20,390,0,0,36.8447929705442,390
"4",4,1991357,1980952.38095238,30,10,0,124,0,0,37.0153296570573,124
"5",5,1989209,2005442.17687075,10,10,20,390,0,0,37.2113189498157,390
"6",6,1986858,1970793.65079365,30,10,0,124,0,0,37.3792935045127,124
"7",7,1984781,1978956.91609977,30,10,0,124,0,0,37.5744847919841,124
"8",8,1982661,1983219.95464853,30,10,0,124,0,0,37.739933035217,124
"9",9,1980570,1985396.82539683,30,10,0,124,0,0,37.9103728198494,124
"10",10,1978429,1991836.73469388,30,10,0,124,0,0,38.0726649263815,124
"11",11,1976337,1978140.58956916,30,10,0,124,0,0,38.2407444764709,124
"12",12,1974159,1990204.08163265,30,10,0,124,0,0,38.4099443453435,124
"13",13,1971969,1950839.00226757,30,10,0,124,0,0,38.5865221169752,124
"14",14,1969852,1950385.48752834,30,10,0,124,0,0,38.7546869626188,124
"15",15,1967690,1963718.82086168,30,10,0,124,0,0,38.9293066794584,124
"16",16,1965560,1990204.08163265,30,10,0,124,0,0,39.0996197593745,124
"17",17,1963508,1959274.37641723,30,10,0,124,0,0,39.266479862984,124
"18",18,1961449,1968798.18594104,30,10,0,124,0,0,39.4329617165579,124
"19",19,1959381,1980317.46031746,30,10,0,124,0,0,39.6026828133855,124
"20",20,1957221,1966439.90929705,30,10,0,124,0,0,39.769366514251,124
"21",21,1955165,1969523.80952381,30,10,0,124,0,0,39.9488936948117,124
"22",22,1953004,1947936.50793651,30,10,0,124,0,0,40.1280787701381,124
"23",23,1950846,1959365.07936508,30,10,0,124,0,0,40.3102871239943,124
"24",24,1948709,1956553.28798186,30,10,0,124,0,0,40.4914808978319,124
"25",25,1946540,1944489.79591837,30,10,0,124,0,0,40.6772774755464,124
"26",26,1944369,1948027.21088435,30,10,0,124,0,0,40.860873353599,124
"27",27,1942343,1952290.24943311,30,10,0,124,0,0,41.0467606866027,124
"28",28,1940192,1945215.41950113,30,10,0,124,0,0,41.2256172601014,124
"29",29,1938132,1954285.71428571,30,10,0,124,0,0,41.4129090597035,124
"30",30,1936028,1930975.05668934,30,10,0,124,0,0,41.594039887243,124
"31",31,1933990,1938775.51020408,30,10,0,124,0,0,41.7752601253232,124
"32",32,1931834,1939591.83673469,30,10,0,124,0,0,41.9485312843203,124
"33",33,1929741,1943945.57823129,30,10,0,124,0,0,42.1246132565105,124
"34",34,1927577,1910839.00226757,30,10,0,124,0,0,42.303844196604,124
"35",35,1925403,1938503.40136054,30,10,0,124,0,0,42.4846513828519,124
"36",36,1923230,1894784.58049887,30,10,0,124,0,0,42.679517723058,124
"37",37,1921166,1936961.45124717,30,10,0,124,0,0,42.8714579820277,124
"38",38,1919008,1941315.19274376,30,10,0,124,0,0,43.0543200323162,124
"39",39,1916932,1933696.14512472,30,10,0,124,0,0,43.2442410119711,124
"40",40,1914899,1929251.70068027,30,10,0,124,0,0,43.4296230846128,124
"41",41,1912747,1923628.11791383,30,10,0,124,0,0,43.613162474448,124
"42",42,1910606,1910657.59637188,30,10,0,124,0,0,43.8058096198482,124
"43",43,1908444,1950113.37868481,30,10,0,124,0,0,44.0049782540557,124
"44",44,1906279,1902494.33106576,30,10,0,124,0,0,44.2060073676368,124
"45",45,1904117,1898049.88662132,30,10,0,124,0,0,44.4071419188094,124
"46",46,1901940,1874195.01133787,30,10,0,124,0,0,44.6047367415951,124
"47",47,1899863,1895963.71882086,30,10,0,124,0,0,44.8048174994269,124
"48",48,1897778,1890521.54195011,30,10,0,124,0,0,44.991470885165,124
"49",49,1895690,1877278.91156463,30,10,0,124,0,0,45.1861966092401,124
"50",50,1893586,1920453.51473923,30,10,0,124,0,0,45.383585582106,124
