"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,1125000,1137346.93877551,10,10,20,0,0,0,2000.01421147463,0
"2",2,1125000,1122959.18367347,21,10,9,0,0,0,2000.01421147463,0
"3",3,1125000,1124438.7755102,27,10,3,0,0,0,2000.01421147463,0
"4",4,1125000,1117448.97959184,29,10,1,0,0,0,2000.01421147463,0
"5",5,1125000,1128214.28571429,12,10,18,0,0,0,2000.01421147463,0
"6",6,1125000,1130000,10,10,20,0,0,0,2000.01421147463,0
"7",7,1125000,1128673.46938776,10,10,20,0,0,0,2000.01421147463,0
"8",8,1125000,1111224.48979592,21,10,9,0,0,0,2000.01421147463,0
"9",9,1125000,1131683.67346939,10,10,20,0,0,0,2000.01421147463,0
"10",10,1125000,1120000,18,10,12,0,0,0,2000.01421147463,0
"11",11,1125000,1130816.32653061,12,10,18,0,0,0,2000.01421147463,0
"12",12,1125000,1124744.89795918,18,10,12,0,0,0,2000.01421147463,0
"13",13,1125000,1111683.67346939,30,10,0,0,0,0,2000.01421147463,0
"14",14,1125000,1125561.2244898,10,10,20,0,0,0,2000.01421147463,0
"15",15,1125000,1114540.81632653,18,10,12,0,0,0,2000.01421147463,0
"16",16,1125000,1126530.6122449,11,10,19,0,0,0,2000.01421147463,0
"17",17,1125000,1124285.71428571,25,10,5,0,0,0,2000.01421147463,0
"18",18,1125000,1137448.97959184,12,10,18,0,0,0,2000.01421147463,0
"19",19,1125000,1127091.83673469,10,10,20,0,0,0,2000.01421147463,0
"20",20,1125000,1130459.18367347,10,10,20,0,0,0,2000.01421147463,0
"21",21,1125000,1108673.46938776,30,10,0,0,0,0,2000.01421147463,0
"22",22,1125000,1136122.44897959,10,10,20,0,0,0,2000.01421147463,0
"23",23,1125000,1125000,30,10,0,0,0,0,2000.01421147463,0
"24",24,1125000,1135714.28571429,10,10,20,0,0,0,2000.01421147463,0
"25",25,1125000,1121530.6122449,21,10,9,0,0,0,2000.01421147463,0
"26",26,1125000,1119591.83673469,27,10,3,0,0,0,2000.01421147463,0
"27",27,1125000,1129846.93877551,13,10,17,0,0,0,2000.01421147463,0
"28",28,1125000,1130816.32653061,10,10,20,0,0,0,2000.01421147463,0
"29",29,1125000,1128418.36734694,10,10,20,0,0,0,2000.01421147463,0
"30",30,1125000,1111071.42857143,30,10,0,0,0,0,2000.01421147463,0
"31",31,1125000,1122755.10204082,28,10,2,0,0,0,2000.01421147463,0
"32",32,1125000,1119336.73469388,30,10,0,0,0,0,2000.01421147463,0
"33",33,1125000,1129132.65306122,10,10,20,0,0,0,2000.01421147463,0
"34",34,1125000,1129591.83673469,10,10,20,0,0,0,2000.01421147463,0
"35",35,1125000,1136530.6122449,10,10,20,0,0,0,2000.01421147463,0
"36",36,1125000,1137602.04081633,10,10,20,0,0,0,2000.01421147463,0
"37",37,1125000,1121275.51020408,30,10,0,0,0,0,2000.01421147463,0
"38",38,1125000,1133112.24489796,10,10,20,0,0,0,2000.01421147463,0
"39",39,1125000,1132755.10204082,10,10,20,0,0,0,2000.01421147463,0
"40",40,1125000,1122653.06122449,30,10,0,0,0,0,2000.01421147463,0
"41",41,1125000,1131173.46938776,10,10,20,0,0,0,2000.01421147463,0
"42",42,1125000,1108724.48979592,21,10,9,0,0,0,2000.01421147463,0
"43",43,1125000,1108520.40816327,27,10,3,0,0,0,2000.01421147463,0
"44",44,1125000,1121683.67346939,30,10,0,0,0,0,2000.01421147463,0
"45",45,1125000,1118214.28571429,29,10,1,0,0,0,2000.01421147463,0
"46",46,1125000,1126326.53061224,11,10,19,0,0,0,2000.01421147463,0
"47",47,1125000,1112346.93877551,26,10,4,0,0,0,2000.01421147463,0
"48",48,1125000,1116938.7755102,30,10,0,0,0,0,2000.01421147463,0
"49",49,1125000,1119897.95918367,28,10,2,0,0,0,2000.01421147463,0
"50",50,1125000,1132397.95918367,10,10,20,0,0,0,2000.01421147463,0
