"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,2e+06,2006439.90929705,10,10,20,383,0,0,164.118919635996,383
"2",2,1999617,1960634.92063492,30,10,0,0,0,0,164.247355699478,0
"3",3,1999617,2013333.33333333,10,10,20,387,0,0,164.248117831028,387
"4",4,1999230,1980045.35147392,30,10,0,0,0,0,164.378859659371,0
"5",5,1999230,1989297.05215419,21,10,9,0,0,0,164.509992412473,0
"6",6,1999230,2004444.44444444,10,10,20,386,0,0,164.380243195448,386
"7",7,1998844,1984671.20181406,30,10,0,0,0,0,164.507644240031,0
"8",8,1998844,1999092.97052154,29,10,1,0,0,0,164.64394418109,0
"9",9,1998844,1986848.07256236,29,10,1,0,0,0,164.647499618104,0
"10",10,1998844,2031836.73469388,10,10,20,385,0,0,164.517432065848,385
"11",11,1998459,1974240.36281179,30,10,0,0,0,0,164.648154163591,0
"12",12,1998459,2013968.25396825,10,10,20,378,0,0,164.645437282356,378
"13",13,1998081,2007165.53287982,10,10,18,381,0,0,164.643595753756,381
"14",14,1997700,1968888.88888889,30,10,0,0,0,0,164.901697585629,0
"15",15,1997700,1996099.77324263,18,10,12,3,0,0,165.021907649287,3
"16",16,1997697,1978140.58956916,27,10,3,0,0,0,165.028784845415,0
"17",17,1997697,2011882.0861678,10,10,20,374,0,0,164.899990710656,374
"18",18,1997323,1988299.31972789,30,10,0,0,0,0,165.024549693335,0
"19",19,1997323,1993922.90249433,16,10,14,4,0,0,165.15504827097,4
"20",20,1997319,1994557.82312925,28,10,2,0,0,0,165.153482886483,0
"21",21,1997319,2007709.75056689,10,10,20,382,0,0,165.027758047805,382
"22",22,1996937,2019863.94557823,10,10,20,385,0,0,165.026439803256,385
"23",23,1996552,1997732.42630385,30,10,0,0,0,0,165.28575207399,0
"24",24,1996552,2010884.3537415,10,10,20,383,0,0,165.290220261211,383
"25",25,1996169,1977959.18367347,30,10,0,0,0,0,165.423036880802,0
"26",26,1996169,2009523.80952381,10,10,20,381,0,0,165.418285874058,381
"27",27,1995788,1989206.34920635,30,10,0,0,0,0,165.548135314066,0
"28",28,1995788,1979501.13378685,24,10,6,0,0,0,165.680737878538,0
"29",29,1995788,1990657.59637188,26,10,4,0,0,0,165.67255336896,0
"30",30,1995788,2016326.53061224,13,10,17,15,0,0,165.668876156492,15
"31",31,1995773,1970521.54195011,30,10,0,0,0,0,165.674634506874,0
"32",32,1995773,1989931.97278912,24,10,6,0,0,0,165.686376832072,0
"33",33,1995773,1997641.72335601,26,10,4,0,0,0,165.67820242552,0
"34",34,1995773,1992562.35827664,30,10,0,0,0,0,165.678692922442,0
"35",35,1995773,2014240.36281179,10,10,20,380,0,0,165.553335584726,380
"36",36,1995393,1990385.48752834,30,10,0,0,0,0,165.68103428329,0
"37",37,1995393,2001904.76190476,10,10,20,377,0,0,165.684250635568,377
"38",38,1995016,1979863.94557823,30,10,0,0,0,0,165.812829077885,0
"39",39,1995016,1991836.73469388,24,10,6,0,0,0,165.937906706274,0
"40",40,1995016,1997913.83219955,28,10,2,0,0,0,165.937278039778,0
"41",41,1995016,2000181.40589569,10,10,20,378,0,0,165.812941709274,378
"42",42,1994638,1993106.57596372,30,10,0,0,0,0,165.94397361466,0
"43",43,1994638,2004988.66213152,10,10,20,381,0,0,165.93866684445,381
"44",44,1994257,2004263.03854875,10,10,20,386,0,0,165.936342883436,386
"45",45,1993871,1967709.75056689,30,10,0,0,0,0,166.198319076034,0
"46",46,1993871,1993197.27891156,24,10,6,0,0,0,166.3323355711,0
"47",47,1993871,1994195.01133787,29,10,1,0,0,0,166.33341765571,0
"48",48,1993871,2008616.78004535,13,10,17,16,0,0,166.323868305421,16
"49",49,1993855,2011065.75963719,10,10,20,388,0,0,166.200877765318,388
"50",50,1993467,2002176.8707483,10,10,20,383,0,0,166.209183360462,383
