"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,2e+06,1985759.63718821,29,10,1,124,0,0,36.7643974086219,124
"2",2,1999876,2022585.03401361,10,10,20,376,0,0,36.7638441501525,376
"3",3,1999500,1997278.91156463,30,10,0,121,0,0,36.7790249722167,121
"4",4,1999379,1976780.04535147,30,10,0,121,0,0,36.826265054952,121
"5",5,1999258,1989931.97278912,30,10,0,121,0,0,36.8418101693921,121
"6",6,1999137,1986213.15192744,30,10,0,121,0,0,36.8545247481839,121
"7",7,1999016,2008888.88888889,10,10,20,376,0,0,36.8684907868472,376
"8",8,1998640,1992199.54648526,30,10,0,121,0,0,36.8833516612501,121
"9",9,1998519,1987392.29024943,30,10,0,121,0,0,36.9259830622102,121
"10",10,1998398,2021043.08390023,10,10,20,376,0,0,36.9403169410911,376
"11",11,1998022,2014421.76870748,10,10,20,376,0,0,36.9584531996043,376
"12",12,1997646,1981859.41043084,30,10,0,121,0,0,37.0076177384438,121
"13",13,1997525,2001723.35600907,10,10,20,376,0,0,37.0567950063674,376
"14",14,1997149,1981587.3015873,30,10,0,121,0,0,37.073034594377,121
"15",15,1997028,1958458.04988662,30,10,0,121,0,0,37.1199235910373,121
"16",16,1996907,2000544.21768707,10,10,20,376,0,0,37.1351974684287,376
"17",17,1996531,1999546.48526077,30,10,0,121,0,0,37.1514376102022,121
"18",18,1996410,1976507.93650794,30,10,0,121,0,0,37.1955802376754,121
"19",19,1996289,1999909.29705215,30,10,0,121,0,0,37.2111166769279,121
"20",20,1996168,2007709.75056689,10,10,20,376,0,0,37.2253997980043,376
"21",21,1995792,1973786.84807256,30,10,0,121,0,0,37.2390169925072,121
"22",22,1995671,1999092.97052154,30,10,0,121,0,0,37.2863221789382,121
"23",23,1995550,1999002.2675737,30,10,0,121,0,0,37.2999420357835,121
"24",24,1995429,1974784.58049887,30,10,0,121,0,0,37.3153408138564,121
"25",25,1995308,1999818.59410431,30,10,0,121,0,0,37.3298731000343,121
"26",26,1995187,1981768.70748299,30,10,0,121,0,0,37.3450775882832,121
"27",27,1995066,1982857.14285714,30,10,0,121,0,0,37.3592000370311,121
"28",28,1994945,1996643.99092971,30,10,0,121,0,0,37.3756017107368,121
"29",29,1994824,2010158.73015873,10,10,20,376,0,0,37.3901578924967,376
"30",30,1994448,1982312.92517007,30,10,0,121,0,0,37.4050760161106,121
"31",31,1994327,2007528.3446712,10,10,20,376,0,0,37.4538957404752,376
"32",32,1993951,1968979.59183673,30,10,0,121,0,0,37.4700832235983,121
"33",33,1993830,1998458.04988662,30,10,0,121,0,0,37.5166973751339,121
"34",34,1993709,1999092.97052154,30,10,0,121,0,0,37.5317785642397,121
"35",35,1993588,1973151.92743764,30,10,0,121,0,0,37.5474895394433,121
"36",36,1993467,1988934.24036281,30,10,0,121,0,0,37.5631685850451,121
"37",37,1993346,1990929.70521542,30,10,0,121,0,0,37.5779259111947,121
"38",38,1993225,1991111.11111111,30,10,0,121,0,0,37.5928324567778,121
"39",39,1993104,2016145.12471655,10,10,20,376,0,0,37.6078980122769,376
"40",40,1992728,1986122.44897959,30,10,0,121,0,0,37.6238393129533,121
"41",41,1992607,1997188.20861678,30,10,0,121,0,0,37.6684209061288,121
"42",42,1992486,1978412.6984127,30,10,0,121,0,0,37.6841753301535,121
"43",43,1992365,2005986.39455782,10,10,20,376,0,0,37.698465638566,376
"44",44,1991989,2032743.76417234,10,10,20,376,0,0,37.7130121434773,376
"45",45,1991613,1969160.99773243,30,10,0,121,0,0,37.7601313966208,121
"46",46,1991492,1997278.91156463,30,10,0,121,0,0,37.8050403903911,121
"47",47,1991371,1963900.22675737,30,10,0,121,0,0,37.821601384305,121
"48",48,1991250,1965442.17687075,30,10,0,121,0,0,37.8355453278626,121
"49",49,1991129,2005804.98866213,10,10,20,376,0,0,37.8519213714742,376
"50",50,1990753,1982040.81632653,30,10,0,121,0,0,37.8661657379511,121
