"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,2e+06,2014693.87755102,10,10,20,388,0,0,99.8724881329075,388
"2",2,1999612,2010975.05668934,10,10,20,388,0,0,99.8724881329075,388
"3",3,1999224,2006258.50340136,10,10,20,388,0,0,99.9714065682003,388
"4",4,1998836,1992108.84353742,30,10,0,124,0,0,100.066080289944,124
"5",5,1998712,2023129.25170068,10,10,20,388,0,0,100.160959848538,388
"6",6,1998324,2002811.79138322,10,10,20,388,0,0,100.189995322636,388
"7",7,1997936,2010884.3537415,10,10,20,388,0,0,100.29034915033,388
"8",8,1997548,1994739.22902494,30,10,0,124,0,0,100.387483590134,124
"9",9,1997424,1998185.94104308,30,10,0,124,0,0,100.483961023568,124
"10",10,1997300,1977052.15419501,30,10,0,124,0,0,100.515176178988,124
"11",11,1997176,1997006.80272109,30,10,0,124,0,0,100.54374943539,124
"12",12,1997052,1995102.04081633,30,10,0,124,0,0,100.573325549047,124
"13",13,1996928,1985668.93424036,30,10,0,124,0,0,100.602108643155,124
"14",14,1996804,1984489.79591837,30,10,0,124,0,0,100.631309960725,124
"15",15,1996680,1984761.9047619,30,10,0,124,0,0,100.661959152202,124
"16",16,1996556,1973514.73922903,30,10,0,124,0,0,100.69140221296,124
"17",17,1996432,1995555.55555556,30,10,0,124,0,0,100.721790487623,124
"18",18,1996308,2009433.10657596,10,10,20,388,0,0,100.750815129198,388
"19",19,1995920,1991564.62585034,30,10,0,124,0,0,100.782923162222,124
"20",20,1995796,1965170.06802721,30,10,0,124,0,0,100.880791374328,124
"21",21,1995672,1975328.79818594,30,10,0,124,0,0,100.912643820879,124
"22",22,1995548,2016417.23356009,10,10,20,388,0,0,100.94412730577,388
"23",23,1995160,1983582.76643991,30,10,0,124,0,0,100.976094300511,124
"24",24,1995036,1978594.10430839,30,10,0,124,0,0,101.075258980738,124
"25",25,1994912,1983673.46938776,30,10,0,124,0,0,101.107056113826,124
"26",26,1994788,1972063.49206349,30,10,0,124,0,0,101.137183983862,124
"27",27,1994664,2002358.27664399,10,10,20,388,0,0,101.167510721541,388
"28",28,1994276,1980952.38095238,30,10,0,124,0,0,101.197938138147,124
"29",29,1994152,1996009.07029478,30,10,0,124,0,0,101.295005320971,124
"30",30,1994028,1997278.91156463,30,10,0,124,0,0,101.324790847436,124
"31",31,1993904,1991746.03174603,30,10,0,124,0,0,101.354377558939,124
"32",32,1993780,2002721.08843537,10,10,20,388,0,0,101.386130953715,388
"33",33,1993392,1998276.64399093,30,10,0,124,0,0,101.420138804895,124
"34",34,1993268,2008979.59183673,10,10,20,388,0,0,101.518440882935,388
"35",35,1992880,1987845.80498866,30,10,0,124,0,0,101.548818129823,124
"36",36,1992756,1974965.98639456,30,10,0,124,0,0,101.645901200699,124
"37",37,1992632,2025578.23129252,10,10,20,388,0,0,101.676151153056,388
"38",38,1992244,1976145.12471655,30,10,0,124,0,0,101.709867006968,124
"39",39,1992120,1974331.06575964,30,10,0,124,0,0,101.80645017076,124
"40",40,1991996,1984580.49886621,30,10,0,124,0,0,101.838139094223,124
"41",41,1991872,1985578.23129252,30,10,0,124,0,0,101.869195367469,124
"42",42,1991748,1984399.09297052,30,10,0,124,0,0,101.900892462119,124
"43",43,1991624,2021315.19274376,10,10,20,388,0,0,101.930184911321,388
"44",44,1991236,1996009.07029478,30,10,0,124,0,0,101.962643050775,124
"45",45,1991112,1976326.53061224,30,10,0,124,0,0,102.058775620067,124
"46",46,1990988,1992108.84353742,30,10,0,124,0,0,102.087911222485,124
"47",47,1990864,2006349.20634921,10,10,20,388,0,0,102.11750027095,388
"48",48,1990476,1964625.85034014,30,10,0,124,0,0,102.151347527052,124
"49",49,1990352,2027755.10204082,10,10,20,388,0,0,102.249660353749,388
"50",50,1989964,1999727.89115646,30,10,0,124,0,0,102.280834893523,124
