"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,1125000,1116989.79591837,24,10,6,0,0,0,2000,0
"2",2,1125000,1137755.10204082,10,10,20,0,0,0,2000,0
"3",3,1125000,1128928.57142857,10,10,20,0,0,0,2000,0
"4",4,1125000,1126530.6122449,10,10,20,0,0,0,2000,0
"5",5,1125000,1115102.04081633,22,10,8,0,0,0,2000,0
"6",6,1125000,1117653.06122449,25,10,5,0,0,0,2000,0
"7",7,1125000,1128061.2244898,11,10,19,0,0,0,2000,0
"8",8,1125000,1127244.89795918,10,10,20,0,0,0,2000,0
"9",9,1125000,1118520.40816327,25,10,5,0,0,0,2000,0
"10",10,1125000,1121275.51020408,28,10,2,0,0,0,2000,0
"11",11,1125000,1132142.85714286,13,10,17,0,0,0,2000,0
"12",12,1125000,1129132.65306122,11,10,19,0,0,0,2000,0
"13",13,1125000,1125204.08163265,10,10,20,0,0,0,2000,0
"14",14,1125000,1132704.08163265,10,10,20,0,0,0,2000,0
"15",15,1125000,1130408.16326531,10,10,20,0,0,0,2000,0
"16",16,1125000,1134132.65306122,10,10,20,0,0,0,2000,0
"17",17,1125000,1132244.89795918,10,10,20,0,0,0,2000,0
"18",18,1125000,1112755.10204082,25,10,5,0,0,0,2000,0
"19",19,1125000,1128979.59183673,11,10,19,0,0,0,2000,0
"20",20,1125000,1124387.75510204,30,10,0,0,0,0,2000,0
"21",21,1125000,1116734.69387755,29,10,1,0,0,0,2000,0
"22",22,1125000,1119438.7755102,30,10,0,0,0,0,2000,0
"23",23,1125000,1129336.73469388,10,10,20,0,0,0,2000,0
"24",24,1125000,1112295.91836735,17,10,13,0,0,0,2000,0
"25",25,1125000,1128316.32653061,12,10,18,0,0,0,2000,0
"26",26,1125000,1132142.85714286,10,10,20,0,0,0,2000,0
"27",27,1125000,1121173.46938776,30,10,0,0,0,0,2000,0
"28",28,1125000,1137040.81632653,10,10,20,0,0,0,2000,0
"29",29,1125000,1124387.75510204,20,10,10,0,0,0,2000,0
"30",30,1125000,1118571.42857143,23,10,7,0,0,0,2000,0
"31",31,1125000,1132602.04081633,10,10,20,0,0,0,2000,0
"32",32,1125000,1118265.30612245,20,10,10,0,0,0,2000,0
"33",33,1125000,1118775.51020408,28,10,2,0,0,0,2000,0
"34",34,1125000,1134489.79591837,13,10,17,0,0,0,2000,0
"35",35,1125000,1128520.40816327,10,10,20,0,0,0,2000,0
"36",36,1125000,1126071.42857143,10,10,20,0,0,0,2000,0
"37",37,1125000,1136734.69387755,10,10,20,0,0,0,2000,0
"38",38,1125000,1142704.08163265,10,10,20,0,0,0,2000,0
"39",39,1125000,1125459.18367347,10,10,20,0,0,0,2000,0
"40",40,1125000,1126632.65306122,10,10,20,0,0,0,2000,0
"41",41,1125000,1124387.75510204,19,10,11,0,0,0,2000,0
"42",42,1125000,1121479.59183673,30,10,0,0,0,0,2000,0
"43",43,1125000,1139336.73469388,10,10,20,0,0,0,2000,0
"44",44,1125000,1115255.10204082,30,10,0,0,0,0,2000,0
"45",45,1125000,1129081.63265306,10,10,20,0,0,0,2000,0
"46",46,1125000,1130459.18367347,10,10,20,0,0,0,2000,0
"47",47,1125000,1127959.18367347,10,10,20,0,0,0,2000,0
"48",48,1125000,1119336.73469388,19,10,11,0,0,0,2000,0
"49",49,1125000,1129183.67346939,10,10,20,0,0,0,2000,0
"50",50,1125000,1133826.53061224,10,10,20,0,0,0,2000,0
