"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested","sim"
"1",1,2e+06,1992925.17006803,15,10,15,259,0,0,164.210940308929,259,"N1"
"2",2,1999741,1980680.27210884,30,10,0,0,0,0,164.264562782013,0,"N1"
"3",3,1999741,2007528.3446712,10,10,20,394,0,0,164.29993196634,394,"N1"
"4",4,1999347,1992562.35827664,30,10,0,0,0,0,164.353052391143,0,"N1"
"5",5,1999347,1998820.861678,25,10,5,139,0,0,164.440018869293,139,"N1"
"6",6,1999208,1993015.87301587,30,10,0,0,0,0,164.485576490667,0,"N1"
"7",7,1999208,1973696.14512472,28,10,2,17,0,0,164.528922446479,17,"N1"
"8",8,1999191,2004716.55328798,10,10,20,394,0,0,164.481607335155,394,"N1"
"9",9,1998797,1987573.69614512,30,10,0,0,0,0,164.541061382215,0,"N1"
"10",10,1998797,2015600.90702948,10,10,20,394,0,0,164.618828407813,394,"N1"
"11",11,1998403,2009523.80952381,10,10,20,394,0,0,164.618828407813,394,"N1"
"12",12,1998009,1991020.40816327,30,10,0,0,0,0,164.804032604192,0,"N1"
"13",13,1998009,1981133.78684807,23,10,7,165,0,0,164.889453244318,165,"N1"
"14",14,1997844,1980680.27210884,30,10,0,0,0,0,164.939711092074,0,"N1"
"15",15,1997844,1970068.02721088,30,10,0,0,0,0,164.996812693584,0,"N1"
"16",16,1997844,2003718.82086168,10,10,20,394,0,0,164.943599827069,394,"N1"
"17",17,1997450,1983673.46938776,30,10,0,0,0,0,164.998005711929,0,"N1"
"18",18,1997450,1999092.97052154,25,10,5,139,0,0,165.084444140521,139,"N1"
"19",19,1997311,1992380.95238095,30,10,0,0,0,0,165.130026023843,0,"N1"
"20",20,1997311,2029841.26984127,10,10,20,394,0,0,165.124286173363,394,"N1"
"21",21,1996917,2001632.65306122,10,10,20,394,0,0,165.124286173363,394,"N1"
"22",22,1996523,2009070.29478458,10,10,20,394,0,0,165.256541544604,394,"N1"
"23",23,1996129,2018503.40136054,10,10,20,394,0,0,165.392579057771,394,"N1"
"24",24,1995735,2008888.88888889,10,10,20,394,0,0,165.528877364758,394,"N1"
"25",25,1995341,2023673.46938776,10,10,20,394,0,0,165.660755871619,394,"N1"
