"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,1997971,2009614.51247166,10,10,20,392,0,0,164.264440349733,392
"2",2,1995622,2013696.14512472,10,10,20,392,0,0,164.678235019017,392
"3",3,1993256,1993832.19954649,30,10,0,0,0,0,165.271695879561,0
"4",4,1991330,1991292.5170068,26,10,4,41,0,0,165.810417116939,41
"5",5,1989200,1993741.49659864,30,10,0,0,0,0,166.233273420912,0
"6",6,1987284,1995827.66439909,29,10,1,5,0,0,166.686402497895,5
"7",7,1985307,1976326.53061224,29,10,1,5,0,0,167.080796968149,5
"8",8,1983302,1984217.68707483,30,10,0,0,0,0,167.499195701492,0
"9",9,1981346,1973151.92743764,23,10,7,160,0,0,167.856053218227,160
"10",10,1979135,1983582.76643991,30,10,0,0,0,0,168.322283918829,0
"11",11,1977152,1978956.91609977,30,10,0,0,0,0,168.814103301063,0
"12",12,1975196,1948390.02267574,30,10,0,0,0,0,169.242184045849,0
"13",13,1973210,1980408.16326531,27,10,3,17,0,0,169.655014538423,17
"14",14,1971174,1984036.28117914,30,10,0,0,0,0,170.091972634442,0
"15",15,1969227,1967891.15646258,26,10,4,39,0,0,170.512014703473,39
"16",16,1967149,1954013.60544218,30,10,0,0,0,0,170.954298996219,0
"17",17,1965224,1945306.12244898,30,10,0,0,0,0,171.3848830919,0
"18",18,1963291,1954739.22902494,26,10,4,39,0,0,171.784413422592,39
"19",19,1961195,1943764.1723356,30,10,0,0,0,0,172.211674776185,0
"20",20,1959181,1960272.10884354,28,10,2,11,0,0,172.677758368812,11
"21",21,1957224,1962811.79138322,30,10,0,0,0,0,173.111169675368,0
"22",22,1955210,1961723.35600907,26,10,4,39,0,0,173.513462508556,39
"23",23,1953154,1953560.09070295,30,10,0,0,0,0,173.971524789329,0
"24",24,1951187,1954376.41723356,20,10,10,190,0,0,174.358626663183,190
"25",25,1948998,1933061.2244898,30,10,0,0,0,0,174.836876935381,0
"26",26,1947033,1952471.6553288,27,10,3,17,0,0,175.338430804595,17
"27",27,1944893,1929614.51247166,30,10,0,0,0,0,175.786139818919,0
"28",28,1942842,1967074.82993197,25,10,5,139,0,0,176.207189095121,139
"29",29,1940764,1937868.48072562,30,10,0,0,0,0,176.712191070991,0
"30",30,1938704,1935873.01587302,25,10,5,137,0,0,177.15729580834,137
"31",31,1936621,1923809.52380952,30,10,0,0,0,0,177.659531624808,0
"32",32,1934581,1935873.01587302,30,10,0,0,0,0,178.140967507259,0
"33",33,1932606,1921088.43537415,22,10,8,169,0,0,178.535797092231,169
"34",34,1930372,1940136.05442177,30,10,0,0,0,0,179.02045290092,0
"35",35,1928381,1926077.09750567,23,10,7,160,0,0,179.504522221162,160
"36",36,1926231,1944399.09297052,30,10,0,0,0,0,180.003772766138,0
"37",37,1924214,1923174.6031746,23,10,7,160,0,0,180.454351941178,160
"38",38,1921983,1919092.97052154,30,10,0,0,0,0,180.939235374078,0
"39",39,1919973,1918639.45578231,19,10,11,202,0,0,181.398663661302,202
"40",40,1917839,1932335.60090703,30,10,0,0,0,0,181.905453332108,0
"41",41,1915857,1935238.0952381,20,10,10,190,0,0,182.375972808254,190
"42",42,1913717,1922993.19727891,30,10,0,0,0,0,182.887926796395,0
"43",43,1911754,1924625.85034014,28,10,2,11,0,0,183.390042485555,11
"44",44,1909785,1909115.6462585,30,10,0,0,0,0,183.848226513601,0
"45",45,1907845,1898866.21315193,30,10,0,0,0,0,184.32677335342,0
"46",46,1905833,1884988.66213152,19,10,11,202,0,0,184.717802686879,202
"47",47,1903605,1905124.71655329,30,10,0,0,0,0,185.248472462643,0
"48",48,1901532,1904399.09297052,28,10,2,11,0,0,185.79938872119,11
"49",49,1899598,1888798.18594104,30,10,0,0,0,0,186.287115480797,0
"50",50,1897547,1889070.29478458,22,10,8,169,0,0,186.678281886699,169
