"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,1998038,2024036.28117914,10,10,20,391,0,0,36.492199344005,391
"2",2,1995699,1969160.99773243,30,10,0,125,0,0,36.6343939691208,125
"3",3,1993627,2015147.39229025,10,10,20,391,0,0,36.8230072728759,391
"4",4,1991215,2001451.24716553,10,10,20,391,0,0,36.9794544382193,391
"5",5,1988864,2004988.66213152,10,10,20,391,0,0,37.1730738272638,391
"6",6,1986515,2004716.55328798,10,10,20,391,0,0,37.3645514802313,391
"7",7,1984164,1983038.54875283,30,10,0,125,0,0,37.5569336350363,125
"8",8,1982001,1977596.37188209,30,10,0,125,0,0,37.754692130555,125
"9",9,1979849,1982947.84580499,30,10,0,125,0,0,37.9281420817536,125
"10",10,1977733,1955102.04081633,30,10,0,125,0,0,38.093881282812,125
"11",11,1975642,1988480.72562358,30,10,0,125,0,0,38.2623893796272,125
"12",12,1973460,1985396.82539683,30,10,0,125,0,0,38.431017898535,125
"13",13,1971417,1957369.61451247,30,10,0,125,0,0,38.6175637054996,125
"14",14,1969269,1968888.88888889,30,10,0,125,0,0,38.7754819286769,125
"15",15,1967198,1968072.56235828,30,10,0,125,0,0,38.9490052260907,125
"16",16,1965039,1961814.05895692,30,10,0,125,0,0,39.1213473252997,125
"17",17,1962875,1965260.77097506,30,10,0,125,0,0,39.3026416303681,125
"18",18,1960773,1971519.27437642,30,10,0,125,0,0,39.4778825114078,125
"19",19,1958708,1941950.11337868,30,10,0,125,0,0,39.6513352920155,125
"20",20,1956624,1964807.25623583,30,10,0,125,0,0,39.8250464372606,125
"21",21,1954472,1960181.40589569,30,10,0,125,0,0,40.0014339439819,125
"22",22,1952397,1975238.0952381,30,10,0,125,0,0,40.1826390058586,125
"23",23,1950296,1964172.33560091,30,10,0,125,0,0,40.3533640279594,125
"24",24,1948186,1966893.42403628,30,10,0,125,0,0,40.5365340584549,125
"25",25,1946088,1927891.15646258,30,10,0,125,0,0,40.7127275058513,125
"26",26,1943998,1940317.46031746,30,10,0,125,0,0,40.8913600324036,125
"27",27,1941921,1942222.22222222,30,10,0,125,0,0,41.0601153692917,125
"28",28,1939774,1944761.9047619,30,10,0,125,0,0,41.2425675134214,125
"29",29,1937682,1925442.17687075,30,10,0,125,0,0,41.4264535309478,125
"30",30,1935534,1947755.10204082,30,10,0,125,0,0,41.6144151835421,125
"31",31,1933378,1932607.70975057,30,10,0,125,0,0,41.7994341435512,125
"32",32,1931226,1944036.28117914,30,10,0,125,0,0,41.9872003684865,125
"33",33,1929096,1926077.09750567,30,10,0,125,0,0,42.1800971049193,125
"34",34,1926896,1915827.66439909,30,10,0,125,0,0,42.3684756405784,125
"35",35,1924827,1928526.07709751,30,10,0,125,0,0,42.5654467705077,125
"36",36,1922662,1939138.32199546,30,10,0,125,0,0,42.7527029736334,125
"37",37,1920624,1923537.41496599,30,10,0,125,0,0,42.9456464925901,125
"38",38,1918558,1912199.54648526,30,10,0,125,0,0,43.1191294394105,125
"39",39,1916419,1903219.95464853,30,10,0,125,0,0,43.3070147859475,125
"40",40,1914244,1903038.54875283,30,10,0,125,0,0,43.5047687693474,125
"41",41,1912178,1901587.3015873,30,10,0,125,0,0,43.7021787869746,125
"42",42,1910094,1925170.06802721,30,10,0,125,0,0,43.8968042580203,125
"43",43,1907978,1906213.15192744,30,10,0,125,0,0,44.0817571390724,125
"44",44,1905861,1909659.86394558,30,10,0,125,0,0,44.2637535270363,125
"45",45,1903661,1918639.45578231,30,10,0,125,0,0,44.4599180518792,125
"46",46,1901570,1894693.87755102,30,10,0,125,0,0,44.6567475416816,125
"47",47,1899547,1919002.2675737,30,10,0,125,0,0,44.8452462961055,125
"48",48,1897452,1887165.53287982,30,10,0,125,0,0,45.0354881325066,125
"49",49,1895271,1895328.79818594,30,10,0,125,0,0,45.2310063635067,125
"50",50,1893143,1890884.3537415,30,10,0,125,0,0,45.4350331253457,125
