"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,1998006,1968072.56235828,28,10,2,134,0,0,13.4884687300499,134
"2",2,1995847,1973605.44217687,30,10,0,129,0,0,13.5559788751587,129
"3",3,1993617,1981496.59863946,30,10,0,129,0,0,13.628490007231,129
"4",4,1991459,1989841.26984127,30,10,0,129,0,0,13.708605408243,129
"5",5,1989316,1974965.98639456,30,10,0,129,0,0,13.7834474824245,129
"6",6,1987206,1980498.86621315,30,10,0,129,0,0,13.8612914238432,129
"7",7,1985041,1994013.60544218,30,10,0,129,0,0,13.9363130797507,129
"8",8,1982865,1987664.39909297,30,10,0,129,0,0,14.0150549507804,129
"9",9,1980693,1986394.55782313,30,10,0,129,0,0,14.0937196062375,129
"10",10,1978597,1982675.73696145,30,10,0,129,0,0,14.1736596941852,129
"11",11,1976556,1987120.1814059,30,10,0,129,0,0,14.2516065280238,129
"12",12,1974455,1973242.63038549,30,10,0,129,0,0,14.3279271474708,129
"13",13,1972322,1957913.83219955,30,10,0,129,0,0,14.4060187886009,129
"14",14,1970210,1959546.48526077,30,10,0,129,0,0,14.4820347732916,129
"15",15,1968034,1962993.19727891,30,10,0,129,0,0,14.5604214395075,129
"16",16,1965879,1976054.42176871,30,10,0,129,0,0,14.6400007232809,129
"17",17,1963738,1972063.49206349,30,10,0,129,0,0,14.7211318750887,129
"18",18,1961546,1952925.17006803,30,10,0,129,0,0,14.8024682551325,129
"19",19,1959382,1947029.47845805,30,10,0,129,0,0,14.8854565126686,129
"20",20,1957228,1980952.38095238,30,10,0,129,0,0,14.9732552302498,129
"21",21,1955107,1958639.45578231,30,10,0,129,0,0,15.0586773332609,129
"22",22,1952973,1943129.25170068,30,10,0,129,0,0,15.143760530481,129
"23",23,1950839,1933605.44217687,30,10,0,129,0,0,15.2296891518747,129
"24",24,1948809,1954467.12018141,30,10,0,129,0,0,15.3165198950257,129
"25",25,1946625,1923628.11791383,30,10,0,129,0,0,15.3987505716205,129
"26",26,1944396,1943129.25170068,30,10,0,129,0,0,15.4873114397147,129
"27",27,1942270,1936417.23356009,30,10,0,129,0,0,15.5763706825903,129
"28",28,1940141,1954195.01133787,30,10,0,129,0,0,15.6638541385969,129
"29",29,1937943,1939773.24263039,30,10,0,129,0,0,15.7518261603348,129
"30",30,1935849,1928707.4829932,30,10,0,129,0,0,15.8418040903267,129
"31",31,1933721,1939863.94557823,30,10,0,129,0,0,15.9276485735535,129
"32",32,1931592,1936235.8276644,30,10,0,129,0,0,16.0217783939343,129
"33",33,1929344,1918548.75283447,30,10,0,129,0,0,16.1091837841552,129
"34",34,1927256,1924444.44444444,30,10,0,129,0,0,16.2016524744524,129
"35",35,1925108,1918458.04988662,30,10,0,129,0,0,16.288122220413,129
"36",36,1922979,1932426.30385488,30,10,0,129,0,0,16.378885294535,129
"37",37,1920885,1911111.11111111,30,10,0,129,0,0,16.4735435790476,129
"38",38,1918763,1908390.02267574,30,10,0,129,0,0,16.5596367634308,129
"39",39,1916680,1927891.15646258,30,10,0,129,0,0,16.6522283238873,129
"40",40,1914602,1918367.34693878,30,10,0,129,0,0,16.7418310461071,129
"41",41,1912436,1893877.55102041,30,10,0,129,0,0,16.8322680057699,129
"42",42,1910255,1897414.96598639,30,10,0,129,0,0,16.9264529180941,129
"43",43,1908060,1923174.6031746,30,10,0,129,0,0,17.0191000123466,129
"44",44,1905940,1911836.73469388,30,10,0,129,0,0,17.1156821824812,129
"45",45,1903814,1892154.19501134,30,10,0,129,0,0,17.2063832424646,129
"46",46,1901729,1887437.64172336,30,10,0,129,0,0,17.300158595539,129
"47",47,1899590,1905215.41950113,30,10,0,129,0,0,17.391810576486,129
"48",48,1897459,1895238.0952381,30,10,0,129,0,0,17.4853616058215,129
"49",49,1895302,1883265.30612245,30,10,0,129,0,0,17.5801989960323,129
"50",50,1893179,1901859.41043084,30,10,0,129,0,0,17.6817345815262,129
