"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,2e+06,1986938.7755102,30,10,0,124,0,0,164.746481522115,124
"2",2,1999876,1971428.57142857,30,10,0,124,0,0,164.746618748254,124
"3",3,1999752,2012335.60090703,10,10,20,387,0,0,164.784700080728,387
"4",4,1999365,1994648.5260771,30,10,0,124,0,0,164.827088431852,124
"5",5,1999241,2003356.00907029,10,10,20,387,0,0,164.961078629398,387
"6",6,1998854,1988662.13151927,30,10,0,124,0,0,165.004500382922,124
"7",7,1998730,1999818.59410431,30,10,0,124,0,0,165.134971379494,124
"8",8,1998606,1983673.46938776,30,10,0,124,0,0,165.177879100834,124
"9",9,1998482,1993832.19954649,30,10,0,124,0,0,165.224075383319,124
"10",10,1998358,1984036.28117914,30,10,0,124,0,0,165.266342987863,124
"11",11,1998234,1997551.02040816,30,10,0,124,0,0,165.310227192695,124
"12",12,1998110,1996916.09977324,30,10,0,124,0,0,165.353316449496,124
"13",13,1997986,2008163.26530612,10,10,20,387,0,0,165.396824076347,387
"14",14,1997599,1992290.24943311,30,10,0,124,0,0,165.442872813324,124
"15",15,1997475,2023401.36054422,10,10,20,387,0,0,165.574647446288,387
"16",16,1997088,1994467.12018141,30,10,0,124,0,0,165.619397537863,124
"17",17,1996964,2004444.44444444,10,10,20,387,0,0,165.750692681878,387
"18",18,1996577,1987301.58730159,30,10,0,124,0,0,165.793541619866,124
"19",19,1996453,2000090.70294785,30,10,0,124,0,0,165.931141013957,124
"20",20,1996329,2004353.7414966,10,10,20,387,0,0,165.974120655448,387
"21",21,1995942,1998276.64399093,30,10,0,124,0,0,166.020028330669,124
"22",22,1995818,1982675.73696145,30,10,0,124,0,0,166.149352190435,124
"23",23,1995694,1999637.18820862,30,10,0,124,0,0,166.192728377179,124
"24",24,1995570,1978775.51020408,30,10,0,124,0,0,166.23414233023,124
"25",25,1995446,1993922.90249433,30,10,0,124,0,0,166.278949431607,124
"26",26,1995322,1990566.89342404,30,10,0,124,0,0,166.321153257902,124
"27",27,1995198,1977414.96598639,30,10,0,124,0,0,166.365518293154,124
"28",28,1995074,2012335.60090703,10,10,20,387,0,0,166.406765313882,387
"29",29,1994687,1969795.91836735,30,10,0,124,0,0,166.450660249843,124
"30",30,1994563,1974965.98639456,30,10,0,124,0,0,166.584506101922,124
"31",31,1994439,1993106.57596372,30,10,0,124,0,0,166.625833901263,124
"32",32,1994315,2009342.40362812,10,10,19,387,0,0,166.666736828613,387
"33",33,1993928,2014603.17460317,10,10,20,387,0,0,166.709352676262,387
"34",34,1993541,1994467.12018141,30,10,0,124,0,0,166.841727143967,124
"35",35,1993417,1988934.24036281,30,10,0,124,0,0,166.970645807554,124
"36",36,1993293,1970430.83900227,30,10,0,124,0,0,167.013365177986,124
"37",37,1993169,2021133.78684807,10,10,20,387,0,0,167.053323920231,387
"38",38,1992782,1961904.76190476,30,10,0,124,0,0,167.098438755387,124
"39",39,1992658,1990748.29931973,30,10,0,124,0,0,167.230681409972,124
"40",40,1992534,1992562.35827664,30,10,0,124,0,0,167.272203728535,124
"41",41,1992410,1988117.9138322,30,10,0,124,0,0,167.315265253866,124
"42",42,1992286,1974058.9569161,30,10,0,124,0,0,167.358107532088,124
"43",43,1992162,2006712.01814059,10,10,20,387,0,0,167.399070391018,387
"44",44,1991775,1998095.23809524,30,10,0,124,0,0,167.440698846919,124
"45",45,1991651,1974512.47165533,30,10,0,124,0,0,167.575251475694,124
"46",46,1991527,2004263.03854875,10,10,20,387,0,0,167.618048894768,387
"47",47,1991140,1981859.41043084,30,10,0,124,0,0,167.661247049255,124
"48",48,1991016,1981496.59863946,30,10,0,124,0,0,167.794647530822,124
"49",49,1990892,1988299.31972789,30,10,0,124,0,0,167.83958404492,124
"50",50,1990768,1980589.569161,30,10,0,124,0,0,167.881843059606,124
