"","time_step","sim","available_yld","sim_yield","trees","perc_yld"
"1",1,"N1",24000,3282.82805009568,1997971,13.678450208732
"2",2,"N1",24000,3291.88266395653,1995622,13.7161777664856
"3",3,"N1",24000,3301.27412471754,1993256,13.7553088529897
"4",4,"N1",24000,3310.2085041276,1991330,13.792535433865
"5",5,"N1",24000,3319.44371190546,1989200,13.8310154662728
"6",6,"N1",24000,3327.86459580638,1987284,13.8661024825266
"7",7,"N1",24000,3335.93580444171,1985307,13.8997325185071
"8",8,"N1",24000,3344.1642137418,1983302,13.9340175572575
"9",9,"N1",24000,3352.29668791115,1981346,13.9679028662965
"10",10,"N1",24000,3360.10888027216,1979135,14.0004536678007
"11",11,"N1",24000,3369.1030475036,1977152,14.0379293645983
"12",12,"N1",24000,3377.32953936132,1975196,14.0722064140055
"13",13,"N1",24000,3386.65302740189,1973210,14.1110542808412
"14",14,"N1",24000,3395.04402100693,1971174,14.1460167541955
"15",15,"N1",24000,3403.91258645573,1969227,14.1829691102322
"16",16,"N1",24000,3412.53563127003,1967149,14.2188984636251
"17",17,"N1",24000,3421.47348455003,1965224,14.2561395189585
"18",18,"N1",24000,3430.51080652295,1963291,14.293795027179
"19",19,"N1",24000,3438.96400548054,1961195,14.3290166895023
"20",20,"N1",24000,3447.57367169581,1959181,14.3648902987326
"21",21,"N1",24000,3455.53149342137,1957224,14.3980478892557
"22",22,"N1",24000,3464.58513618333,1955210,14.4357714007639
"23",23,"N1",24000,3473.64027534854,1953154,14.4735011472856
"24",24,"N1",24000,3482.34151393723,1951187,14.5097563080718
"25",25,"N1",24000,3491.01713569251,1948998,14.5459047320521
"26",26,"N1",24000,3499.45068283981,1947033,14.5810445118325
"27",27,"N1",24000,3509.02933625997,1944893,14.6209555677499
"28",28,"N1",24000,3518.54259710222,1942842,14.6605941545926
"29",29,"N1",24000,3528.44192549513,1940764,14.7018413562297
"30",30,"N1",24000,3537.18057434134,1938704,14.7382523930889
"31",31,"N1",24000,3546.78886563263,1936621,14.7782869401359
"32",32,"N1",24000,3556.14194202921,1934581,14.8172580917884
"33",33,"N1",24000,3565.83875965127,1932606,14.8576614985469
"34",34,"N1",24000,3574.8000244281,1930372,14.8950001017837
"35",35,"N1",24000,3584.49108026962,1928381,14.9353795011234
"36",36,"N1",24000,3593.55264336758,1926231,14.9731360140316
"37",37,"N1",24000,3603.19297759074,1924214,15.0133040732947
"38",38,"N1",24000,3611.67205990491,1921983,15.0486335829371
"39",39,"N1",24000,3621.35153818911,1919973,15.0889647424546
"40",40,"N1",24000,3630.39060435186,1917839,15.1266275181328
"41",41,"N1",24000,3640.14606140374,1915857,15.1672752558489
"42",42,"N1",24000,3649.92398406272,1913717,15.2080166002613
"43",43,"N1",24000,3659.17415400491,1911754,15.2465589750204
"44",44,"N1",24000,3667.76078929464,1909785,15.282336622061
"45",45,"N1",24000,3677.28784775102,1907845,15.3220326989626
"46",46,"N1",24000,3686.62458080349,1905833,15.3609357533479
"47",47,"N1",24000,3696.75470740614,1903605,15.4031446141923
"48",48,"N1",24000,3705.89730711763,1901532,15.4412387796568
"49",49,"N1",24000,3716.28239871517,1899598,15.4845099946465
"50",50,"N1",24000,3725.61498301615,1897547,15.5233957625673
"51",1,"N1a",24000,3285.80431158379,1998027,13.6908512982658
"52",2,"N1a",24000,3292.39935937514,1995998,13.7183306640631
"53",3,"N1a",24000,3302.2564505441,1993643,13.7594018772671
"54",4,"N1a",24000,3311.94127088611,1991572,13.7997552953588
"55",5,"N1a",24000,3320.60141555199,1989530,13.8358392314666
"56",6,"N1a",24000,3328.79532827419,1987507,13.8699805344758
"57",7,"N1a",24000,3337.62339701893,1985441,13.9067641542455
"58",8,"N1a",24000,3346.37374707122,1983393,13.9432239461301
"59",9,"N1a",24000,3354.79994891847,1981409,13.9783331204936
"60",10,"N1a",24000,3363.17127116128,1979441,14.0132136298387
"61",11,"N1a",24000,3371.44353438207,1977501,14.0476813932586
"62",12,"N1a",24000,3379.60072195814,1975471,14.0816696748256
"63",13,"N1a",24000,3388.13930780368,1973506,14.1172471158487
"64",14,"N1a",24000,3396.42229636817,1971428,14.1517595682007
"65",15,"N1a",24000,3405.19097133022,1969377,14.1882957138759
"66",16,"N1a",24000,3413.93475713664,1967313,14.224728154736
"67",17,"N1a",24000,3422.77319241408,1965355,14.261554968392
"68",18,"N1a",24000,3431.12495963442,1963385,14.2963539984768
"69",19,"N1a",24000,3439.55940386665,1961421,14.331497516111
"70",20,"N1a",24000,3448.16780445228,1959431,14.3673658518845
"71",21,"N1a",24000,3456.78437404805,1957411,14.4032682252002
"72",22,"N1a",24000,3465.43391841083,1955514,14.4393079933785
"73",23,"N1a",24000,3473.70713742085,1953508,14.4737797392535
"74",24,"N1a",24000,3482.55032625601,1951548,14.5106263594
"75",25,"N1a",24000,3490.97248461084,1949499,14.5457186858785
"76",26,"N1a",24000,3500.05416030564,1947513,14.5835590012735
"77",27,"N1a",24000,3508.6162049728,1945482,14.6192341873867
"78",28,"N1a",24000,3517.59813888123,1943608,14.6566589120051
"79",29,"N1a",24000,3525.85212588181,1941571,14.6910505245076
"80",30,"N1a",24000,3534.66960354419,1939584,14.7277900147675
"81",31,"N1a",24000,3543.59759906012,1937549,14.7649899960839
"82",32,"N1a",24000,3552.61440059317,1935586,14.8025600024715
"83",33,"N1a",24000,3561.40794037161,1933568,14.8391997515484
"84",34,"N1a",24000,3570.35191347115,1931558,14.8764663061298
"85",35,"N1a",24000,3579.27751986954,1929588,14.9136563327898
"86",36,"N1a",24000,3588.24812099191,1927637,14.9510338374663
"87",37,"N1a",24000,3597.13062810761,1925655,14.9880442837817
"88",38,"N1a",24000,3606.15750348243,1923712,15.0256562645101
"89",39,"N1a",24000,3614.87842051019,1921765,15.0619934187924
"90",40,"N1a",24000,3623.68651272218,1919886,15.0986938030091
"91",41,"N1a",24000,3632.21389617004,1917809,15.1342245673751
"92",42,"N1a",24000,3641.45325809036,1915818,15.1727219087098
"93",43,"N1a",24000,3650.60009558761,1913859,15.210833731615
"94",44,"N1a",24000,3659.59752719092,1911819,15.2483230299621
"95",45,"N1a",24000,3668.75504006834,1909859,15.2864793336181
"96",46,"N1a",24000,3677.67832939157,1907888,15.3236597057982
"97",47,"N1a",24000,3686.77612626384,1905892,15.361567192766
"98",48,"N1a",24000,3696.09857669119,1903865,15.4004107362133
"99",49,"N1a",24000,3705.43158955722,1901783,15.4392982898218
"100",50,"N1a",24000,3715.10834284055,1899760,15.479618095169
"101",1,"N1b",24000,731.562873545319,1998038,3.04817863977216
"102",2,"N1b",24000,734.427423671087,1995699,3.0601142652962
"103",3,"N1b",24000,737.790570701255,1993627,3.0741273779219
"104",4,"N1b",24000,740.836514267767,1991215,3.08681880944903
"105",5,"N1b",24000,744.422726774442,1988864,3.10176136156017
"106",6,"N1b",24000,747.957898055601,1986515,3.11649124189834
"107",7,"N1b",24000,751.409232064375,1984164,3.13087180026823
"108",8,"N1b",24000,754.936789616481,1982001,3.14556995673534
"109",9,"N1b",24000,758.185505229003,1979849,3.15910627178751
"110",10,"N1b",24000,761.48620676891,1977733,3.17285919487046
"111",11,"N1b",24000,764.672150739228,1975642,3.18613396141345
"112",12,"N1b",24000,767.907440756151,1973460,3.19961433648396
"113",13,"N1b",24000,771.37211914877,1971417,3.21405049645321
"114",14,"N1b",24000,774.485177703698,1969269,3.22702157376541
"115",15,"N1b",24000,777.825975414505,1967198,3.2409415642271
"116",16,"N1b",24000,781.058205619548,1965039,3.25440919008145
"117",17,"N1b",24000,784.491055494795,1962875,3.26871273122831
"118",18,"N1b",24000,787.95808344649,1960773,3.28315868102704
"119",19,"N1b",24000,791.20888690461,1958708,3.29670369543588
"120",20,"N1b",24000,794.510753980256,1956624,3.31046147491773
"121",21,"N1b",24000,797.809942587417,1954472,3.32420809411424
"122",22,"N1b",24000,801.344297554008,1952397,3.3389345731417
"123",23,"N1b",24000,804.732578552796,1950296,3.35305241063665
"124",24,"N1b",24000,808.110905684919,1948186,3.36712877368716
"125",25,"N1b",24000,811.499636486992,1946088,3.38124848536247
"126",26,"N1b",24000,814.8914204126,1943998,3.39538091838583
"127",27,"N1b",24000,818.221480087574,1941921,3.40925616703156
"128",28,"N1b",24000,821.659902617797,1939774,3.42358292757415
"129",29,"N1b",24000,825.214525579121,1937682,3.43839385657967
"130",30,"N1b",24000,828.741022912757,1935534,3.45308759546982
"131",31,"N1b",24000,832.247583754441,1933378,3.46769826564351
"132",32,"N1b",24000,835.862338008822,1931226,3.48275974170343
"133",33,"N1b",24000,839.455686520124,1929096,3.49773202716718
"134",34,"N1b",24000,843.045653218568,1926896,3.51269022174403
"135",35,"N1b",24000,846.845892585505,1924827,3.52852455243961
"136",36,"N1b",24000,850.366999541216,1922662,3.54319583142173
"137",37,"N1b",24000,854.073247029652,1920624,3.55863852929022
"138",38,"N1b",24000,857.598776200203,1918558,3.57332823416751
"139",39,"N1b",24000,861.127847207555,1916419,3.58803269669815
"140",40,"N1b",24000,864.879927807026,1914244,3.60366636586261
"141",41,"N1b",24000,868.677077418204,1912178,3.61948782257585
"142",42,"N1b",24000,872.36772145998,1910094,3.63486550608325
"143",43,"N1b",24000,875.995667438405,1907978,3.64998194766002
"144",44,"N1b",24000,879.664386447026,1905861,3.66526827686261
"145",45,"N1b",24000,883.418154371917,1903661,3.68090897654966
"146",46,"N1b",24000,887.223771226243,1901570,3.69676571344268
"147",47,"N1b",24000,890.969115646103,1899547,3.71237131519209
"148",48,"N1b",24000,894.665644931526,1897452,3.72777352054803
"149",49,"N1b",24000,898.396508019675,1895271,3.74331878341531
"150",50,"N1b",24000,902.294073131226,1893143,3.75955863804677
