"","time_step","resources","estimate","cost_culling","cost_tend_crop","cost_unused","act_culling","act_kill_crop","act_unused","crop_yield","harvested"
"1",1,1997965,1985850.34013605,23,10,7,0,0,0,737.937179367461,0
"2",2,1995970,1970521.54195011,28,10,2,0,0,0,738.704235565181,0
"3",3,1993965,1969523.80952381,30,10,0,0,0,0,739.392307470635,0
"4",4,1991986,1982312.92517007,23,10,7,0,0,0,740.163087609831,0
"5",5,1989981,1991383.21995465,30,10,0,0,0,0,740.880343533275,0
"6",6,1987929,2010068.02721088,10,10,20,0,0,0,741.580219812461,0
"7",7,1985885,1977596.37188209,24,10,6,0,0,0,742.368420853824,0
"8",8,1983899,1984671.20181406,30,10,0,0,0,0,743.1135196454,0
"9",9,1981946,1970521.54195011,26,10,4,0,0,0,743.868742175609,0
"10",10,1979865,1980861.67800454,30,10,0,0,0,0,744.561302727777,0
"11",11,1977834,1972879.8185941,28,10,2,0,0,0,745.376755459251,0
"12",12,1975701,1975147.39229025,30,10,0,0,0,0,746.140800481618,0
"13",13,1973729,1965260.77097506,22,10,8,0,0,0,746.963706913529,0
"14",14,1971762,1960181.40589569,30,10,0,0,0,0,747.713988264194,0
"15",15,1969719,1964716.55328798,19,10,11,0,0,0,748.425194250455,0
"16",16,1967713,1961723.35600907,23,10,7,0,0,0,749.164678239356,0
"17",17,1965767,1974331.06575964,30,10,0,0,0,0,749.913332624517,0
"18",18,1963722,1955918.36734694,27,10,3,0,0,0,750.692300464043,0
"19",19,1961776,1957097.50566893,30,10,0,0,0,0,751.441913780184,0
"20",20,1959736,1973242.63038549,24,10,6,0,0,0,752.191639196094,0
"21",21,1957732,1943582.76643991,27,10,3,0,0,0,752.931026229819,0
"22",22,1955704,1947664.39909297,30,10,0,0,0,0,753.696238310967,0
"23",23,1953722,1968979.59183673,30,10,0,0,0,0,754.44599626461,0
"24",24,1951763,1925079.36507936,20,10,10,0,0,0,755.231850876913,0
"25",25,1949779,1961179.138322,30,10,0,0,0,0,755.964712432423,0
"26",26,1947754,1944852.60770975,20,10,10,0,0,0,756.747383814316,0
"27",27,1945679,1936961.45124717,26,10,4,0,0,0,757.491932477249,0
"28",28,1943718,1945850.34013605,28,10,2,0,0,0,758.269969907954,0
"29",29,1941724,1952380.95238095,30,10,0,0,0,0,759.038638473982,0
"30",30,1939807,1928344.67120181,21,10,9,0,0,0,759.739625247809,0
"31",31,1937890,1932879.8185941,30,10,0,0,0,0,760.506128222343,0
"32",32,1935965,1946848.07256236,26,10,4,0,0,0,761.256489878788,0
"33",33,1933993,1912108.84353742,30,10,0,0,0,0,762.020004245359,0
"34",34,1931990,1916916.09977324,22,10,8,0,0,0,762.768524406395,0
"35",35,1929954,1926439.90929705,30,10,0,0,0,0,763.524667821109,0
"36",36,1927953,1917278.91156463,25,10,5,0,0,0,764.301467879771,0
"37",37,1925878,1909569.16099773,30,10,0,0,0,0,765.059485266096,0
"38",38,1923880,1927800.45351474,20,10,10,0,0,0,765.883610067926,0
"39",39,1921906,1939501.13378685,30,10,0,0,0,0,766.651526671337,0
"40",40,1919855,1904399.09297052,30,10,0,0,0,0,767.412252425237,0
"41",41,1917787,1921723.35600907,24,10,6,0,0,0,768.181042688284,0
"42",42,1915752,1903310.65759637,28,10,2,0,0,0,768.984459632995,0
"43",43,1913746,1924988.66213152,30,10,0,0,0,0,769.741785135602,0
"44",44,1911817,1890884.3537415,30,10,0,0,0,0,770.549838525837,0
"45",45,1909859,1886077.09750567,28,10,2,0,0,0,771.270596762304,0
"46",46,1907805,1911655.32879819,30,10,0,0,0,0,771.996078099158,0
"47",47,1905811,1898594.10430839,23,10,7,0,0,0,772.809835735585,0
"48",48,1903770,1910839.00226757,30,10,0,0,0,0,773.575070764443,0
"49",49,1901783,1903764.1723356,26,10,4,0,0,0,774.357860912969,0
"50",50,1899749,1878820.861678,30,10,0,0,0,0,775.132147886817,0
