"","Time","Trees","Trees_est","Cull_cost","Cull_count","Manager_budget"
"1",1,1124874,1124874,30,126,200
"2",2,1124748,1124748,29,129,197
"3",3,1124619,1124619,29,129,194
"4",4,1124490,1124490,29,129,191
"5",5,1124361,1124361,28,132,188
"6",6,1124229,1124229,28,132,185
"7",7,1124097,1124097,28,132,182
"8",8,1123965,1123965,27,137,179
"9",9,1123828,1123828,27,137,176
"10",10,1123691,1123691,27,137,173
"11",11,1123554,1123554,27,137,170
"12",12,1123417,1123417,26,147,167
"13",13,1123270,1123270,26,147,164
"14",14,1123123,1123123,26,147,161
"15",15,1122976,1122976,25,150,158
"16",16,1122826,1122826,25,150,155
"17",17,1122676,1122676,25,150,152
"18",18,1122526,1122526,24,155,149
"19",19,1122371,1122371,24,155,146
"20",20,1122216,1122216,24,155,143
"21",21,1122061,1122061,24,155,140
"22",22,1121906,1121906,23,165,137
"23",23,1121741,1121741,23,165,134
"24",24,1121576,1121576,23,165,131
"25",25,1121411,1121411,22,171,128
"26",26,1121240,1121240,22,171,125
"27",27,1121069,1121069,22,171,122
"28",28,1120898,1120898,21,180,119
"29",29,1120718,1120718,21,180,116
"30",30,1120538,1120538,21,180,113
"31",31,1120358,1120358,21,180,110
"32",32,1120178,1120178,20,190,107
"33",33,1119988,1119988,20,190,104
"34",34,1119798,1119798,20,190,101
"35",35,1119608,1119608,19,199,98
"36",36,1119409,1119409,19,199,95
"37",37,1119210,1119210,19,199,92
"38",38,1119011,1119011,18,214,89
"39",39,1118797,1118797,18,214,86
"40",40,1118583,1118583,18,214,83
"41",41,1118369,1118369,18,214,80
"42",42,1118155,1118155,17,226,77
"43",43,1117929,1117929,17,226,74
"44",44,1117703,1117703,17,226,71
"45",45,1117477,1117477,16,239,68
"46",46,1117238,1117238,16,239,65
"47",47,1116999,1116999,16,239,62
"48",48,1116760,1116760,15,258,59
"49",49,1116502,1116502,15,258,56
"50",50,1116244,1116244,15,258,53
