"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,1124609,1124614.00843055,30,120,200
"2",2,1124489,1124492.69679443,30,120,197
"3",3,1124369,1124375.79649054,30,120,194
"4",4,1124249,1124252.27918831,30,120,191
"5",5,1124129,1124141.99588276,30,120,188
"6",6,1124009,1124018.47858053,30,120,185
"7",7,1123889,1123899.37261053,30,120,182
"8",8,1123769,1123782.47230664,30,100,179
"9",9,1123669,1123685.42299775,30,100,176
"10",10,1123569,1123597.1963533,30,100,173
"11",11,1123469,1123495.73571219,30,100,170
"12",12,1123369,1123400.8920694,30,100,167
"13",13,1123269,1123310.45975885,30,100,164
"14",14,1123169,1123213.41044996,30,100,161
"15",15,1123069,1123107.53847662,30,100,158
"16",16,1122969,1123001.66650328,30,100,155
"17",17,1122869,1122904.61719439,30,100,152
"18",18,1122769,1122800.95088717,30,80,149
"19",19,1122689,1122730.36957161,30,80,146
"20",20,1122609,1122648.7599255,30,80,143
"21",21,1122529,1122569.3559455,30,80,140
"22",22,1122449,1122474.51230272,30,80,137
"23",23,1122369,1122395.10832271,30,80,134
"24",24,1122289,1122306.88167827,30,80,131
"25",25,1122209,1122225.27203215,30,80,128
"26",26,1122129,1122141.45671993,30,80,125
"27",27,1122049,1122057.64140771,30,80,122
"28",28,1121969,1121980.44309381,30,60,119
"29",29,1121909,1121925.30144104,30,60,116
"30",30,1121849,1121867.95412214,30,60,113
"31",31,1121789,1121803.98980492,30,60,110
"32",32,1121729,1121735.61415547,30,60,107
"33",33,1121669,1121671.64983825,30,60,104
"34",34,1121609,1121603.2741888,30,60,101
"35",35,1121549,1121539.30987158,30,60,98
"36",36,1121489,1121475.34555436,30,60,95
"37",37,1121429,1121409.17557102,30,60,92
"38",38,1121369,1121354.03391824,30,40,89
"39",39,1121329,1121312.12626213,30,40,86
"40",40,1121289,1121270.21860602,30,40,83
"41",41,1121249,1121234.92794824,30,40,80
"42",42,1121209,1121197.43162435,30,40,77
"43",43,1121169,1121155.52396824,30,40,74
"44",44,1121129,1121106.99931379,30,40,71
"45",45,1121089,1121065.09165768,30,40,68
"46",46,1121049,1121032.00666601,30,40,65
"47",47,1121009,1120985.68767768,30,40,62
"48",48,1120969,1120948.19135379,30,20,59
"49",49,1120949,1120923.92902657,30,20,56
"50",50,1120929,1120901.87236545,30,20,53
