"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,1124874,1124874,30,120,200
"2",2,1124754,1124754,30,120,197
"3",3,1124634,1124634,30,120,194
"4",4,1124514,1124514,30,120,191
"5",5,1124394,1124394,30,120,188
"6",6,1124274,1124274,30,120,185
"7",7,1124154,1124154,30,120,182
"8",8,1124034,1124034,30,100,179
"9",9,1123934,1123934,30,100,176
"10",10,1123834,1123834,30,100,173
"11",11,1123734,1123734,30,100,170
"12",12,1123634,1123634,30,100,167
"13",13,1123534,1123534,30,100,164
"14",14,1123434,1123434,30,100,161
"15",15,1123334,1123334,30,100,158
"16",16,1123234,1123234,30,100,155
"17",17,1123134,1123134,30,100,152
"18",18,1123034,1123034,30,80,149
"19",19,1122954,1122954,30,80,146
"20",20,1122874,1122874,30,80,143
"21",21,1122794,1122794,30,80,140
"22",22,1122714,1122714,30,80,137
"23",23,1122634,1122634,30,80,134
"24",24,1122554,1122554,30,80,131
"25",25,1122474,1122474,30,80,128
"26",26,1122394,1122394,30,80,125
"27",27,1122314,1122314,30,80,122
"28",28,1122234,1122234,30,60,119
"29",29,1122174,1122174,30,60,116
"30",30,1122114,1122114,30,60,113
"31",31,1122054,1122054,30,60,110
"32",32,1121994,1121994,30,60,107
"33",33,1121934,1121934,30,60,104
"34",34,1121874,1121874,30,60,101
"35",35,1121814,1121814,30,60,98
"36",36,1121754,1121754,30,60,95
"37",37,1121694,1121694,30,60,92
"38",38,1121634,1121634,30,40,89
"39",39,1121594,1121594,30,40,86
"40",40,1121554,1121554,30,40,83
"41",41,1121514,1121514,30,40,80
"42",42,1121474,1121474,30,40,77
"43",43,1121434,1121434,30,40,74
"44",44,1121394,1121394,30,40,71
"45",45,1121354,1121354,30,40,68
"46",46,1121314,1121314,30,40,65
"47",47,1121274,1121274,30,40,62
"48",48,1121234,1121234,30,20,59
"49",49,1121214,1121214,30,20,56
"50",50,1121194,1121194,30,20,53
