"","Time","Trees","Trees_est","Cull_cost","Cull_count","Manager_budget"
"1",1,1124723,1123673.46938776,30,124,200
"2",2,1124599,1123571.42857143,29,132,197
"3",3,1124467,1123418.36734694,29,132,194
"4",4,1124335,1123265.30612245,29,132,191
"5",5,1124203,1123163.26530612,28,133,188
"6",6,1124070,1122959.18367347,28,133,185
"7",7,1123937,1122806.12244898,28,133,182
"8",8,1123804,1122653.06122449,27,138,179
"9",9,1123666,1122500,27,138,176
"10",10,1123528,1122346.93877551,27,138,173
"11",11,1123390,1122193.87755102,27,138,170
"12",12,1123252,1121989.79591837,26,146,167
"13",13,1123106,1121887.75510204,26,146,164
"14",14,1122960,1121785.71428571,26,146,161
"15",15,1122814,1121683.67346939,25,152,158
"16",16,1122662,1121377.55102041,25,152,155
"17",17,1122510,1121173.46938776,25,152,152
"18",18,1122358,1120969.3877551,24,157,149
"19",19,1122201,1120765.30612245,24,157,146
"20",20,1122044,1120714.28571429,24,157,143
"21",21,1121887,1120612.24489796,24,157,140
"22",22,1121730,1120408.16326531,23,167,137
"23",23,1121563,1120306.12244898,23,167,134
"24",24,1121396,1120255.10204082,23,167,131
"25",25,1121229,1120102.04081633,22,173,128
"26",26,1121056,1120102.04081633,22,173,125
"27",27,1120883,1120000,22,173,122
"28",28,1120710,1119642.85714286,21,180,119
"29",29,1120530,1119387.75510204,21,180,116
"30",30,1120350,1119336.73469388,21,180,113
"31",31,1120170,1119081.63265306,21,180,110
"32",32,1119990,1118877.55102041,20,192,107
"33",33,1119798,1118724.48979592,20,192,104
"34",34,1119606,1118571.42857143,20,192,101
"35",35,1119414,1118316.32653061,19,200,98
"36",36,1119214,1118061.2244898,19,200,95
"37",37,1119014,1117755.10204082,19,200,92
"38",38,1118814,1117653.06122449,18,215,89
"39",39,1118599,1117295.91836735,18,215,86
"40",40,1118384,1116989.79591837,18,215,83
"41",41,1118169,1116530.6122449,18,215,80
"42",42,1117954,1116377.55102041,17,227,77
"43",43,1117727,1116275.51020408,17,227,74
"44",44,1117500,1116122.44897959,17,227,71
"45",45,1117273,1115969.3877551,16,241,68
"46",46,1117032,1115765.30612245,16,241,65
"47",47,1116791,1115510.20408163,16,241,62
"48",48,1116550,1115357.14285714,15,257,59
"49",49,1116293,1115153.06122449,15,257,56
"50",50,1116036,1114846.93877551,15,257,53
