"","Time","Trees","Trees_est","Cull_cost","Cull_count","Manager_budget"
"1",1,1124805,1124086.85422998,30,126,200
"2",2,1124679,1123954.51426331,29,133,197
"3",3,1124546,1123822.17429664,29,133,194
"4",4,1124413,1123685.42299775,29,133,191
"5",5,1124280,1123555.28869719,28,136,188
"6",6,1124144,1123414.12606607,28,136,185
"7",7,1124008,1123277.37476718,28,136,182
"8",8,1123872,1123142.8291344,27,143,179
"9",9,1123729,1122999.46083717,27,143,176
"10",10,1123586,1122858.29820606,27,143,173
"11",11,1123443,1122719.34124105,27,143,170
"12",12,1123300,1122580.38427605,26,148,167
"13",13,1123152,1122434.81031271,26,148,164
"14",14,1123004,1122295.85334771,26,148,161
"15",15,1122856,1122148.07371826,25,155,158
"16",16,1122701,1122000.29408881,25,155,155
"17",17,1122546,1121852.51445937,25,155,152
"18",18,1122391,1121693.70649936,24,163,149
"19",19,1122228,1121530.48720714,24,163,146
"20",20,1122065,1121358.44525047,24,163,143
"21",21,1121902,1121208.45995491,24,163,140
"22",22,1121739,1121038.62366435,23,168,137
"23",23,1121571,1120862.17037545,23,168,134
"24",24,1121403,1120721.00774434,23,168,131
"25",25,1121235,1120542.34878933,22,175,128
"26",26,1121060,1120370.30683266,22,175,125
"27",27,1120885,1120185.03087933,22,175,122
"28",28,1120710,1120004.16625821,21,185,119
"29",29,1120525,1119812.27330654,21,185,116
"30",30,1120340,1119620.38035487,21,185,113
"31",31,1120155,1119437.31006764,21,185,110
"32",32,1119970,1119256.44544653,20,195,107
"33",33,1119775,1119057.93549652,20,195,104
"34",34,1119580,1118850.60288207,20,195,101
"35",35,1119385,1118665.32692873,19,206,98
"36",36,1119179,1118449.17164984,19,206,95
"37",37,1118973,1118241.83903539,19,206,92
"38",38,1118767,1118027.88942261,18,219,89
"39",39,1118548,1117798.50014704,18,219,86
"40",40,1118329,1117571.31653759,18,219,83
"41",41,1118110,1117344.13292814,18,219,80
"42",42,1117891,1117125.77198314,17,233,77
"43",43,1117658,1116889.76570924,17,233,74
"44",44,1117425,1116653.75943535,17,233,71
"45",45,1117192,1116417.75316145,16,247,68
"46",46,1116945,1116164.10155867,16,247,65
"47",47,1116698,1115923.68395255,16,247,62
"48",48,1116451,1115667.82668366,15,262,59
"49",49,1116189,1115427.40907754,15,262,56
"50",50,1115927,1115171.55180865,15,262,53
