"","Time","Trees","Trees_est","Cull_cost","Cull_count","Manager_budget"
"1",1,99573,99573,60,237,500
"2",2,99336,99336,60,237,500
"3",3,99099,99099,60,237,503
"4",4,98862,98862,60,237,506
"5",5,98625,98625,60,237,509
"6",6,98388,98388,61,230,512
"7",7,98158,98158,61,230,515
"8",8,97928,97928,61,230,518
"9",9,97698,97698,62,225,521
"10",10,97473,97473,62,225,524
"11",11,97248,97248,62,225,527
"12",12,97023,97023,63,220,530
"13",13,96803,96803,63,220,533
"14",14,96583,96583,63,220,536
"15",15,96363,96363,63,220,539
"16",16,96143,96143,64,220,542
"17",17,95923,95923,64,220,545
"18",18,95703,95703,64,220,548
"19",19,95483,95483,65,216,551
"20",20,95267,95267,65,216,554
"21",21,95051,95051,65,216,557
"22",22,94835,94835,66,213,560
"23",23,94622,94622,66,213,563
"24",24,94409,94409,66,213,566
"25",25,94196,94196,66,213,569
"26",26,93983,93983,67,211,572
"27",27,93772,93772,67,211,575
"28",28,93561,93561,67,211,578
"29",29,93350,93350,68,207,581
"30",30,93143,93143,68,207,584
"31",31,92936,92936,68,207,587
"32",32,92729,92729,69,201,590
"33",33,92528,92528,69,201,593
"34",34,92327,92327,69,201,596
"35",35,92126,92126,69,201,599
"36",36,91925,91925,70,200,602
"37",37,91725,91725,70,200,605
"38",38,91525,91525,70,200,608
"39",39,91325,91325,71,193,611
"40",40,91132,91132,71,194,614
"41",41,90938,90938,71,194,617
"42",42,90744,90744,72,187,620
"43",43,90557,90557,72,189,623
"44",44,90368,90368,72,187,626
"45",45,90181,90181,72,188,629
"46",46,89993,89993,73,188,632
"47",47,89805,89805,73,189,635
"48",48,89616,89616,73,188,638
"49",49,89428,89428,74,186,641
"50",50,89242,89242,74,185,644
