"","Time","Trees","Trees_est","Cull_cost","Cull_count","Manager_budget"
"1",1,1123454,1123454,15,1341,50
"2",2,1122113,1122113,20,1003,100
"3",3,1121110,1121110,25,799,150
"4",4,1120311,1120311,30,666,200
"5",5,1119645,1119645,35,569,250
"6",6,1119076,1119076,40,496,300
"7",7,1118580,1118580,45,442,350
"8",8,1118138,1118138,50,396,400
"9",9,1117742,1117742,55,359,450
"10",10,1117383,1117383,60,328,500
"11",11,1117055,1117055,65,302,550
"12",12,1116753,1116753,70,281,600
"13",13,1116472,1116472,75,261,650
"14",14,1116211,1116211,80,223,700
"15",15,1115988,1115988,85,194,750
"16",16,1115794,1115794,90,59,800
"17",17,1115735,1115735,95,66,850
"18",18,1115669,1115669,100,55,900
"19",19,1115614,1115614,104,52,950
"20",20,1115562,1115562,109,41,1000
"21",21,1115521,1115521,115,29,1050
"22",22,1115492,1115492,120,33,1100
"23",23,1115459,1115459,125,14,1150
"24",24,1115445,1115445,127,28,1200
"25",25,1115417,1115417,135,13,1250
"26",26,1115404,1115404,140,6,1300
"27",27,1115398,1115398,143,9,1350
"28",28,1115389,1115389,150,4,1400
"29",29,1115385,1115385,153,6,1450
"30",30,1115379,1115379,159,4,1500
"31",31,1115375,1115375,165,3,1550
"32",32,1115372,1115372,169,4,1600
"33",33,1115368,1115368,174,0,1650
"34",34,1115368,1115368,176,1,1700
"35",35,1115367,1115367,185,2,1750
"36",36,1115365,1115365,187,1,1800
"37",37,1115364,1115364,195,1,1850
"38",38,1115363,1115363,200,2,1900
"39",39,1115361,1115361,205,1,1950
"40",40,1115360,1115360,210,0,2000
"41",41,1115360,1115360,215,1,2050
"42",42,1115359,1115359,219,1,2100
"43",43,1115358,1115358,222,0,2150
"44",44,1115358,1115358,226,1,2200
"45",45,1115357,1115357,228,0,2250
"46",46,1115357,1115357,237,0,2300
"47",47,1115357,1115357,243,0,2350
"48",48,1115357,1115357,248,0,2400
"49",49,1115357,1115357,255,0,2450
"50",50,1115357,1115357,260,0,2500
"51",51,1115357,1115357,263,0,2550
"52",52,1115357,1115357,270,0,2600
"53",53,1115357,1115357,272,0,2650
"54",54,1115357,1115357,278,0,2700
"55",55,1115357,1115357,285,0,2750
"56",56,1115357,1115357,289,0,2800
"57",57,1115357,1115357,295,1,2850
"58",58,1115356,1115356,300,0,2900
"59",59,1115356,1115356,303,0,2950
"60",60,1115356,1115356,310,0,3000
"61",61,1115356,1115356,315,0,3050
"62",62,1115356,1115356,320,0,3100
"63",63,1115356,1115356,325,0,3150
"64",64,1115356,1115356,330,0,3200
"65",65,1115356,1115356,333,0,3250
"66",66,1115356,1115356,336,0,3300
"67",67,1115356,1115356,345,0,3350
"68",68,1115356,1115356,350,0,3400
"69",69,1115356,1115356,353,0,3450
"70",70,1115356,1115356,358,0,3500
"71",71,1115356,1115356,362,0,3550
"72",72,1115356,1115356,367,0,3600
"73",73,1115356,1115356,375,0,3650
"74",74,1115356,1115356,377,0,3700
"75",75,1115356,1115356,383,0,3750
"76",76,1115356,1115356,383,0,3800
"77",77,1115356,1115356,388,0,3850
"78",78,1115356,1115356,388,0,3900
"79",79,1115356,1115356,405,0,3950
"80",80,1115356,1115356,409,0,4000
"81",81,1115356,1115356,411,0,4050
"82",82,1115356,1115356,420,0,4100
"83",83,1115356,1115356,424,0,4150
"84",84,1115356,1115356,427,0,4200
"85",85,1115356,1115356,433,0,4250
"86",86,1115356,1115356,439,0,4300
"87",87,1115356,1115356,444,0,4350
"88",88,1115356,1115356,444,0,4400
"89",89,1115356,1115356,446,0,4450
"90",90,1115356,1115356,448,0,4500
"91",91,1115356,1115356,462,0,4550
"92",92,1115356,1115356,469,0,4600
"93",93,1115356,1115356,475,0,4650
"94",94,1115356,1115356,480,0,4700
"95",95,1115356,1115356,483,0,4750
"96",96,1115356,1115356,486,0,4800
"97",97,1115356,1115356,489,0,4850
"98",98,1115356,1115356,499,0,4900
"99",99,1115356,1115356,501,0,4950
"100",100,1115356,1115356,506,0,5000
