"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,1125000,1125000,391,0,100
"2",2,1125000,1125000,463,0,200
"3",3,1125000,1125000,484,0,300
"4",4,1125000,1125000,503,0,400
"5",5,1125000,1125000,507,0,500
"6",6,1125000,1125000,510,0,600
"7",7,1125000,1125000,505,0,700
"8",8,1125000,1125000,510,0,800
"9",9,1125000,1125000,501,0,900
"10",10,1125000,1125000,507,0,1000
"11",11,1125000,1125000,510,0,1100
"12",12,1125000,1125000,505,0,1200
"13",13,1125000,1125000,508,0,1300
"14",14,1125000,1125000,509,0,1400
"15",15,1125000,1125000,510,0,1500
"16",16,1125000,1125000,491,0,1600
"17",17,1125000,1125000,499,0,1700
"18",18,1125000,1125000,510,1,1800
"19",19,1124999,1124999,504,10,1900
"20",20,1124989,1124989,506,7,2000
"21",21,1124982,1124982,510,19,2100
"22",22,1124963,1124963,509,15,2200
"23",23,1124948,1124948,509,19,2300
"24",24,1124929,1124929,510,27,2400
"25",25,1124902,1124902,498,29,2500
"26",26,1124873,1124873,510,33,2600
"27",27,1124840,1124840,503,35,2700
"28",28,1124805,1124805,507,37,2800
"29",29,1124768,1124768,509,40,2900
"30",30,1124728,1124728,510,50,3000
"31",31,1124678,1124678,506,52,3100
"32",32,1124626,1124626,509,54,3200
"33",33,1124572,1124572,510,55,3300
"34",34,1124517,1124517,504,67,3400
"35",35,1124450,1124450,510,67,3500
"36",36,1124383,1124383,506,73,3600
"37",37,1124310,1124310,510,80,3700
"38",38,1124230,1124230,507,78,3800
"39",39,1124152,1124152,510,81,3900
"40",40,1124071,1124071,506,86,4000
"41",41,1123985,1123985,510,87,4100
"42",42,1123898,1123898,507,96,4200
"43",43,1123802,1123802,510,95,4300
"44",44,1123707,1123707,506,108,4400
"45",45,1123599,1123599,510,106,4500
"46",46,1123493,1123493,506,114,4600
"47",47,1123379,1123379,510,115,4700
"48",48,1123264,1123264,510,117,4800
"49",49,1123147,1123147,507,117,4900
"50",50,1123030,1123030,508,124,5000
"51",51,1122906,1122906,509,123,5100
"52",52,1122783,1122783,509,132,5200
"53",53,1122651,1122651,510,131,5300
"54",54,1122520,1122520,510,133,5400
"55",55,1122387,1122387,510,139,5500
"56",56,1122248,1122248,510,146,5600
"57",57,1122102,1122102,510,154,5700
"58",58,1121948,1121948,510,151,5800
"59",59,1121797,1121797,510,161,5900
"60",60,1121636,1121636,510,160,6000
"61",61,1121476,1121476,510,164,6100
"62",62,1121312,1121312,507,171,6200
"63",63,1121141,1121141,510,172,6300
"64",64,1120969,1120969,510,181,6400
"65",65,1120788,1120788,510,182,6500
"66",66,1120606,1120606,510,182,6600
"67",67,1120424,1120424,510,187,6700
"68",68,1120237,1120237,510,190,6800
"69",69,1120047,1120047,510,195,6900
"70",70,1119852,1119852,510,200,7000
"71",71,1119652,1119652,509,200,7100
"72",72,1119452,1119452,510,208,7200
"73",73,1119244,1119244,508,218,7300
"74",74,1119026,1119026,510,216,7400
"75",75,1118810,1118810,510,220,7500
"76",76,1118590,1118590,510,220,7600
"77",77,1118370,1118370,510,219,7700
"78",78,1118151,1118151,510,234,7800
"79",79,1117917,1117917,508,234,7900
"80",80,1117683,1117683,510,240,8000
"81",81,1117443,1117443,510,242,8100
"82",82,1117201,1117201,510,246,8200
"83",83,1116955,1116955,510,253,8300
"84",84,1116702,1116702,510,257,8400
"85",85,1116445,1116445,510,259,8500
"86",86,1116186,1116186,509,263,8600
"87",87,1115923,1115923,510,266,8700
"88",88,1115657,1115657,510,272,8800
"89",89,1115385,1115385,510,270,8900
"90",90,1115115,1115115,510,274,9000
"91",91,1114841,1114841,510,279,9100
"92",92,1114562,1114562,510,284,9200
"93",93,1114278,1114278,510,290,9300
"94",94,1113988,1113988,510,285,9400
"95",95,1113703,1113703,510,298,9500
"96",96,1113405,1113405,509,304,9600
"97",97,1113101,1113101,510,305,9700
"98",98,1112796,1112796,510,305,9800
"99",99,1112491,1112491,510,310,9900
"100",100,1112181,1112181,510,313,10000
