"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,499693,499693,60,180,400
"2",2,499513,499513,60,180,404.0816
"3",3,499333,499333,60,180,408.1632
"4",4,499153,499153,60,180,412.2448
"5",5,498973,498973,60,180,416.3264
"6",6,498793,498793,60,210,420.408
"7",7,498583,498583,60,210,424.4896
"8",8,498373,498373,60,210,428.5712
"9",9,498163,498163,60,210,432.6528
"10",10,497953,497953,60,210,436.7344
"11",11,497743,497743,60,210,440.816
"12",12,497533,497533,60,210,444.8976
"13",13,497323,497323,60,210,448.9792
"14",14,497113,497113,60,210,453.0608
"15",15,496903,496903,60,210,457.1424
"16",16,496693,496693,60,210,461.224
"17",17,496483,496483,60,210,465.3056
"18",18,496273,496273,60,210,469.3872
"19",19,496063,496063,60,210,473.4688
"20",20,495853,495853,60,210,477.5504
"21",21,495643,495643,60,240,481.632
"22",22,495403,495403,60,240,485.7136
"23",23,495163,495163,60,240,489.7952
"24",24,494923,494923,60,240,493.8768
"25",25,494683,494683,60,240,497.9584
"26",26,494443,494443,60,240,502.04
"27",27,494203,494203,60,240,506.121599999999
"28",28,493963,493963,60,240,510.203199999999
"29",29,493723,493723,60,240,514.284799999999
"30",30,493483,493483,60,240,518.366399999999
"31",31,493243,493243,60,240,522.447999999999
"32",32,493003,493003,60,240,526.529599999999
"33",33,492763,492763,60,240,530.611199999999
"34",34,492523,492523,60,240,534.692799999999
"35",35,492283,492283,60,240,538.774399999999
"36",36,492043,492043,60,270,542.855999999999
"37",37,491773,491773,60,270,546.937599999999
"38",38,491503,491503,60,270,551.019199999999
"39",39,491233,491233,60,270,555.100799999999
"40",40,490963,490963,60,270,559.182399999999
"41",41,490693,490693,60,270,563.263999999999
"42",42,490423,490423,60,270,567.345599999999
"43",43,490153,490153,60,270,571.427199999999
"44",44,489883,489883,60,270,575.508799999999
"45",45,489613,489613,60,270,579.590399999999
"46",46,489343,489343,60,270,583.671999999999
"47",47,489073,489073,60,270,587.753599999999
"48",48,488803,488803,60,270,591.835199999999
"49",49,488533,488533,60,270,595.916799999999
"50",50,488263,488263,60,270,599.998399999999
