"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget","wave"
"1",1,499714,499714,59,180,400,497.457274308912,1
"2",2,499534,499534,59,180,404.0816,497.457274308912,1
"3",3,499354,499354,63,180,408.1632,532.0489307966,1
"4",4,499174,499174,63,180,412.2448,539.557162281703,1
"5",5,498994,498994,61,180,416.3264,516.411908113041,1
"6",6,498814,498814,58,210,420.408,483.173611113035,1
"7",7,498604,498604,56,210,424.4896,467.639015504029,1
"8",8,498394,498394,58,210,428.5712,482.634471835581,1
"9",9,498184,498184,61,210,432.6528,516.254650975596,1
"10",10,497974,497974,64,180,436.7344,541.975214028658,1
"11",11,497794,497794,64,180,440.816,540.064183995962,1
"12",12,497614,497614,61,210,444.8976,512.956083622783,1
"13",13,497404,497404,58,210,448.9792,482.555677159975,1
"14",14,497194,497194,57,210,453.0608,472.19628785329,1
"15",15,496984,496984,58,210,457.1424,488.125070131632,1
"16",16,496774,496774,61,210,461.224,515.274656898976,1
"17",17,496564,496564,63,210,465.3056,530.164834721701,1
"18",18,496354,496354,61,210,469.3872,519.982594720009,1
"19",19,496144,496144,59,240,473.4688,492.349825568622,1
"20",20,495904,495904,56,240,477.5504,468.344885997045,1
"21",21,495664,495664,56,240,481.632,465.0795134051,1
"22",22,495424,495424,58,240,485.7136,482.273508917207,1
"23",23,495184,495184,60,240,489.7952,503.4454412605,1
"24",24,494944,494944,61,240,493.8768,510.084146303388,1
"25",25,494704,494704,59,240,497.9584,496.732898140801,1
"26",26,494464,494464,57,240,502.04,474.71215981786,1
"27",27,494224,494224,56,270,506.121599999999,462.001505186099,1
"28",28,493954,493954,56,270,510.203199999999,468.211476488159,1
"29",29,493684,493684,58,240,514.284799999999,487.195625994855,1
"30",30,493444,493444,60,240,518.366399999999,503.008799392633,1
"31",31,493204,493204,60,240,522.447999999999,503.648200570281,1
"32",32,492964,492964,59,240,526.529599999999,490.803397905845,1
"33",33,492724,492724,57,270,530.611199999999,477.661143872034,1
"34",34,492454,492454,57,270,534.692799999999,477.128008267845,1
"35",35,492184,492184,59,270,538.774399999999,490.802662208997,1
"36",36,491914,491914,60,270,542.855999999999,508.030631953438,1
"37",37,491644,491644,61,240,546.937599999999,515.50753262368,1
"38",38,491404,491404,60,270,551.019199999999,508.874487808956,1
"39",39,491134,491134,59,270,555.100799999999,496.246238193682,1
"40",40,490864,490864,59,270,559.182399999999,490.766687078603,1
"41",41,490594,490594,59,270,563.263999999999,498.835128241855,1
"42",42,490324,490324,61,270,567.345599999999,514.35267845598,1
"43",43,490054,490054,62,270,571.427199999999,524.047388985436,1
"44",44,489784,489784,61,270,575.508799999999,519.247750847907,1
"45",45,489514,489514,60,270,579.590399999999,503.777882278174,1
"46",46,489244,489244,59,270,583.671999999999,490.915316173338,1
"47",47,488974,488974,59,270,587.753599999999,491.838843584556,1
"48",48,488704,488704,60,270,591.835199999999,505.537630699155,1
"49",49,488434,488434,61,270,595.916799999999,519.151393571483,1
"50",50,488164,488164,61,270,599.998399999999,518.842695173475,1
"51",1,499566,499566,54,210,400,449.896958308758,2
"52",2,499356,499356,54,210,404.0816,449.896958308758,2
"53",3,499146,499146,56,210,408.1632,463.950100508197,2
"54",4,498936,498936,59,180,412.2448,497.141900031803,2
"55",5,498756,498756,63,180,416.3264,537.401660947537,2
"56",6,498576,498576,66,180,420.408,568.859001281647,2
"57",7,498396,498396,67,180,424.4896,578.495262426971,2
"58",8,498216,498216,66,180,428.5712,561.7111002576,2
"59",9,498036,498036,62,180,432.6528,524.397411106675,2
"60",10,497856,497856,58,210,436.7344,480.584912421684,2
"61",11,497646,497646,54,240,440.816,446.649375977976,2
"62",12,497406,497406,53,240,444.8976,434.538402578571,2
"63",13,497166,497166,54,240,448.9792,446.911599923187,2
"64",14,496926,496926,57,210,453.0608,476.261001889194,2
"65",15,496716,496716,60,210,457.1424,508.360143872913,2
"66",16,496506,496506,62,210,461.224,528.52564914702,2
"67",17,496296,496296,62,210,465.3056,527.974278370109,2
"68",18,496086,496086,60,210,469.3872,507.539297295203,2
"69",19,495876,495876,57,240,473.4688,477.173902085089,2
"70",20,495636,495636,55,240,477.5504,451.502687986321,2
"71",21,495396,495396,54,240,481.632,443.384005812517,2
"72",22,495156,495156,55,240,485.7136,458.280406350858,2
"73",23,494916,494916,59,240,489.7952,491.850198930543,2
"74",24,494676,494676,63,210,493.8768,531.753242608035,2
"75",25,494466,494466,66,210,497.9584,562.838558135663,2
"76",26,494256,494256,67,210,502.04,573.44659098257,2
"77",27,494046,494046,66,210,506.121599999999,560.127962472811,2
"78",28,493836,493836,62,240,510.203199999999,528.819014859246,2
"79",29,493596,493596,59,240,514.284799999999,492.077136296947,2
"80",30,493356,493356,56,270,518.366399999999,463.670598317942,2
"81",31,493086,493086,55,270,522.447999999999,452.9042447689,2
"82",32,492816,492816,56,270,526.529599999999,461.091635152776,2
"83",33,492546,492546,58,270,530.611199999999,481.575965806123,2
"84",34,492276,492276,60,240,534.692799999999,503.126475245446,2
"85",35,492036,492036,61,240,538.774399999999,515.096183978841,2
"86",36,491796,491796,61,240,542.855999999999,512.04059200174,2
"87",37,491556,491556,59,270,546.937599999999,495.834328587474,2
"88",38,491286,491286,57,270,551.019199999999,474.495840581145,2
"89",39,491016,491016,55,300,555.100799999999,458.393009897183,2
"90",40,490716,490716,55,300,559.182399999999,455.604292416527,2
"91",41,490416,490416,56,300,563.263999999999,468.485579060628,2
"92",42,490116,490116,59,270,567.345599999999,492.860991125002,2
"93",43,489846,489846,62,270,571.427199999999,520.03822270525,2
"94",44,489576,489576,64,240,575.508799999999,540.611149046073,2
"95",45,489336,489336,64,270,579.590399999999,548.300802788509,2
"96",46,489066,489066,64,270,583.671999999999,542.185618514099,2
"97",47,488796,488796,62,270,587.753599999999,526.491731281953,2
"98",48,488526,488526,60,270,591.835199999999,508.245664188468,2
"99",49,488256,488256,59,300,595.916799999999,494.009289207596,2
"100",50,487956,487956,58,300,599.998399999999,487.221447798165,2
"101",1,499681,499681,57,210,400,475.001863829193,3
"102",2,499471,499471,57,210,404.0816,475.001863829193,3
"103",3,499261,499261,60,180,408.1632,503.121813675199,3
"104",4,499081,499081,62,180,412.2448,520.227204860682,3
"105",5,498901,498901,61,180,416.3264,514.189403491798,3
"106",6,498721,498721,59,210,420.408,491.913854978177,3
"107",7,498511,498511,57,210,424.4896,473.791533113548,3
"108",8,498301,498301,57,210,428.5712,477.345616335404,3
"109",9,498091,498091,60,210,432.6528,503.146338229425,3
"110",10,497881,497881,63,180,436.7344,534.211578373189,3
"111",11,497701,497701,64,180,440.816,549.20686590625,3
"112",12,497521,497521,63,210,444.8976,538.708675251704,3
"113",13,497311,497311,61,210,448.9792,511.570721151768,3
"114",14,497101,497101,58,210,453.0608,486.733810679013,3
"115",15,496891,496891,57,240,457.1424,477.726869176251,3
"116",16,496651,496651,58,210,461.224,482.819906258337,3
"117",17,496441,496441,58,240,465.3056,488.704430194982,3
"118",18,496201,496201,58,240,469.3872,484.04264871346,3
"119",19,495961,495961,57,240,473.4688,470.902405550317,3
"120",20,495721,495721,56,240,477.5504,463.927322481962,3
"121",21,495481,495481,57,240,481.632,477.554657881478,3
"122",22,495241,495241,61,210,485.7136,511.947876998986,3
"123",23,495031,495031,64,210,489.7952,549.848972947309,3
"124",24,494821,494821,66,210,493.8768,567.841187279475,3
"125",25,494611,494611,65,210,497.9584,553.627082956019,3
"126",26,494401,494401,61,240,502.04,515.668431090805,3
"127",27,494161,494161,57,240,506.121599999999,477.341419822466,3
"128",28,493921,493921,56,270,510.203199999999,460.015107277613,3
"129",29,493651,493651,56,270,514.284799999999,468.234224663514,3
"130",30,493381,493381,58,240,518.366399999999,488.363237804574,3
"131",31,493141,493141,60,240,522.447999999999,501.149341757846,3
"132",32,492901,492901,59,240,526.529599999999,497.589519972289,3
"133",33,492661,492661,58,270,530.611199999999,485.21679715744,3
"134",34,492391,492391,58,270,534.692799999999,480.161479221026,3
"135",35,492121,492121,59,270,538.774399999999,492.187146568659,3
"136",36,491851,491851,61,240,542.855999999999,515.56033805795,3
"137",37,491611,491611,63,240,546.937599999999,533.493009605993,3
"138",38,491371,491371,63,240,551.019199999999,532.354053499056,3
"139",39,491131,491131,61,270,555.100799999999,513.540758124594,3
"140",40,490861,490861,59,270,559.182399999999,492.776587459946,3
"141",41,490591,490591,58,270,563.263999999999,487.123496098882,3
"142",42,490321,490321,60,270,567.345599999999,500.414899380556,3
"143",43,490051,490051,61,270,571.427199999999,519.409434440625,3
"144",44,489781,489781,62,270,575.508799999999,524.289129087049,3
"145",45,489511,489511,60,270,579.590399999999,505.252460576538,3
"146",46,489241,489241,57,300,583.671999999999,471.679155319668,3
"147",47,488941,488941,54,300,587.753599999999,446.110668729719,3
"148",48,488641,488641,54,300,591.835199999999,447.487526133652,3
"149",49,488341,488341,57,300,595.916799999999,476.794387114221,3
"150",50,488041,488041,61,270,599.998399999999,516.381752066343,3
"151",1,499526,499526,62,180,400,524.980364819879,4
"152",2,499346,499346,59,180,404.0816,497.457274308912,4
"153",3,499166,499166,63,180,408.1632,532.0489307966,4
"154",4,498986,498986,63,180,412.2448,539.557162281703,4
"155",5,498806,498806,61,180,416.3264,516.411908113041,4
"156",6,498626,498626,58,210,420.408,483.173611113035,4
"157",7,498416,498416,56,210,424.4896,467.639015504029,4
"158",8,498206,498206,58,210,428.5712,482.634471835581,4
"159",9,497996,497996,61,210,432.6528,516.254650975596,4
"160",10,497786,497786,64,180,436.7344,541.975214028658,4
"161",11,497606,497606,64,180,440.816,540.064183995962,4
"162",12,497426,497426,61,210,444.8976,512.956083622783,4
"163",13,497216,497216,58,210,448.9792,482.555677159975,4
"164",14,497006,497006,57,210,453.0608,472.19628785329,4
"165",15,496796,496796,58,210,457.1424,488.125070131632,4
"166",16,496586,496586,61,210,461.224,515.274656898976,4
"167",17,496376,496376,63,210,465.3056,530.164834721701,4
"168",18,496166,496166,61,210,469.3872,519.982594720009,4
"169",19,495956,495956,59,240,473.4688,492.349825568622,4
"170",20,495716,495716,56,240,477.5504,468.344885997045,4
"171",21,495476,495476,56,240,481.632,465.0795134051,4
"172",22,495236,495236,58,240,485.7136,482.273508917207,4
"173",23,494996,494996,60,240,489.7952,503.4454412605,4
"174",24,494756,494756,61,240,493.8768,510.084146303388,4
"175",25,494516,494516,59,240,497.9584,496.732898140801,4
"176",26,494276,494276,57,240,502.04,474.71215981786,4
"177",27,494036,494036,56,270,506.121599999999,462.001505186099,4
"178",28,493766,493766,56,270,510.203199999999,468.211476488159,4
"179",29,493496,493496,58,240,514.284799999999,487.195625994855,4
"180",30,493256,493256,60,240,518.366399999999,503.008799392633,4
"181",31,493016,493016,60,240,522.447999999999,503.648200570281,4
"182",32,492776,492776,59,240,526.529599999999,490.803397905845,4
"183",33,492536,492536,57,270,530.611199999999,477.661143872034,4
"184",34,492266,492266,57,270,534.692799999999,477.128008267845,4
"185",35,491996,491996,59,270,538.774399999999,490.802662208997,4
"186",36,491726,491726,60,270,542.855999999999,508.030631953438,4
"187",37,491456,491456,61,240,546.937599999999,515.50753262368,4
"188",38,491216,491216,60,270,551.019199999999,508.874487808956,4
"189",39,490946,490946,59,270,555.100799999999,496.246238193682,4
"190",40,490676,490676,59,270,559.182399999999,490.766687078603,4
"191",41,490406,490406,59,270,563.263999999999,498.835128241855,4
"192",42,490136,490136,61,270,567.345599999999,514.35267845598,4
"193",43,489866,489866,62,270,571.427199999999,524.047388985436,4
"194",44,489596,489596,61,270,575.508799999999,519.247750847907,4
"195",45,489326,489326,60,270,579.590399999999,503.777882278174,4
"196",46,489056,489056,59,270,583.671999999999,490.915316173338,4
"197",47,488786,488786,59,270,587.753599999999,491.838843584556,4
"198",48,488516,488516,60,270,591.835199999999,505.537630699155,4
"199",49,488246,488246,61,270,595.916799999999,519.151393571483,4
"200",50,487976,487976,61,270,599.998399999999,518.842695173475,4
"201",1,499672,499672,55,210,400,457.119204728068,5
"202",2,499462,499462,55,210,404.0816,457.119204728068,5
"203",3,499252,499252,55,210,408.1632,455.019810364008,5
"204",4,499042,499042,56,210,412.2448,466.381760123416,5
"205",5,498832,498832,58,210,416.3264,487.535432331042,5
"206",6,498622,498622,61,180,420.408,511.666999273445,5
"207",7,498442,498442,63,180,424.4896,531.419163480256,5
"208",8,498262,498262,64,180,428.5712,541.499598923772,5
"209",9,498082,498082,64,180,432.6528,540.269282718341,5
"210",10,497902,497902,62,210,436.7344,529.788513939182,5
"211",11,497692,497692,61,210,440.816,514.486475393066,5
"212",12,497482,497482,59,210,444.8976,499.176468965877,5
"213",13,497272,497272,58,210,448.9792,487.327959648167,5
"214",14,497062,497062,58,210,453.0608,480.273779439959,5
"215",15,496852,496852,57,240,457.1424,477.517389735685,5
"216",16,496612,496612,57,240,461.224,477.771703990358,5
"217",17,496372,496372,58,240,465.3056,480.06007574853,5
"218",18,496132,496132,58,240,469.3872,484.267665018269,5
"219",19,495892,495892,59,240,473.4688,490.893629745829,5
"220",20,495652,495652,60,210,477.5504,500.221856033946,5
"221",21,495442,495442,61,210,481.632,511.457625372475,5
"222",22,495232,495232,62,210,485.7136,522.404242918321,5
"223",23,495022,495022,62,210,489.7952,529.968366723017,5
"224",24,494812,494812,63,210,493.8768,531.33469310296,5
"225",25,494602,494602,62,240,497.9584,525.270724106654,5
"226",26,494362,494362,61,240,502.04,512.907816051768,5
"227",27,494122,494122,59,240,506.121599999999,497.560788108326,5
"228",28,493882,493882,58,240,510.203199999999,483.5950442796,5
"229",29,493642,493642,57,270,514.284799999999,474.810349690889,5
"230",30,493372,493372,57,270,518.366399999999,473.056102567888,5
"231",31,493102,493102,57,270,522.447999999999,477.697816653692,5
"232",32,492832,492832,58,270,526.529599999999,486.157913729649,5
"233",33,492562,492562,59,240,530.611199999999,495.244449037364,5
"234",34,492322,492322,60,240,534.692799999999,502.607053056345,5
"235",35,492082,492082,60,240,538.774399999999,507.606804655993,5
"236",36,491842,491842,61,240,542.855999999999,511.188001534604,5
"237",37,491602,491602,61,240,546.937599999999,514.85266175763,5
"238",38,491362,491362,61,270,551.019199999999,519.311796291827,5
"239",39,491092,491092,62,240,555.100799999999,523.581121736911,5
"240",40,490852,490852,62,270,559.182399999999,525.093041871876,5
"241",41,490582,490582,62,270,563.263999999999,520.890722489164,5
"242",42,490312,490312,60,270,567.345599999999,509.391484979292,5
"243",43,490042,490042,59,270,571.427199999999,491.842171828808,5
"244",44,489772,489772,57,300,575.508799999999,472.636619491447,5
"245",45,489472,489472,55,300,579.590399999999,458.133394623679,5
"246",46,489172,489172,55,300,583.671999999999,454.305052975983,5
"247",47,488872,488872,56,300,587.753599999999,464.15154804324,5
"248",48,488572,488572,58,300,591.835199999999,486.02618993224,5
"249",49,488272,488272,61,270,595.916799999999,513.722190907809,5
"250",50,488002,488002,63,270,599.998399999999,538.454236784871,5
"251",1,499700,499700,62,180,400,524.685761984794,6
"252",2,499520,499520,62,180,404.0816,524.685761984794,6
"253",3,499340,499340,59,180,408.1632,498.738547403086,6
"254",4,499160,499160,57,210,412.2448,472.43608881062,6
"255",5,498950,498950,55,210,416.3264,458.859279366207,6
"256",6,498740,498740,56,210,420.408,462.417000676728,6
"257",7,498530,498530,57,210,424.4896,477.309323068179,6
"258",8,498320,498320,59,210,428.5712,492.279608043471,6
"259",9,498110,498110,59,210,432.6528,498.317339508948,6
"260",10,497900,497900,59,210,436.7344,494.26448002331,6
"261",11,497690,497690,58,210,440.816,486.811792673294,6
"262",12,497480,497480,58,210,444.8976,485.114628801558,6
"263",13,497270,497270,59,210,448.9792,493.785240018949,6
"264",14,497060,497060,60,210,453.0608,509.063788417756,6
"265",15,496850,496850,62,210,457.1424,520.867046793229,6
"266",16,496640,496640,61,210,461.224,519.5196433246,6
"267",17,496430,496430,60,210,465.3056,502.802321868617,6
"268",18,496220,496220,57,240,469.3872,478.572572083554,6
"269",19,495980,495980,56,240,473.4688,460.92008957699,6
"270",20,495740,495740,56,240,477.5504,461.931802578507,6
"271",21,495500,495500,58,240,481.632,484.053804556145,6
"272",22,495260,495260,61,210,485.7136,517.868471041883,6
"273",23,495050,495050,64,210,489.7952,546.896362472925,6
"274",24,494840,494840,65,210,493.8768,556.743899335335,6
"275",25,494630,494630,64,210,497.9584,543.210316777202,6
"276",26,494420,494420,61,240,502.04,514.538547373061,6
"277",27,494180,494180,58,240,506.121599999999,486.510708450453,6
"278",28,493940,493940,57,240,510.203199999999,473.387103901269,6
"279",29,493700,493700,58,240,514.284799999999,480.123599629468,6
"280",30,493460,493460,60,240,518.366399999999,500.397070761539,6
"281",31,493220,493220,62,240,522.447999999999,521.324118723703,6
"282",32,492980,492980,63,240,526.529599999999,531.667566658758,6
"283",33,492740,492740,62,240,530.611199999999,528.328055050417,6
"284",34,492500,492500,61,240,534.692799999999,517.21111599143,6
"285",35,492260,492260,60,240,538.774399999999,508.261868759819,6
"286",36,492020,492020,60,270,542.855999999999,508.186773418016,6
"287",37,491750,491750,61,240,546.937599999999,515.768298969018,6
"288",38,491510,491510,62,240,551.019199999999,522.871874136732,6
"289",39,491270,491270,62,240,555.100799999999,520.437924381191,6
"290",40,491030,491030,60,270,559.182399999999,505.413757341927,6
"291",41,490760,490760,58,270,563.263999999999,483.876588113371,6
"292",42,490490,490490,56,300,567.345599999999,468.008321207057,6
"293",43,490190,490190,56,300,571.427199999999,468.582805370558,6
"294",44,489890,489890,58,270,575.508799999999,487.655744854929,6
"295",45,489620,489620,61,270,579.590399999999,516.233246787939,6
"296",46,489350,489350,63,270,583.671999999999,538.716457490467,6
"297",47,489080,489080,64,270,587.753599999999,541.705458389965,6
"298",48,488810,488810,62,270,591.835199999999,521.935442127676,6
"299",49,488540,488540,58,300,595.916799999999,488.503751669529,6
"300",50,488240,488240,55,300,599.998399999999,457.934790699477,6
"301",1,499689,499689,62,180,400,527.663748757848,7
"302",2,499509,499509,62,180,404.0816,527.663748757848,7
"303",3,499329,499329,62,180,408.1632,521.104412241847,7
"304",4,499149,499149,60,180,412.2448,509.559125694495,7
"305",5,498969,498969,59,210,416.3264,498.026384772052,7
"306",6,498759,498759,59,210,420.408,490.667761872672,7
"307",7,498549,498549,58,210,424.4896,489.046097905281,7
"308",8,498339,498339,59,210,428.5712,491.776374781379,7
"309",9,498129,498129,59,210,432.6528,495.635656359402,7
"310",10,497919,497919,59,210,436.7344,497.475752735934,7
"311",11,497709,497709,59,210,440.816,495.926512093682,7
"312",12,497499,497499,59,210,444.8976,492.028208818786,7
"313",13,497289,497289,58,210,448.9792,488.5023129962,7
"314",14,497079,497079,58,210,453.0608,488.074315658551,7
"315",15,496869,496869,59,210,457.1424,491.75221653176,7
"316",16,496659,496659,59,210,461.224,497.997813128725,7
"317",17,496449,496449,60,210,465.3056,503.285567474447,7
"318",18,496239,496239,60,210,469.3872,503.838749227733,7
"319",19,496029,496029,59,240,473.4688,497.709612298665,7
"320",20,495789,495789,58,240,477.5504,486.141188135274,7
"321",21,495549,495549,57,240,481.632,473.440247657503,7
"322",22,495309,495309,56,240,485.7136,465.28184289861,7
"323",23,495069,495069,56,240,489.7952,466.136160132875,7
"324",24,494829,494829,57,240,493.8768,476.988932440817,7
"325",25,494589,494589,59,240,497.9584,494.472641983365,7
"326",26,494349,494349,61,240,502.04,511.936852456654,7
"327",27,494109,494109,62,240,506.121599999999,522.114282679584,7
"328",28,493869,493869,62,240,510.203199999999,520.279072682259,7
"329",29,493629,493629,60,240,514.284799999999,506.502639231301,7
"330",30,493389,493389,58,240,518.366399999999,485.944439362128,7
"331",31,493149,493149,56,270,522.447999999999,466.943126622257,7
"332",32,492879,492879,55,270,526.529599999999,457.640853703285,7
"333",33,492609,492609,56,270,530.611199999999,462.549063848086,7
"334",34,492339,492339,58,270,534.692799999999,480.537215652148,7
"335",35,492069,492069,60,240,538.774399999999,505.148551068214,7
"336",36,491829,491829,62,240,542.855999999999,527.160640603713,7
"337",37,491589,491589,63,240,546.937599999999,538.340314276821,7
"338",38,491349,491349,63,240,551.019199999999,534.81770037137,7
"339",39,491109,491109,61,270,555.100799999999,518.656099733037,7
"340",40,490839,490839,59,270,559.182399999999,496.960657760592,7
"341",41,490569,490569,57,270,563.263999999999,478.916828394386,7
"342",42,490299,490299,57,270,567.345599999999,472.023839397754,7
"343",43,490029,490029,57,300,571.427199999999,479.111173001705,7
"344",44,489729,489729,59,270,575.508799999999,497.363841707529,7
"345",45,489459,489459,61,270,579.590399999999,519.702109376698,7
"346",46,489189,489189,63,270,583.671999999999,537.854207935252,7
"347",47,488919,488919,64,270,587.753599999999,545.765869698544,7
"348",48,488649,488649,64,270,591.835199999999,541.901370667606,7
"349",49,488379,488379,62,270,595.916799999999,529.527784973139,7
"350",50,488109,488109,61,270,599.998399999999,514.982022329946,7
"351",1,499647,499647,60,180,400,505.970024557349,8
"352",2,499467,499467,60,180,404.0816,505.970024557349,8
"353",3,499287,499287,61,180,408.1632,515.11189077133,8
"354",4,499107,499107,60,180,412.2448,507.640002953223,8
"355",5,498927,498927,58,210,416.3264,484.525972141004,8
"356",6,498717,498717,55,210,420.408,455.587090066917,8
"357",7,498507,498507,53,240,424.4896,435.099110997261,8
"358",8,498267,498267,53,240,428.5712,434.754680995724,8
"359",9,498027,498027,55,210,432.6528,457.508321470752,8
"360",10,497817,497817,59,210,436.7344,495.548830130474,8
"361",11,497607,497607,63,180,440.816,533.621269405107,8
"362",12,497427,497427,65,180,444.8976,556.195004335115,8
"363",13,497247,497247,65,180,448.9792,554.95325905679,8
"364",14,497067,497067,63,210,453.0608,532.835041027947,8
"365",15,496857,496857,60,210,457.1424,502.551790349754,8
"366",16,496647,496647,58,210,461.224,480.279612663326,8
"367",17,496437,496437,57,240,465.3056,477.669819367161,8
"368",18,496197,496197,59,210,469.3872,496.167806392897,8
"369",19,495987,495987,62,210,473.4688,526.447635344594,8
"370",20,495777,495777,65,210,477.5504,553.171071783706,8
"371",21,495567,495567,66,210,481.632,562.606308029054,8
"372",22,495357,495357,64,210,485.7136,549.260122393162,8
"373",23,495147,495147,61,240,489.7952,518.271217573162,8
"374",24,494907,494907,58,240,493.8768,482.536399187897,8
"375",25,494667,494667,55,270,497.9584,456.216970793155,8
"376",26,494397,494397,54,270,502.04,448.01772818913,8
"377",27,494127,494127,55,270,506.121599999999,457.581861257252,8
"378",28,493857,493857,57,240,510.203199999999,476.594181191524,8
"379",29,493617,493617,59,240,514.284799999999,493.705202984398,8
"380",30,493377,493377,60,240,518.366399999999,500.496701744819,8
"381",31,493137,493137,59,240,522.447999999999,495.363073359849,8
"382",32,492897,492897,58,270,526.529599999999,483.487274297358,8
"383",33,492627,492627,57,270,530.611199999999,473.272390575529,8
"384",34,492357,492357,57,270,534.692799999999,471.443121439577,8
"385",35,492087,492087,57,270,538.774399999999,479.578100526659,8
"386",36,491817,491817,59,270,542.855999999999,493.845286112175,8
"387",37,491547,491547,60,270,546.937599999999,507.806841035018,8
"388",38,491277,491277,61,270,551.019199999999,516.435549476985,8
"389",39,491007,491007,61,270,555.100799999999,518.900241059122,8
"390",40,490737,490737,61,270,559.182399999999,518.522519953568,8
"391",41,490467,490467,62,270,563.263999999999,520.055595956258,8
"392",42,490197,490197,62,270,567.345599999999,526.057982667258,8
"393",43,489927,489927,63,270,571.427199999999,534.685515972702,8
"394",44,489657,489657,64,240,575.508799999999,540.38243531342,8
"395",45,489417,489417,63,270,579.590399999999,537.200342179891,8
"396",46,489147,489147,62,270,583.671999999999,522.830324736122,8
"397",47,488877,488877,60,270,587.753599999999,500.871959093065,8
"398",48,488607,488607,57,300,591.835199999999,479.753507993357,8
"399",49,488307,488307,56,300,595.916799999999,468.601599219071,8
"400",50,488007,488007,57,300,599.998399999999,472.18770039697,8
"401",1,499673,499673,58,180,400,482.489276210415,9
"402",2,499493,499493,58,180,404.0816,482.489276210415,9
"403",3,499313,499313,59,180,408.1632,491.865499432431,9
"404",4,499133,499133,60,180,412.2448,501.453625794297,9
"405",5,498953,498953,60,180,416.3264,509.514750735718,9
"406",6,498773,498773,61,180,420.408,514.607504077705,9
"407",7,498593,498593,61,180,424.4896,515.824632408988,9
"408",8,498413,498413,61,210,428.5712,512.934160209569,9
"409",9,498203,498203,60,210,432.6528,506.402778683299,9
"410",10,497993,497993,59,210,436.7344,497.300009083572,9
"411",11,497783,497783,58,210,440.816,487.102440252063,9
"412",12,497573,497573,57,210,444.8976,477.434270575058,9
"413",13,497363,497363,56,240,448.9792,469.790563511698,9
"414",14,497123,497123,56,240,453.0608,465.291388980382,9
"415",15,496883,496883,56,240,457.1424,464.508249134361,9
"416",16,496643,496643,56,240,461.224,467.390291474126,9
"417",17,496403,496403,57,240,465.3056,473.299459014203,9
"418",18,496163,496163,58,240,469.3872,481.144319834849,9
"419",19,495923,495923,58,240,473.4688,489.585364398386,9
"420",20,495683,495683,59,240,477.5504,497.273028733291,9
"421",21,495443,495443,60,240,481.632,503.075498573646,9
"422",22,495203,495203,60,240,485.7136,506.256989275066,9
"423",23,494963,494963,60,240,489.7952,506.577748040928,9
"424",24,494723,494723,60,240,493.8768,504.302322246095,9
"425",25,494483,494483,60,240,497.9584,500.119712890358,9
"426",26,494243,494243,59,240,502.04,494.994689485498,9
"427",27,494003,494003,58,240,506.121599999999,489.98095831838,9
"428",28,493763,493763,58,240,510.203199999999,486.032114156048,9
"429",29,493523,493523,58,240,514.284799999999,483.844653159011,9
"430",30,493283,493283,58,240,518.366399999999,483.759387902588,9
"431",31,493043,493043,58,270,522.447999999999,485.735152353639,9
"432",32,492773,492773,58,270,526.529599999999,489.394273527652,9
"433",33,492503,492503,59,240,530.611199999999,494.125751918407,9
"434",34,492263,492263,59,270,534.692799999999,499.221993259553,9
"435",35,491993,491993,60,240,538.774399999999,504.020067863196,9
"436",36,491753,491753,60,270,542.855999999999,508.019553503739,9
"437",37,491483,491483,61,240,546.937599999999,510.955565392174,9
"438",38,491243,491243,61,270,551.019199999999,512.816052346181,9
"439",39,490973,490973,61,270,555.100799999999,513.804574585285,9
"440",40,490703,490703,61,270,559.182399999999,514.261051031352,9
"441",41,490433,490433,61,270,563.263999999999,514.561101204366,9
"442",42,490163,490163,61,270,567.345599999999,515.018040671634,9
"443",43,489893,489893,61,270,571.427199999999,515.809755883749,9
"444",44,489623,489623,61,270,575.508799999999,516.946119562528,9
"445",45,489353,489353,61,270,579.590399999999,518.282818028328,9
"446",46,489083,489083,61,270,583.671999999999,519.576601563393,9
"447",47,488813,488813,62,270,587.753599999999,520.567389853881,9
"448",48,488543,488543,62,270,591.835199999999,521.066428030162,9
"449",49,488273,488273,62,270,595.916799999999,521.028139891808,9
"450",50,488003,488003,62,270,599.998399999999,520.586814172512,9
"451",1,499663,499663,59,180,400,490.277378825797,10
"452",2,499483,499483,59,180,404.0816,490.277378825797,10
"453",3,499303,499303,59,180,408.1632,490.723456282419,10
"454",4,499123,499123,59,180,412.2448,495.117229207534,10
"455",5,498943,498943,60,180,416.3264,501.421818462032,10
"456",6,498763,498763,60,210,420.408,507.17582527472,10
"457",7,498553,498553,61,180,424.4896,510.307346074034,10
"458",8,498373,498373,60,210,428.5712,509.783219639213,10
"459",9,498163,498163,60,210,432.6528,505.892993877395,10
"460",10,497953,497953,60,210,436.7344,500.087378337635,10
"461",11,497743,497743,59,210,440.816,494.434878112252,10
"462",12,497533,497533,59,210,444.8976,490.882309409734,10
"463",13,497323,497323,59,210,448.9792,490.566534716941,10
"464",14,497113,497113,59,210,453.0608,493.406751503829,10
"465",15,496903,496903,59,210,457.1424,498.114928791763,10
"466",16,496693,496693,60,210,461.224,502.62571535443,10
"467",17,496483,496483,60,210,465.3056,504.809660899207,10
"468",18,496273,496273,60,210,469.3872,503.238715856484,10
