"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,99122,99122,60,390,800
"2",2,98732,98732,60,390,804.0816
"3",3,98342,98342,60,390,808.1632
"4",4,97952,97952,60,390,812.2448
"5",5,97562,97562,60,390,816.3264
"6",6,97172,97172,60,390,820.408
"7",7,96782,96782,60,390,824.4896
"8",8,96392,96392,60,390,828.5712
"9",9,96002,96002,60,390,832.6528
"10",10,95612,95612,60,390,836.7344
"11",11,95222,95222,60,420,840.816
"12",12,94802,94802,60,420,844.8976
"13",13,94382,94382,60,420,848.9792
"14",14,93962,93962,60,420,853.0608
"15",15,93542,93542,60,420,857.1424
"16",16,93122,93122,60,420,861.224
"17",17,92702,92702,60,420,865.3056
"18",18,92282,92282,60,420,869.3872
"19",19,91862,91862,60,420,873.4688
"20",20,91442,91442,60,420,877.5504
"21",21,91022,91022,60,420,881.632
"22",22,90602,90602,60,420,885.7136
"23",23,90182,90182,60,420,889.7952
"24",24,89762,89762,60,420,893.8768
"25",25,89342,89342,60,420,897.9584
"26",26,88922,88922,60,450,902.04
"27",27,88472,88472,60,450,906.121599999999
"28",28,88022,88022,60,450,910.203199999999
"29",29,87572,87572,60,450,914.284799999999
"30",30,87122,87122,60,450,918.366399999999
"31",31,86672,86672,60,450,922.447999999999
"32",32,86222,86222,60,450,926.529599999999
"33",33,85772,85772,60,450,930.611199999999
"34",34,85322,85322,60,450,934.692799999999
"35",35,84872,84872,60,450,938.774399999999
"36",36,84422,84422,60,450,942.855999999999
"37",37,83972,83972,60,450,946.937599999999
"38",38,83522,83522,60,450,951.019199999999
"39",39,83072,83072,60,450,955.100799999999
"40",40,82622,82622,60,450,959.182399999999
"41",41,82172,82172,60,480,963.263999999999
"42",42,81692,81692,60,480,967.345599999999
"43",43,81212,81212,60,480,971.427199999999
"44",44,80732,80732,60,480,975.508799999999
"45",45,80252,80252,60,480,979.590399999999
"46",46,79772,79772,60,480,983.671999999999
"47",47,79292,79292,60,480,987.753599999999
"48",48,78812,78812,60,480,991.835199999999
"49",49,78332,78332,60,480,995.916799999999
"50",50,77852,77852,60,480,999.998399999999
