"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,99334,99334,59,390,800,497.670615584864
"2",2,98944,98944,59,390,804.0816,497.670615584864
"3",3,98554,98554,67,360,808.1632,576.208817382798
"4",4,98194,98194,63,360,812.2448,535.129576401969
"5",5,97834,97834,53,450,816.3264,436.998544069714
"6",6,97384,97384,53,450,820.408,431.273982430595
"7",7,96934,96934,62,390,824.4896,526.674673028181
"8",8,96544,96544,67,360,828.5712,577.900795044427
"9",9,96184,96184,60,390,832.6528,506.932511269139
"10",10,95794,95794,52,480,836.7344,421.857916785502
"11",11,95314,95314,55,450,840.816,452.249693480926
"12",12,94864,94864,65,360,844.8976,551.819709890891
"13",13,94504,94504,66,360,848.9792,568.918062303025
"14",14,94144,94144,57,420,853.0608,477.50314109999
"15",15,93724,93724,51,480,857.1424,416.804249420947
"16",16,93244,93244,57,450,861.224,479.268706353143
"17",17,92794,92794,66,390,865.3056,569.760152370328
"18",18,92404,92404,65,390,869.3872,550.45578126951
"19",19,92014,92014,55,450,873.4688,450.757074784039
"20",20,91564,91564,52,480,877.5504,422.509937774652
"21",21,91084,91084,60,420,881.632,508.736112750523
"22",22,90664,90664,67,390,885.7136,578.109005581772
"23",23,90274,90274,62,420,889.7952,524.970378001256
"24",24,89854,89854,53,480,893.8768,430.252904789434
"25",25,89374,89374,53,480,897.9584,438.215833964412
"26",26,88894,88894,63,420,902.04,536.731243023075
"27",27,88474,88474,67,390,906.121599999999,575.755445757535
"28",28,88084,88084,59,450,910.203199999999,495.852712411895
"29",29,87634,87634,51,510,914.284799999999,418.718732663764
"30",30,87124,87124,56,480,918.366399999999,461.832251857462
"31",31,86644,86644,65,420,922.447999999999,559.529315419497
"32",32,86224,86224,66,420,926.529599999999,563.012616526475
"33",33,85804,85804,56,480,930.611199999999,466.976920766266
"34",34,85324,85324,51,540,934.692799999999,417.689192231976
"35",35,84784,84784,59,450,938.774399999999,490.217002025044
"36",36,84334,84334,67,420,942.855999999999,574.09702224662
"37",37,83914,83914,64,420,946.937599999999,541.575964822316
"38",38,83494,83494,54,510,951.019199999999,442.184957744662
"39",39,82984,82984,52,540,955.100799999999,427.301264939601
"40",40,82444,82444,61,450,959.182399999999,519.593463375914
"41",41,81994,81994,67,420,963.263999999999,578.496114672602
"42",42,81574,81574,61,450,967.345599999999,514.297659872324
"43",43,81124,81124,52,540,971.427199999999,424.775420301008
"44",44,80584,80584,54,540,975.508799999999,446.276054326255
"45",45,80044,80044,64,450,979.590399999999,546.053066594899
"46",46,79594,79594,67,420,983.671999999999,572.14128878812
"47",47,79174,79174,58,510,987.753599999999,484.807109058959
"48",48,78664,78664,51,570,991.835199999999,417.064665842375
"49",49,78094,78094,57,510,995.916799999999,472.088944555037
"50",50,77584,77584,66,450,999.998399999999,566.075333432487
