"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,99352,99352,56,420,800,465.766185374942
"2",2,98932,98932,56,420,804.0816,465.766185374942
"3",3,98512,98512,56,420,808.1632,467.163483931067
"4",4,98092,98092,56,420,812.2448,468.560782487191
"5",5,97672,97672,56,420,816.3264,469.958081043316
"6",6,97252,97252,57,420,820.408,471.355379599441
"7",7,96832,96832,57,420,824.4896,472.752678155566
"8",8,96412,96412,57,420,828.5712,474.149976711691
"9",9,95992,95992,57,420,832.6528,475.547275267816
"10",10,95572,95572,57,420,836.7344,476.94457382394
"11",11,95152,95152,57,420,840.816,478.341872380065
"12",12,94732,94732,57,420,844.8976,479.73917093619
"13",13,94312,94312,58,420,848.9792,481.136469492315
"14",14,93892,93892,58,420,853.0608,482.53376804844
"15",15,93472,93472,58,420,857.1424,483.931066604565
"16",16,93052,93052,58,420,861.224,485.328365160689
"17",17,92632,92632,58,420,865.3056,486.725663716814
"18",18,92212,92212,58,420,869.3872,488.122962272939
"19",19,91792,91792,58,450,873.4688,489.520260829064
"20",20,91342,91342,59,420,877.5504,490.917559385189
"21",21,90922,90922,59,420,881.632,492.314857941313
"22",22,90502,90502,59,450,885.7136,493.712156497438
"23",23,90052,90052,59,450,889.7952,495.109455053563
"24",24,89602,89602,59,450,893.8768,496.506753609688
"25",25,89152,89152,59,450,897.9584,497.904052165813
"26",26,88702,88702,59,450,902.04,499.301350721938
"27",27,88252,88252,60,450,906.121599999999,500.698649278062
"28",28,87802,87802,60,450,910.203199999999,502.095947834187
"29",29,87352,87352,60,450,914.284799999999,503.493246390312
"30",30,86902,86902,60,450,918.366399999999,504.890544946437
"31",31,86452,86452,60,450,922.447999999999,506.287843502562
"32",32,86002,86002,60,450,926.529599999999,507.685142058686
"33",33,85552,85552,60,450,930.611199999999,509.082440614811
"34",34,85102,85102,61,450,934.692799999999,510.479739170936
"35",35,84652,84652,61,450,938.774399999999,511.877037727061
"36",36,84202,84202,61,450,942.855999999999,513.274336283186
"37",37,83752,83752,61,450,946.937599999999,514.671634839311
"38",38,83302,83302,61,450,951.019199999999,516.068933395435
"39",39,82852,82852,61,450,955.100799999999,517.46623195156
"40",40,82402,82402,61,450,959.182399999999,518.863530507685
"41",41,81952,81952,62,450,963.263999999999,520.26082906381
"42",42,81502,81502,62,450,967.345599999999,521.658127619935
"43",43,81052,81052,62,450,971.427199999999,523.05542617606
"44",44,80602,80602,62,450,975.508799999999,524.452724732184
"45",45,80152,80152,62,450,979.590399999999,525.850023288309
"46",46,79702,79702,62,450,983.671999999999,527.247321844434
"47",47,79252,79252,62,450,987.753599999999,528.644620400559
"48",48,78802,78802,63,450,991.835199999999,530.041918956684
"49",49,78352,78352,63,450,995.916799999999,531.439217512809
"50",50,77902,77902,63,450,999.998399999999,532.836516068933
