"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,98049,98049,59,990,2000,497.457274308912
"2",2,97059,97059,59,1050,2075,497.457274308912
"3",3,96009,96009,63,1020,2150,532.0489307966
"4",4,94989,94989,63,1050,2225,539.557162281703
"5",5,93939,93939,61,1110,2300,516.411908113041
"6",6,92829,92829,58,1200,2375,483.173611113035
"7",7,91629,91629,56,1290,2450,467.639015504029
"8",8,90339,90339,58,1290,2525,482.634471835581
"9",9,89049,89049,61,1260,2600,516.254650975596
"10",10,87789,87789,64,1230,2675,541.975214028658
"11",11,86559,86559,64,1260,2750,540.064183995962
"12",12,85299,85299,61,1380,2825,512.956083622783
"13",13,83919,83919,58,1500,2900,482.555677159975
"14",14,82419,82419,57,1560,2975,472.19628785329
"15",15,80859,80859,58,1560,3050,488.125070131632
"16",16,79299,79299,61,1530,3125,515.274656898976
"17",17,77769,77769,63,1500,3200,530.164834721701
"18",18,76269,76269,61,1590,3275,519.982594720009
"19",19,74679,74679,59,1680,3350,492.349825568622
"20",20,72999,72999,56,1830,3425,468.344885997045
"21",21,71169,71169,56,1860,3500,465.0795134051
"22",22,69309,69309,58,1830,3575,482.273508917207
"23",23,67479,67479,60,1800,3650,503.4454412605
"24",24,65679,65679,61,1830,3725,510.084146303388
"25",25,63849,63849,59,1920,3800,496.732898140801
"26",26,61929,61929,57,2010,3875,474.71215981786
"27",27,59919,59919,56,2100,3950,462.001505186099
"28",28,57819,57819,56,2130,4025,468.211476488159
"29",29,55689,55689,58,2100,4100,487.195625994855
"30",30,53589,53589,60,2070,4175,503.008799392633
"31",31,51519,51519,60,2100,4250,503.648200570281
"32",32,49419,49419,59,2190,4325,490.803397905845
"33",33,47229,47229,57,2310,4400,477.661143872034
"34",34,44919,44919,57,2340,4475,477.128008267845
"35",35,42579,42579,59,2310,4550,490.802662208997
"36",36,40269,40269,60,2310,4625,508.030631953438
"37",37,37959,37959,61,2310,4700,515.50753262368
"38",38,35649,35649,60,2370,4775,508.874487808956
"39",39,33279,33279,59,2460,4850,496.246238193682
"40",40,30819,30819,59,2490,4925,490.766687078603
"41",41,28329,28329,59,2520,5000,498.835128241855
"42",42,25809,25809,61,2490,5075,514.35267845598
"43",43,23319,23319,62,2490,5150,524.047388985436
"44",44,20829,20829,61,2550,5225,519.247750847907
"45",45,18279,18279,60,2640,5300,503.777882278174
"46",46,15639,15639,59,2730,5375,490.915316173338
"47",47,12909,12909,59,2760,5450,491.838843584556
"48",48,10149,10149,60,2760,5525,505.537630699155
"49",49,7389,7389,61,2729,5600,519.151393571483
"50",50,4767,4767,61,2790,5675,518.842695173475
"51",1,98433,98433,57,1050,2000,475.001863829193
"52",2,97383,97383,57,1080,2075,475.001863829193
"53",3,96303,96303,60,1050,2150,503.121813675199
"54",4,95253,95253,62,1050,2225,520.227204860682
"55",5,94203,94203,61,1110,2300,514.189403491798
"56",6,93093,93093,59,1200,2375,491.913854978177
"57",7,91893,91893,57,1260,2450,473.791533113548
"58",8,90633,90633,57,1320,2525,477.345616335404
"59",9,89313,89313,60,1290,2600,503.146338229425
