"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,98349,98349,60,990,2000,508.973835382412
"2",2,97359,97359,60,1020,2075,508.973835382412
"3",3,96339,96339,71,900,2150,619.253494104542
"4",4,95439,95439,58,1140,2225,489.514240925572
"5",5,94299,94299,58,1170,2300,480.124603955944
"6",6,93129,93129,61,1140,2375,514.223956537582
"7",7,91989,91989,56,1290,2450,464.025864401002
"8",8,90699,90699,61,1230,2525,518.109841718128
"9",9,89469,89469,57,1350,2600,470.366153403019
"10",10,88119,88119,50,1590,2675,406.7861174657
"11",11,86529,86529,67,1230,2750,574.689150286875
"12",12,85299,85299,70,1200,2825,604.160274891377
"13",13,84099,84099,58,1500,2900,489.402651417013
"14",14,82599,82599,56,1590,2975,466.458472620086
"15",15,81009,81009,49,1860,3050,393.364262868869
"16",16,79149,79149,55,1680,3125,451.990845057288
"17",17,77469,77469,71,1350,3200,617.677909288821
"18",18,76119,76119,63,1530,3275,530.522099049469
"19",19,74589,74589,56,1770,3350,462.262681593519
"20",20,72819,72819,61,1680,3425,519.319593524659
"21",21,71139,71139,57,1830,3500,471.318185529308
"22",22,69309,69309,59,1800,3575,499.010411482405
"23",23,67509,67509,60,1800,3650,503.686252073684
"24",24,65709,65709,49,2280,3725,399.983507061239
"25",25,63429,63429,61,1860,3800,519.999994024063
"26",26,61569,61569,72,1560,3875,625.875617449736
"27",27,60009,60009,61,1920,3950,513.761316250513
"28",28,58089,58089,57,2100,4025,472.351587712481
"29",29,55989,55989,51,2400,4100,416.261549776181
"30",30,53589,53589,50,2490,4175,407.922390969878
"31",31,51099,51099,68,1860,4250,588.389435278661
"32",32,49239,49239,67,1920,4325,575.319834634648
"33",33,47319,47319,55,2400,4400,458.321465811382
"34",34,44919,44919,61,2190,4475,510.487415368579
"35",35,42729,42729,58,2340,4550,488.451904815199
"36",36,40389,40389,57,2430,4625,478.289387630695
"37",37,37959,37959,62,2250,4700,522.926617992291
"38",38,35709,35709,51,2790,4775,417.816686551923
"39",39,32919,32919,56,2580,4850,463.625209162206
