"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,97045,97045,22,2700,2000,126.903553299492
"2",2,94345,94345,22,2820,2075,126.903553299492
"3",3,91525,91525,24,2670,2150,142.131979695431
"4",4,88855,88855,25,2670,2225,157.360406091371
"5",5,86185,86185,27,2550,2300,172.58883248731
"6",6,83635,83635,28,2520,2375,187.817258883249
"7",7,81115,81115,30,2430,2450,203.045685279188
"8",8,78685,78685,31,2430,2525,218.274111675127
"9",9,76255,76255,33,2340,2600,233.502538071066
"10",10,73915,73915,34,2340,2675,248.730964467005
"11",11,71575,71575,36,2280,2750,263.959390862944
"12",12,69295,69295,37,2280,2825,279.187817258883
"13",13,67015,67015,39,2220,2900,294.416243654822
"14",14,64795,64795,40,2220,2975,309.644670050761
"15",15,62575,62575,42,2160,3050,324.873096446701
"16",16,60415,60415,44,2130,3125,340.10152284264
"17",17,58285,58285,45,2130,3200,355.329949238579
"18",18,56155,56155,47,2070,3275,370.558375634518
"19",19,54085,54085,48,2070,3350,385.786802030457
"20",20,52015,52015,50,2040,3425,401.015228426396
"21",21,49975,49975,51,2040,3500,416.243654822335
"22",22,47935,47935,53,2010,3575,431.472081218274
"23",23,45925,45925,54,2010,3650,446.700507614213
"24",24,43915,43915,56,1980,3725,461.928934010152
"25",25,41935,41935,57,1980,3800,477.157360406091
"26",26,39955,39955,59,1950,3875,492.38578680203
"27",27,38005,38005,60,1950,3950,507.614213197969
"28",28,36055,36055,62,1920,4025,522.842639593909
"29",29,34135,34135,63,1950,4100,538.071065989848
"30",30,32185,32185,65,1920,4175,553.299492385787
"31",31,30265,30265,66,1920,4250,568.527918781726
"32",32,28345,28345,68,1890,4325,583.756345177665
"33",33,26455,26455,69,1890,4400,598.984771573604
"34",34,24565,24565,71,1890,4475,614.213197969543
"35",35,22675,22675,72,1881,4550,629.441624365482
"36",36,20794,20794,74,1833,4625,644.670050761421
"37",37,18961,18961,75,1856,4700,659.89847715736
"38",38,17105,17105,77,1779,4775,675.126903553299
"39",39,15326,15326,79,1751,4850,690.355329949239
"40",40,13575,13575,80,1727,4925,705.583756345178
"41",41,11848,11848,82,1652,5000,720.812182741117
"42",42,10196,10196,83,1658,5075,736.040609137056
"43",43,8538,8538,85,1625,5150,751.269035532995
"44",44,6913,6913,86,1625,5225,766.497461928934
"45",45,5351,5351,88,1585,5300,781.725888324873
"46",46,3877,3877,89,1571,5375,796.954314720812
"47",47,2679,2679,91,1479,5450,812.182741116751
"48",48,1746,1746,92,1507,5525,827.41116751269
"49",49,1093,1093,94,1486,5600,842.639593908629
"50",50,642,642,95,1493,5675,857.868020304568
