"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
1,98275,98275,60,990,2000
2,97285,97285,60,1020,2075
3,96265,96265,60,1050,2150
4,95215,95215,60,1110,2225
5,94105,94105,60,1140,2300
6,92965,92965,60,1170,2375
7,91795,91795,60,1200,2450
8,90595,90595,60,1260,2525
9,89335,89335,60,1290,2600
10,88045,88045,60,1320,2675
11,86725,86725,60,1350,2750
12,85375,85375,60,1410,2825
13,83965,83965,60,1440,2900
14,82525,82525,60,1470,2975
15,81055,81055,60,1500,3050
16,79555,79555,60,1560,3125
17,77995,77995,60,1590,3200
18,76405,76405,60,1620,3275
19,74785,74785,60,1650,3350
20,73135,73135,60,1710,3425
21,71425,71425,60,1740,3500
22,69685,69685,60,1770,3575
23,67915,67915,60,1800,3650
24,66115,66115,60,1860,3725
25,64255,64255,60,1890,3800
26,62365,62365,60,1920,3875
27,60445,60445,60,1950,3950
28,58495,58495,60,2010,4025
29,56485,56485,60,2040,4100
30,54445,54445,60,2070,4175
31,52375,52375,60,2100,4250
32,50275,50275,60,2160,4325
33,48115,48115,60,2190,4400
34,45925,45925,60,2220,4475
35,43705,43705,60,2250,4550
36,41455,41455,60,2310,4625
37,39145,39145,60,2340,4700
38,36805,36805,60,2370,4775
39,34435,34435,60,2400,4850
40,32035,32035,60,2460,4925
41,29575,29575,60,2490,5000
42,27085,27085,60,2520,5075
43,24565,24565,60,2550,5150
44,22015,22015,60,2610,5225
45,19405,19405,60,2640,5300
46,16765,16765,60,2670,5375
47,14095,14095,60,2700,5450
48,11395,11395,60,2760,5525
49,8635,8635,60,2790,5600
50,5891,5891,60,2820,5675
