"Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
1,98069,98069,52,1140,2000,428.692706444192
2,96929,96929,52,1170,2075,428.692706444192
3,95759,95759,53,1200,2150,433.714190251823
4,94559,94559,71,930,2225,618.681480457308
5,93629,93629,53,1290,2300,430.373135650712
6,92339,92339,66,1050,2375,561.70901168146
7,91289,91289,43,1680,2450,332.317944952903
8,89609,89609,84,791,2525,749.872062571172
9,88818,88818,44,1770,2600,341.4337484676
10,87048,87048,57,1380,2675,478.86352842964
11,85668,85668,67,1230,2750,577.449524144261
12,84438,84438,60,1410,2825,507.065701089473
13,83028,83028,57,1500,2900,476.378873973496
14,81528,81528,46,1920,2975,366.054295743539
15,79608,79608,88,877,3050,784.23548180558
16,78731,78731,37,2520,3125,278.677458888982
17,76211,76211,63,1500,3200,532.155772517736
18,74711,74711,62,1560,3275,528.663547238835
19,73151,73151,67,1500,3350,575.262022364249
20,71651,71651,48,2130,3425,389.523390573246
21,69521,69521,54,1920,3500,440.86603900419
22,67601,67601,85,1127,3575,751.939278012427
23,66474,66474,36,3030,3650,263.390577168321
24,63444,63444,67,1650,3725,576.050783512388
25,61794,61794,57,1980,3800,478.90189740775
26,59814,59814,72,1560,3875,625.56091778986
27,58254,58254,42,2820,3950,324.349900410732
28,55434,55434,62,1920,4025,529.67568784453
29,53514,53514,76,1563,4100,663.716819367136
30,51951,51951,40,3120,4175,306.578267916857
31,48831,48831,69,1830,4250,593.183108663951
32,47001,47001,53,2430,4325,436.660750986366
33,44571,44571,75,1732,4400,653.910564978463
34,42839,42839,39,3420,4475,296.398409557773
35,39419,39419,70,1950,4550,602.658396163492
36,37469,37469,64,2160,4625,545.97542716177
37,35309,35309,50,2820,4700,402.722895056009
38,32489,32489,67,2130,4775,572.340371566207
39,30359,30359,51,2850,4850,411.089634653366
40,27509,27509,76,1841,4925,660.440614071728
41,25668,25668,41,3630,5000,310.151555871474
42,22038,22038,73,2036,5075,636.498578551197
43,20002,20002,53,2910,5150,432.702049646129
44,17092,17092,63,2460,5225,530.226683454421
45,14632,14632,61,2580,5300,513.318258307101
46,12052,12052,50,3210,5375,409.391942021699
47,8842,8842,74,2159,5450,647.596471978964
48,6683,6683,45,3660,5525,359.352074761029
49,3288,3288,72,2285,5600,621.086122422218
50,1842,1842,45,3780,5675,355.1070296739
