"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,94628,94628,11,5427,2000,10
"2",2,89201,89201,11,5623,2075,10
"3",3,83578,83578,63,1020,2150,539.164169988994
"4",4,82558,82558,74,900,2225,646.880562821352
"5",5,81658,81658,75,898,2300,657.169114760629
"6",6,80760,80760,67,1050,2375,570.102947799604
"7",7,79710,79710,36,2040,2450,262.135354247008
"8",8,77670,77670,105,475,2525,954.765706434438
"9",9,77195,77195,97,563,2600,870.566473150583
"10",10,76632,76632,40,1980,2675,305.91370568201
"11",11,74652,74652,68,1200,2750,583.186198147597
"12",12,73452,73452,64,1320,2825,549.971531616499
"13",13,72132,72132,83,969,2900,732.294080377568
"14",14,71163,71163,58,1530,2975,483.932453298889
"15",15,69633,69633,11,7491,3050,10
"16",16,62142,62142,69,1350,3125,590.283424527095
"17",17,60792,60792,66,1440,3200,562.820297300641
"18",18,59352,59352,24,4080,3275,149.671560388985
"19",19,55272,55272,35,2850,3350,257.091995604094
"20",20,52422,52422,27,3780,3425,175.448397324833
"21",21,48642,48642,78,1266,3500,680.143687642816
"22",22,47376,47376,63,1680,3575,535.340988464888
"23",23,45696,45696,11,8341,3650,10
"24",24,37355,37355,74,1492,3725,644.156437143255
"25",25,35863,35863,84,1215,3800,745.084590535465
"26",26,34648,34648,71,1620,3875,614.918465383684
"27",27,33028,33028,67,1740,3950,578.173115039084
"28",28,31288,31288,43,2790,4025,337.85443195701
"29",29,28498,28498,107,895,4100,970.673938117432
"30",30,27603,27603,92,1083,4175,827.51722064746
"31",31,26520,26520,31,4110,4250,212.245996437523
"32",32,22410,22410,68,1890,4325,580.021465973358
"33",33,20520,20520,67,1950,4400,571.152943939897
"34",34,18570,18570,71,1890,4475,616.652768509188
"35",35,16680,16680,49,2760,4550,395.591049823844
"36",36,13920,13920,11,9206,4625,10
"37",37,4963,4963,70,2010,4700,603.749649103097
"38",38,3446,3446,65,2190,4775,551.422570233529
"39",39,2139,2139,16,7964,4850,69.1081394511441
"40",40,12,12,39,3780,4925,293.2902818397
"41",41,0,0,NA,NA,5000,288.481397669553
"42",NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA
