,Time,Trees,Trees_est,Cull_cost,Cull_count,User_budget,Manager_budget
1,1,98721,98721,65,900,2000,553.3298542
2,2,97821,97821,65,930,2075,553.3298542
3,3,96891,96891,59,1080,2150,498.9044197
4,4,95811,95811,50,1320,2225,403.3393877
5,5,94491,94491,70,960,2300,600.4926091
6,6,93531,93531,46,1530,2375,362.2710824
7,7,92001,92001,74,977,2450,646.226591
8,8,91024,91024,55,1350,2525,457.1781711
9,9,89674,89674,60,1290,2600,506.434361
10,10,88384,88384,64,1230,2675,549.1911757
11,11,87154,87154,46,1770,2750,367.9217282
12,12,85384,85384,71,1170,2825,614.0665359
13,13,84214,84214,46,1890,2900,369.0511805
14,14,82324,82324,70,1260,2975,609.3456411
15,15,81064,81064,60,1500,3050,507.9213477
16,16,79564,79564,55,1680,3125,459.2178732
17,17,77884,77884,69,1380,3200,590.9481897
18,18,76504,76504,44,2220,3275,348.38741
19,19,74284,74284,70,1410,3350,608.9646485
20,20,72874,72874,49,2070,3425,393.8500289
21,21,70804,70804,66,1590,3500,560.035102
22,22,69214,69214,66,1620,3575,561.0308514
23,23,67594,67594,51,2130,3650,418.7238806
24,24,65464,65464,71,1560,3725,618.5393246
25,25,63904,63904,44,2580,3800,347.5826007
26,26,61324,61324,68,1680,3875,585.7873486
27,27,59644,59644,53,2220,3950,432.717542
28,28,57424,57424,60,2010,4025,504.8406696
29,29,55414,55414,70,1740,4100,609.2096966
30,30,53674,53674,49,2550,4175,391.0593737
31,31,51124,51124,72,1761,4250,628.3458344
32,32,49363,49363,46,2820,4325,365.737855
33,33,46543,46543,64,2040,4400,547.7210848
34,34,44503,44503,57,2340,4475,479.7651349
35,35,42163,42163,55,2460,4550,451.0814816
36,36,39703,39703,74,1837,4625,645.7765942
37,37,37866,37866,48,2910,4700,380.5271875
38,38,34956,34956,71,2000,4775,619.2765676
39,39,32956,32956,50,2910,4850,400.4349593
40,40,30046,30046,60,2460,4925,500.0855007
41,41,27586,27586,62,2400,5000,528.0008589
42,42,25186,25186,50,3030,5075,405.8349035
43,43,22156,22156,76,1953,5150,665.5994344
44,44,20203,20203,48,3240,5225,389.0105117
45,45,16963,16963,69,2280,5300,592.9219609
46,46,14683,14683,54,2970,5375,446.9471016
47,47,11713,11713,54,3000,5450,449.5804898
48,48,8713,8713,67,2459,5525,570.3171817
49,49,6254,6254,47,3570,5600,374.9563346
50,50,3131,3131,76,2203,5675,665.8139209
51,1,97646,97646,46,1290,2000,362.4607267
52,2,96356,96356,46,1350,2075,362.4607267
53,3,95006,95006,67,960,2150,570.9197861
54,4,94046,94046,23,2880,2225,133.8782111
55,5,91166,91166,20,3450,2300,108.1517392
56,6,87716,87716,70,990,2375,607.2514801
57,7,86726,86726,51,1440,2450,415.6677686
58,8,85286,85286,72,1050,2525,620.1330153
59,9,84236,84236,98,551,2600,884.8922429
60,10,83685,83685,48,1650,2675,383.6995073
61,11,82035,82035,60,1350,2750,508.517734
62,12,80685,80685,77,1052,2825,673.5275094
63,13,79633,79633,46,1890,2900,361.3302149
64,14,77743,77743,86,938,2975,769.4489622
65,15,76805,76805,92,741,3050,824.4639813
66,16,76064,76064,46,2010,3125,360.3038794
67,17,74054,74054,64,1500,3200,548.0379278
68,18,72554,72554,40,2430,3275,300.4755913
69,19,70124,70124,10,8059,3350,1
70,20,62065,62065,62,1650,3425,521.0373638
71,21,60415,60415,59,1770,3500,498.0937893
72,22,58645,58645,57,1860,3575,478.8593298
73,23,56785,56785,100,834,3650,907.6453385
74,24,55951,55951,62,1800,3725,523.5202199
75,25,54151,54151,48,2370,3800,388.1316696
76,26,51781,51781,81,1311,3875,714.8808914
77,27,50470,50470,50,2370,3950,406.8939024
78,28,48100,48100,70,1710,4025,603.4631558
79,29,46390,46390,102,934,4100,923.2665789
80,30,45456,45456,53,2340,4175,439.170456
81,31,43116,43116,57,2220,4250,471.6940759
82,32,40896,40896,55,2340,4325,456.0651824
83,33,38556,38556,10,9342,4400,1
84,34,29214,29214,46,2910,4475,366.6408013
85,35,26304,26304,68,1980,4550,582.3071842
86,36,24324,24324,49,2820,4625,395.3692851
87,37,21504,21504,93,1222,4700,836.1484988
88,38,20282,20282,79,1717,4775,694.0003732
89,39,18565,18565,42,3450,4850,321.0889053
