"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,99055,99055,113,296,2000,1031.38701494931
"2",2,98759,98759,113,301,2075,1031.38701494931
"3",3,98458,98458,60,1050,2150,507.150688866386
"4",4,97408,97408,49,1350,2225,396.197194545865
"5",5,96058,96058,14,4920,2300,45.9658751760326
"6",6,91138,91138,120,356,2375,1108.8773480706
"7",7,90782,90782,45,1620,2450,355.873684167094
"8",8,89162,89162,36,2100,2525,268.395081477847
"9",9,87062,87062,64,1200,2600,541.958556833506
"10",10,85862,85862,66,1200,2675,568.497449136303
"11",11,84662,84662,71,1140,2750,616.007865765644
"12",12,83522,83522,30,2820,2825,206.660800682215
"13",13,80702,80702,83,954,2900,737.307697410401
"14",14,79748,79748,25,3570,2975,157.033971636382
"15",15,76178,76178,102,645,3050,928.056636328482
"16",16,75533,75533,39,2400,3125,296.309029947506
"17",17,73133,73133,46,2070,3200,362.047424302519
"18",18,71063,71063,54,1800,3275,443.115456346507
"19",19,69263,69263,96,777,3350,860.779201085378
"20",20,68486,68486,51,2010,3425,413.448963460331
"21",NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA,NA,NA
"51",1,97737,97737,54,1110,2000,442.116090645994
"52",2,96627,96627,54,1140,2075,442.116090645994
"53",3,95487,95487,64,990,2150,548.637905895214
"54",4,94497,94497,61,1080,2225,516.674948381465
"55",5,93417,93417,53,1290,2300,437.331185572093
"56",6,92127,92127,69,1020,2375,599.355688017419
"57",7,91107,91107,67,1080,2450,579.193721058733
"58",8,90027,90027,48,1560,2525,381.789481527505
"59",9,88467,88467,47,1650,2600,379.675378023478
"60",10,86817,86817,65,1230,2675,551.907098625847
"61",11,85587,85587,83,897,2750,734.8545260706
"62",12,84690,84690,62,1350,2825,524.813752097807
"63",13,83340,83340,32,2700,2900,227.299173345961
"64",14,80640,80640,52,1710,2975,429.956573799618
"65",15,78930,78930,79,1073,3050,697.664796966042
"66",16,77857,77857,76,1184,3125,665.155524647579
"67",17,76673,76673,51,1860,3200,412.588206136939
"68",18,74813,74813,38,2580,3275,282.898325548746
"69",19,72233,72233,65,1530,3350,552.258525533063
"70",20,70703,70703,76,1322,3425,662.402981118827
"71",21,69381,69381,58,1800,3500,489.684963408382
"72",22,67581,67581,55,1950,3575,454.149926590506
"73",23,65631,65631,58,1860,3650,481.614179086878
"74",24,63771,63771,62,1800,3725,526.583784800061
"75",25,61971,61971,57,1980,3800,478.595243421796
"76",26,59991,59991,54,2130,3875,446.248567199328
"77",27,57861,57861,73,1598,3950,637.437950140022
"78",28,56263,56263,68,1770,4025,583.13819177882
"79",29,54493,54493,44,2790,4100,341.248503456492
