"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,1324212,1324212,10,800,400,497.670615584864
"2",2,1423412,1423412,10,800,404.0816,497.670615584864
"3",3,1522612,1522612,10,800,408.1632,576.208817382798
"4",4,1621812,1621812,10,820,412.2448,535.129576401969
"5",5,1720992,1720992,10,820,416.3264,436.998544069714
"6",6,1820172,1820172,10,840,420.408,431.273982430595
"7",7,1919332,1919332,10,840,424.4896,526.674673028181
"8",8,2018492,2018492,10,840,428.5712,577.900795044427
"9",9,2117652,2117652,10,860,432.6528,506.932511269139
"10",10,2216792,2216792,10,860,436.7344,421.857916785502
"11",11,2315932,2315932,10,880,440.816,452.249693480926
"12",12,2415052,2415052,10,880,444.8976,551.819709890891
"13",13,2514172,2514172,10,880,448.9792,568.918062303025
"14",14,2613292,2613292,10,900,453.0608,477.50314109999
"15",15,2712392,2712392,10,900,457.1424,416.804249420947
"16",16,2811492,2811492,10,920,461.224,479.268706353143
"17",17,2910572,2910572,10,920,465.3056,569.760152370328
"18",18,3009652,3009652,10,920,469.3872,550.45578126951
"19",19,3108732,3108732,10,940,473.4688,450.757074784039
"20",20,3207792,3207792,10,940,477.5504,422.509937774652
"21",21,3306852,3306852,10,960,481.632,508.736112750523
"22",22,3405892,3405892,10,960,485.7136,578.109005581772
"23",23,3504932,3504932,10,960,489.7952,524.970378001256
"24",24,3603972,3603972,10,980,493.8768,430.252904789434
"25",25,3702992,3702992,10,980,497.9584,438.215833964412
"26",26,3802012,3802012,10,1000,502.04,536.731243023075
"27",27,3901012,3901012,10,1000,506.121599999999,575.755445757535
"28",28,4000012,4000012,10,1020,510.203199999999,495.852712411895
"29",29,4098992,4098992,10,1020,514.284799999999,418.718732663764
"30",30,4197972,4197972,10,1020,518.366399999999,461.832251857462
"31",31,4296952,4296952,10,1040,522.447999999999,559.529315419497
"32",32,4395912,4395912,10,1040,526.529599999999,563.012616526475
"33",33,4494872,4494872,10,1060,530.611199999999,466.976920766266
"34",34,4593812,4593812,10,1060,534.692799999999,417.689192231976
"35",35,4692752,4692752,10,1060,538.774399999999,490.217002025044
"36",36,4791692,4791692,10,1080,542.855999999999,574.09702224662
"37",37,4890612,4890612,10,1080,546.937599999999,541.575964822316
"38",38,4989532,4989532,10,1100,551.019199999999,442.184957744662
"39",39,5088432,5088432,10,1100,555.100799999999,427.301264939601
"40",40,5187332,5187332,10,1100,559.182399999999,519.593463375914
"41",41,5286232,5286232,10,1120,563.263999999999,578.496114672602
"42",42,5385112,5385112,10,1120,567.345599999999,514.297659872324
"43",43,5483992,5483992,10,1140,571.427199999999,424.775420301008
"44",44,5582852,5582852,10,1140,575.508799999999,446.276054326255
"45",45,5681712,5681712,10,1140,579.590399999999,546.053066594899
"46",46,5780572,5780572,10,1160,583.671999999999,572.14128878812
