"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget"
"1",1,1124846,1124846,60,120,400
"2",2,1124726,1124726,60,120,404.0816
"3",3,1124606,1124606,60,120,408.1632
"4",4,1124486,1124486,60,120,412.2448
"5",5,1124366,1124366,60,120,416.3264
"6",6,1124246,1124246,60,140,420.408
"7",7,1124106,1124106,60,140,424.4896
"8",8,1123966,1123966,60,140,428.5712
"9",9,1123826,1123826,60,140,432.6528
"10",10,1123686,1123686,60,140,436.7344
"11",11,1123546,1123546,60,140,440.816
"12",12,1123406,1123406,60,140,444.8976
"13",13,1123266,1123266,60,140,448.9792
"14",14,1123126,1123126,60,140,453.0608
"15",15,1122986,1122986,60,140,457.1424
"16",16,1122846,1122846,60,140,461.224
"17",17,1122706,1122706,60,140,465.3056
"18",18,1122566,1122566,60,140,469.3872
"19",19,1122426,1122426,60,140,473.4688
"20",20,1122286,1122286,60,140,477.5504
"21",21,1122146,1122146,60,160,481.632
"22",22,1121986,1121986,60,160,485.7136
"23",23,1121826,1121826,60,160,489.7952
"24",24,1121666,1121666,60,160,493.8768
"25",25,1121506,1121506,60,160,497.9584
"26",26,1121346,1121346,60,160,502.04
"27",27,1121186,1121186,60,160,506.121599999999
"28",28,1121026,1121026,60,160,510.203199999999
"29",29,1120866,1120866,60,160,514.284799999999
"30",30,1120706,1120706,60,160,518.366399999999
"31",31,1120546,1120546,60,160,522.447999999999
"32",32,1120386,1120386,60,160,526.529599999999
"33",33,1120226,1120226,60,160,530.611199999999
"34",34,1120066,1120066,60,160,534.692799999999
"35",35,1119906,1119906,60,160,538.774399999999
"36",36,1119746,1119746,60,180,542.855999999999
"37",37,1119566,1119566,60,180,546.937599999999
"38",38,1119386,1119386,60,180,551.019199999999
"39",39,1119206,1119206,60,180,555.100799999999
"40",40,1119026,1119026,60,180,559.182399999999
"41",41,1118846,1118846,60,180,563.263999999999
"42",42,1118666,1118666,60,180,567.345599999999
"43",43,1118486,1118486,60,180,571.427199999999
"44",44,1118306,1118306,60,180,575.508799999999
"45",45,1118126,1118126,60,180,579.590399999999
"46",46,1117946,1117946,60,180,583.671999999999
"47",47,1117766,1117766,60,180,587.753599999999
"48",48,1117586,1117586,60,180,591.835199999999
"49",49,1117406,1117406,60,180,595.916799999999
"50",50,1117226,1117226,60,180,599.998399999999
