"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget"
"1",1,1124716,1124716,59,120,400,497.670615584864
"2",2,1124596,1124596,59,120,404.0816,497.670615584864
"3",3,1124476,1124476,67,120,408.1632,576.208817382798
"4",4,1124356,1124356,63,120,412.2448,535.129576401969
"5",5,1124236,1124236,53,140,416.3264,436.998544069714
"6",6,1124096,1124096,53,140,420.408,431.273982430595
"7",7,1123956,1123956,62,120,424.4896,526.674673028181
"8",8,1123836,1123836,67,120,428.5712,577.900795044427
"9",9,1123716,1123716,60,140,432.6528,506.932511269139
"10",10,1123576,1123576,52,160,436.7344,421.857916785502
"11",11,1123416,1123416,55,160,440.816,452.249693480926
"12",12,1123256,1123256,65,120,444.8976,551.819709890891
"13",13,1123136,1123136,66,120,448.9792,568.918062303025
"14",14,1123016,1123016,57,140,453.0608,477.50314109999
"15",15,1122876,1122876,51,160,457.1424,416.804249420947
"16",16,1122716,1122716,57,160,461.224,479.268706353143
"17",17,1122556,1122556,66,140,465.3056,569.760152370328
"18",18,1122416,1122416,65,140,469.3872,550.45578126951
"19",19,1122276,1122276,55,160,473.4688,450.757074784039
"20",20,1122116,1122116,52,180,477.5504,422.509937774652
"21",21,1121936,1121936,60,160,481.632,508.736112750523
"22",22,1121776,1121776,67,140,485.7136,578.109005581772
"23",23,1121636,1121636,62,140,489.7952,524.970378001256
"24",24,1121496,1121496,53,180,493.8768,430.252904789434
"25",25,1121316,1121316,53,180,497.9584,438.215833964412
"26",26,1121136,1121136,63,140,502.04,536.731243023075
"27",27,1120996,1120996,67,140,506.121599999999,575.755445757535
"28",28,1120856,1120856,59,160,510.203199999999,495.852712411895
"29",29,1120696,1120696,51,200,514.284799999999,418.718732663764
"30",30,1120496,1120496,56,180,518.366399999999,461.832251857462
"31",31,1120316,1120316,65,160,522.447999999999,559.529315419497
"32",32,1120156,1120156,66,140,526.529599999999,563.012616526475
"33",33,1120016,1120016,56,180,530.611199999999,466.976920766266
"34",34,1119836,1119836,51,200,534.692799999999,417.689192231976
"35",35,1119636,1119636,59,180,538.774399999999,490.217002025044
"36",36,1119456,1119456,67,160,542.855999999999,574.09702224662
"37",37,1119296,1119296,64,160,546.937599999999,541.575964822316
"38",38,1119136,1119136,54,200,551.019199999999,442.184957744662
"39",39,1118936,1118936,52,200,555.100799999999,427.301264939601
"40",40,1118736,1118736,61,180,559.182399999999,519.593463375914
"41",41,1118556,1118556,67,160,563.263999999999,578.496114672602
"42",42,1118396,1118396,61,180,567.345599999999,514.297659872324
"43",43,1118216,1118216,52,200,571.427199999999,424.775420301008
"44",44,1118016,1118016,54,200,575.508799999999,446.276054326255
"45",45,1117816,1117816,64,180,579.590399999999,546.053066594899
"46",46,1117636,1117636,67,160,583.671999999999,572.14128878812
"47",47,1117476,1117476,58,200,587.753599999999,484.807109058959
"48",48,1117276,1117276,51,220,591.835199999999,417.064665842375
"49",49,1117056,1117056,57,200,595.916799999999,472.088944555037
"50",50,1116856,1116856,66,180,599.998399999999,566.075333432487
