"","Time","Trees","Trees_est","Cull_cost","Cull_count","User_budget","Manager_budget","wave"
"1",1,1124771,1124771,59,120,400,497.457274308912,1
"2",2,1124651,1124651,59,120,404.0816,497.457274308912,1
"3",3,1124531,1124531,63,120,408.1632,532.0489307966,1
"4",4,1124411,1124411,63,120,412.2448,539.557162281703,1
"5",5,1124291,1124291,61,120,416.3264,516.411908113041,1
"6",6,1124171,1124171,58,140,420.408,483.173611113035,1
"7",7,1124031,1124031,56,140,424.4896,467.639015504029,1
"8",8,1123891,1123891,58,140,428.5712,482.634471835581,1
"9",9,1123751,1123751,61,140,432.6528,516.254650975596,1
"10",10,1123611,1123611,64,120,436.7344,541.975214028658,1
"11",11,1123491,1123491,64,120,440.816,540.064183995962,1
"12",12,1123371,1123371,61,140,444.8976,512.956083622783,1
"13",13,1123231,1123231,58,140,448.9792,482.555677159975,1
"14",14,1123091,1123091,57,140,453.0608,472.19628785329,1
"15",15,1122951,1122951,58,140,457.1424,488.125070131632,1
"16",16,1122811,1122811,61,140,461.224,515.274656898976,1
"17",17,1122671,1122671,63,140,465.3056,530.164834721701,1
"18",18,1122531,1122531,61,140,469.3872,519.982594720009,1
"19",19,1122391,1122391,59,160,473.4688,492.349825568622,1
"20",20,1122231,1122231,56,160,477.5504,468.344885997045,1
"21",21,1122071,1122071,56,160,481.632,465.0795134051,1
"22",22,1121911,1121911,58,160,485.7136,482.273508917207,1
"23",23,1121751,1121751,60,160,489.7952,503.4454412605,1
"24",24,1121591,1121591,61,160,493.8768,510.084146303388,1
"25",25,1121431,1121431,59,160,497.9584,496.732898140801,1
"26",26,1121271,1121271,57,160,502.04,474.71215981786,1
"27",27,1121111,1121111,56,180,506.121599999999,462.001505186099,1
"28",28,1120931,1120931,56,180,510.203199999999,468.211476488159,1
"29",29,1120751,1120751,58,160,514.284799999999,487.195625994855,1
"30",30,1120591,1120591,60,160,518.366399999999,503.008799392633,1
"31",31,1120431,1120431,60,160,522.447999999999,503.648200570281,1
"32",32,1120271,1120271,59,160,526.529599999999,490.803397905845,1
"33",33,1120111,1120111,57,180,530.611199999999,477.661143872034,1
"34",34,1119931,1119931,57,180,534.692799999999,477.128008267845,1
"35",35,1119751,1119751,59,180,538.774399999999,490.802662208997,1
"36",36,1119571,1119571,60,180,542.855999999999,508.030631953438,1
"37",37,1119391,1119391,61,160,546.937599999999,515.50753262368,1
"38",38,1119231,1119231,60,180,551.019199999999,508.874487808956,1
"39",39,1119051,1119051,59,180,555.100799999999,496.246238193682,1
"40",40,1118871,1118871,59,180,559.182399999999,490.766687078603,1
"41",41,1118691,1118691,59,180,563.263999999999,498.835128241855,1
"42",42,1118511,1118511,61,180,567.345599999999,514.35267845598,1
"43",43,1118331,1118331,62,180,571.427199999999,524.047388985436,1
"44",44,1118151,1118151,61,180,575.508799999999,519.247750847907,1
"45",45,1117971,1117971,60,180,579.590399999999,503.777882278174,1
"46",46,1117791,1117791,59,180,583.671999999999,490.915316173338,1
"47",47,1117611,1117611,59,180,587.753599999999,491.838843584556,1
"48",48,1117431,1117431,60,180,591.835199999999,505.537630699155,1
"49",49,1117251,1117251,61,180,595.916799999999,519.151393571483,1
